"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weed problem in paddy","Spray nominogold @ 1 ml in 3 litre of water","BIHAR","JEHANABAD","KAKO                                              ","2014-08-01 07:12:48.000"
"","AGRICULTURE","Others","Others","Weather","weather information ?","Cloudy weather in your area and chance of rain.","BIHAR","JEHANABAD","HULASGANJ                                         ","2014-08-01 08:29:57.000"
"","AGRICULTURE","Others","Others","","about weather in jahanabad","of t-storms 35°Lo 26° Sat
Aug 2
A couple of thunderstorms 34°Lo 27° 
more Sun
Aug 3
A couple of thunderstorms 34°Lo 26° 
more Mon
Aug 4
Clearing, a thunderstorm 34°Lo 26° 
more Tue
Aug 5
Heavy rain and a thunderstorm 33°Lo 27","BIHAR","JEHANABAD","MAKHDUMPUR                                        ","2014-08-01 13:41:22.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","yellowing of leaves","spray urea +zinc with water","BIHAR","JEHANABAD","KAKO                                              ","2014-08-01 17:44:19.000"
"","AGRICULTURE","Others","Others","Weather","Weather information","Today and Tomorrow There is a chance of rain in your area","BIHAR","JEHANABAD","JEHANABAD                                         ","2014-08-01 19:24:44.000"
"","AGRICULTURE","Others","Others","","asking about contact no. of kvk","Dr. Shail Bala
Programme Coordinator
Krishi Vigyan Kendra
Near Krishi Utpadan Bazar Samittee
Raza Bazar
Distt. Jehanabad – 804408","BIHAR","JEHANABAD","MODANGANJ                                         ","2014-08-01 21:26:39.000"
"JAYAD","AGRICULTURE","Others","Others","","Weather information","Cloudy weather in your area & little chance of rain","BIHAR","JEHANABAD","MODANGANJ                                         ","2014-08-01 21:27:50.000"
"","AGRICULTURE","Others","Others","","weather informatoion jahanabad","weather informatoion jahanabad-chance of rain","BIHAR","JEHANABAD","RATNI FARIDPUR                                    ","2014-08-01 21:51:58.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Fruit borer","Phosalone 35 % EC
 
13 ml/10 l
 

Quinalphos 20 % AF
 
1.5 ml/ l","BIHAR","JEHANABAD","KAKO                                              ","2014-08-02 06:28:22.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Whitefly","Dimethoate 30 % EC
 
1.0  ml/lit.
 

Malathion 50 % EC
 
1.5 ml/ lit.","BIHAR","JEHANABAD","HULASGANJ                                         ","2014-08-02 06:30:38.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","Seed treatment","Treat the seeds with Trichoderma viride @ 4 g / kg or Pseudomonas fluorescens @ 10 g / kg of seed. Treat the seeds with Azospirillum @ 40 g / 400 g of seeds using rice gruel as adhesive. Irrigate with rose can. In raised nursery beds, sow the seeds in lines at 10 cm apart and cover with sand. Transplant the seedlings 30 – 35 days after sowing at 60 cm apart in the ridges.","BIHAR","JEHANABAD","KAKO                                              ","2014-08-02 07:10:56.000"
"","HORTICULTURE","Fruits","Mango","","Insect problem in mango stem","Spray carbaryl @ 2 gram in 1 litre of water","BIHAR","JEHANABAD","MODANGANJ                                         ","2014-08-02 12:43:37.000"
"","HORTICULTURE","Fruits","Mango","","Weather information","?? ?? ?? ????? ???? ?? ??????? ??","BIHAR","JEHANABAD","RATNI FARIDPUR                                    ","2014-08-02 17:59:01.000"
"JAYAD","HORTICULTURE","Vegetables","Ash Gourd (Petha)","Bio-Pesticides and Bio-Fertilizers","insect problem","Spray cloropyriphos @ 2 ml in 1 litre of water","BIHAR","JEHANABAD","MAKHDUMPUR                                        ","2014-08-02 18:14:47.000"
"","AGRICULTURE","Others","Others","Weather","Weather information","in evening Chance of precipitation to some extent in your area","BIHAR","JEHANABAD","MAKHDUMPUR                                        ","2014-08-02 18:19:12.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","","INFERTILITY?","Give Albendazole-3g repeat after 15 days, Agrimin forte powder -40gm/2times10days,SAJANI-2tab -3 days,Alphos-10ml/im-3days.","BIHAR","JEHANABAD","GHOSHI                                            ","2014-08-03 07:26:43.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","fertilizer dose in paddy","urea 261 kg., ssp 375 kg., mop 67 kg., zinc 20-25 kg./hact.","BIHAR","JEHANABAD","RATNI FARIDPUR                                    ","2014-08-03 08:53:30.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Fruit borer","Phosalone 35 % EC
 
13 ml/10 l
 

Quinalphos 20 % AF
 
1.5 ml/ l","BIHAR","JEHANABAD","JEHANABAD                                         ","2014-08-03 08:59:14.000"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","Aphid","Spray Imidachloprid @ 0.5 ml/lit along with sufficient quantity of stickers like Teepol, triton X100, apsa etc., for better adhesion and coverage.","BIHAR","JEHANABAD","KAKO                                              ","2014-08-03 10:17:32.000"
"","AGRICULTURE","Others","Others","","Weather information","chance of rain","BIHAR","JEHANABAD","MAKHDUMPUR                                        ","2014-08-03 11:01:22.000"
