"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","•	Weather information","no Chance of rain","BIHAR","CHAMPARAN(EAST)","PATAHI                                            ","2014-12-01 18:48:49.227"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Fungal problem","Spray mencozeb @ 2g/lit of water","BIHAR","CHAMPARAN(EAST)","CHAKIA (PIPRA)                                    ","2014-12-01 19:37:18.060"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","no chance of rain","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-02 12:05:08.017"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","insect problem in cauliflower","insect problem in cauliflower Spray imidachloprid @ 1ml/3lit of water","BIHAR","CHAMPARAN(EAST)","DHAKA                                             ","2014-12-03 10:27:32.477"
"RABI","HORTICULTURE","Vegetables","Others","	Plant Protection	","SOIL TESTING","You should consult to your district K.V.K","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-03 10:55:41.900"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETIES OF WHEAT-","VARIETIES OF WHEAT-hd-2307,2285,2329,2643,2985","BIHAR","CHAMPARAN(EAST)","ARERAJ                                            ","2014-12-03 17:11:48.903"
"JAYAD","HORTICULTURE","Vegetables","ARUM ","	Plant Protection	","insect problem","Spray metasistox @ 1.5 ml in 1 litre of water","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-03 20:26:25.307"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","VARIETIES OF WHEAT (EARLY)","VARIETIES OF WHEAT (EARLY)
HD-2733,2967,2824,PBW-343,443,550,502,373,H P-1731,1761,","BIHAR","CHAMPARAN(EAST)","TETARIYA                                          ","2014-12-04 15:06:09.103"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Late blight disease of potato","Management rog rodhi variety ka grow kare or dithane –m-45 @ 1 liter pani me mila kar spray kare","BIHAR","CHAMPARAN(EAST)","CHAKIA (PIPRA)                                    ","2014-12-05 09:58:02.380"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","BLIGHT DISEASE IN POTATO","Spray mencozeb @ 2g/lit of water","BIHAR","CHAMPARAN(EAST)","PIPRA KOTHI                                       ","2014-12-05 15:49:47.460"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","weed managment in wheat","weed managment in wheat - spray sulfosufuron @ 33 gram in 800 liter of water.","BIHAR","CHAMPARAN(EAST)","BANKATWA                                          ","2014-12-06 10:06:46.280"
"RABI","HORTICULTURE","Vegetables","Ash Gourd (Petha)","	Plant Protection	","Delay in growth","Spray boomflower @ 2 ml in 1 litre of water","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-08 07:02:45.900"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-08 14:47:56.733"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","today cloudy weather no  chance rain","BIHAR","CHAMPARAN(EAST)","KESARIA                                           ","2014-12-09 09:21:55.263"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","BIHAR","CHAMPARAN(EAST)","SUGAULI                                           ","2014-12-09 12:53:00.317"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","yellowing of leaves","Spray mencozeb @ 2g/lit of water","BIHAR","CHAMPARAN(EAST)","SUGAULI                                           ","2014-12-09 12:53:00.980"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow no chance of rain","BIHAR","CHAMPARAN(EAST)","SUGAULI                                           ","2014-12-09 12:54:22.360"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","drying of gram","spray  carbendazim@2ml/lit of water","BIHAR","CHAMPARAN(EAST)","DHAKA                                             ","2014-12-10 09:10:12.620"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","VARIETIES OF WHEAT(LATE) -","VARIETIES OF WHEAT(LATE) -
D B W-14,H D-2307,2985,2329,2643,N W- 1014,1563,2036,2045,H P-1744,RAJ-3765","BIHAR","CHAMPARAN(EAST)","PATAHI                                            ","2014-12-10 15:33:30.823"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","ferlizer recomendation in maize","ferlizer recomendation in maize
use urea-1.5kg,dap-500g,potash-1kg and give urea in three split dose on 20,45,and60days from the day of  sowing","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-11 11:28:21.367"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TERMITE ATTACK IN WHEAT","SPRAY CHLOROPYRIPHOS @2ML/LTI OF WATER","BIHAR","CHAMPARAN(EAST)","PAHARPUR                                          ","2014-12-12 08:09:42.877"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","yellowing of leaves","Spray mancozeb @ 2g/lit of water","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-13 11:01:06.377"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","weed management of wheat","spray sulphosulfuran @ 30 gm /ha in 700--800liter of water","BIHAR","CHAMPARAN(EAST)","SANGRAMPUR                                        ","2014-12-13 14:42:37.230"
"RABI","AGRICULTURE","Others","Others","Weather","weather","14dec. chance of rainfall","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-13 19:34:20.387"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3 lit of water *","BIHAR","CHAMPARAN(EAST)","PATAHI                                            ","2014-12-14 06:26:52.707"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","VARIETIES OF WHEAT-","VARIETIES OF WHEAT- PBW-343, PBW-373, PBW-502, PBW-154, HD-2733, UP-262,","BIHAR","CHAMPARAN(EAST)","MADHUBAN                                          ","2014-12-14 18:28:10.410"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","NO RAIN","BIHAR","CHAMPARAN(EAST)","BANKATWA                                          ","2014-12-16 10:50:02.703"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information ?","Today  litle chance of rain in your area.","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-16 13:08:00.670"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","LATE BLIGHT DISEASE IN POTATO","Spray Mancozeb 75% WP 2 gram/liter of water","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-16 15:24:23.573"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","Plant Growth regulators","Plant Growth regulators -AISHWARYA GRANULES Dose : 8 Kg/Acre","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-16 15:25:30.760"
"RABI","ANIMAL HUSBANDRY","Animal","Goat","Animal Breeding","goat domestication","consult B A O","BIHAR","CHAMPARAN(EAST)","PAKRIDAYAL                                        ","2014-12-17 14:15:48.517"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Fungal problem","Spray copper oxychloride @ 2 gram in 1 litre of water","BIHAR","CHAMPARAN(EAST)","DHAKA                                             ","2014-12-17 16:07:13.323"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow no chance of rain","BIHAR","CHAMPARAN(EAST)","CHIRAIYA                                          ","2014-12-18 08:46:08.797"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information ?","NO  chance of rain","BIHAR","CHAMPARAN(EAST)","TETARIYA                                          ","2014-12-18 18:12:29.687"
"RABI","AGRICULTURE","Cereals","Wheat","	Water Management	","about information in water management","1st irrigation 20-22 days after sowing","BIHAR","CHAMPARAN(EAST)","KOTWA                                             ","2014-12-19 07:26:26.213"
"RABI","HORTICULTURE","Vegetables","Brinjal","Agriculture Mechanization","flower dropping","Spray planofix ml in 4.5- 5 liter of water","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-20 11:26:37.563"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Insect problem","Spray monocrotophos @ 1 ml in one litre of water","BIHAR","CHAMPARAN(EAST)","MOTIHARI                                          ","2014-12-20 11:43:35.910"
"RABI","FISHERIES","Inland","Fresh Water","Fish  Marketing","related fisheries","toll free no. 18003456185","BIHAR","CHAMPARAN(EAST)","GHORASAHAN                                        ","2014-12-20 17:42:05.730"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow no chance of rain","BIHAR","CHAMPARAN(EAST)","KALYANPUR                                         ","2014-12-21 09:40:57.470"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water","BIHAR","CHAMPARAN(EAST)","BANKATWA                                          ","2014-12-24 16:48:00.773"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","KHAIRA DISEASE IN PADDY","USE 300GRA/KATHA","BIHAR","CHAMPARAN(EAST)","BANKATWA                                          ","2014-12-28 10:41:30.437"
"JAYAD","AGRICULTURE","Cereals","Barley (Jau)","	Field Preparation	","insect problem","spray quinalphos @ 1 ml / liter of water","BIHAR","CHAMPARAN(EAST)","CHAKIA (PIPRA)                                    ","2014-12-28 10:55:33.980"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Fungal problem","spray saaf @ 2 gm/lt of water","BIHAR","CHAMPARAN(EAST)","ARERAJ                                            ","2014-12-28 11:47:00.637"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","INSECT INFESTATION","SPRAY QUINALPHOS @ 1 ML . LITRE OF WATER","BIHAR","CHAMPARAN(EAST)","PIPRA KOTHI                                       ","2014-12-28 14:32:54.853"
"RABI","AGRICULTURE","Others","Others","Weather","weather","no chance of rainfall","BIHAR","CHAMPARAN(EAST)","RAMGARHWA                                         ","2014-12-28 14:52:34.317"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","drooping of fruit in coconut","apply boron @ 2 gm./liter of water","BIHAR","CHAMPARAN(EAST)","DHAKA                                             ","2014-12-28 14:55:32.003"
"RABI","AGRICULTURE","Others","Others","Weather","WHEATHER INFORMA","TOMARROW VERRY COOL WEATHER","BIHAR","CHAMPARAN(EAST)","PATAHI                                            ","2014-12-28 18:25:57.670"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","fertilizer dose at the time of first irrigation","apply urea 500 gram / kattha","BIHAR","CHAMPARAN(EAST)","RAMGARHWA                                         ","2014-12-29 18:31:19.327"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","yellow leaf of wheat","spray mencozeb @2g/lit of water","BIHAR","CHAMPARAN(EAST)","RAMGARHWA                                         ","2014-12-31 09:12:35.840"
