"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","Variety of potato","Variety of potato-kufari lalima, kufari pukhraj, kufari kanchan, kufari puskar, rajendra aalu-","BIHAR","ROHTAS","BIKRAMGANJ                                        ","2014-11-01 17:25:02.650"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Variety of wheat","Variety of wheat:-
P.B.W-373, P.B.W-573, P.B.W-443, P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","BIHAR","ROHTAS","NAWHATTA                                          ","2014-11-02 06:36:59.203"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","disease in paddy","Spray mencozeb @ 2gm/lit of water","BIHAR","ROHTAS","DEHRI                                             ","2014-11-02 18:15:51.590"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT PROBLEM","Spray chloropyriphose @2 ml / litter water","BIHAR","ROHTAS","KOCHAS                                            ","2014-11-03 08:50:01.980"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Seeds","VARIETY OF SARSON","VARIETY OF SARSON- RAJENDRA SARSON-1, SWARNa","BIHAR","ROHTAS","BIKRAMGANJ                                        ","2014-11-03 10:48:38.007"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","Mustard fertilizer dose-","Mustard fertilizer dose- N-80, P-40, K-40 KG/HA OR 8-10KG KAMPOST/HACT","BIHAR","ROHTAS","BIKRAMGANJ                                        ","2014-11-03 10:52:39.160"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","INSECT CONTROL IN BRINJAL-","INSECT CONTROL IN BRINJAL- SUPERKILLER 2ML/LITER OF WATER","BIHAR","ROHTAS","DAWATH                                            ","2014-11-03 11:16:03.393"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","Organic Farming","insect problem","Spray cloropyriphos @ 1 ml in 1 litre of water","BIHAR","ROHTAS","KARGAHAR                                          ","2014-11-04 14:19:40.510"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","ROHTAS","AKHORIGOLA                                        ","2014-11-05 16:37:35.620"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","FLOWER DROPPING IN CHILLI","SPRAY PLANOFIX @ 1 ML./4-5 LT. OF WATER.","BIHAR","ROHTAS","NAWHATTA                                          ","2014-11-06 12:00:06.783"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","VARIETIES OF WHEAT","VAREITIES ARE H.D-233,P.B.W-343,443","BIHAR","ROHTAS","DAWATH                                            ","2014-11-07 19:51:40.753"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","nutrient management","FYM 50 Kg and one Kg in each of N, P and K per tree in two split doses during March and October should be applied. To increase the yield, spray Urea 1 % + Zinc sulphate 0.5% twice a year during March and October. To correct the boron deficiency (reduction in size of leaves and fruit cracking and hardening) spray 0.3% borax during flowering and fruit set stage. 

Micronutrients spray for controlling bronzing of leaves
A combined spray should be given containing ZnSO4, MgSO4 and MnSo4 @ 0.5% and CuSO4 and FeSO4 @ 0.25 % plus Teepol @ 1ml per 5 lit of solution on various stages as follows:","BIHAR","ROHTAS","AKHORIGOLA                                        ","2014-11-09 07:22:39.753"
"RABI","AGRICULTURE","Millets","FingerMillet  (Ragi/Mandika)","	Plant Protection	","pest management","imidacholoropid 1 ml/ 3 liter water","BIHAR","ROHTAS","SANJHOULI                                         ","2014-11-09 08:59:53.540"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect problem","Spray monocrotophos @ 1 ml in 1 litre of water","BIHAR","ROHTAS","BIKRAMGANJ                                        ","2014-11-09 14:59:44.730"
