"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weed problem in paddy","Spray nominogold @ 1 ml in 3 litre of water","BIHAR","SARAN","GARKHA                                            ","2014-08-01 07:02:59.000"
"","HORTICULTURE","Fruits","Pomegranate","","rotting of pomegranate.","Spray copperoxychloride-2.5gm/lit. of water.","BIHAR","SARAN","SONEPUR                                           ","2014-08-01 08:22:05.000"
"","HORTICULTURE","Vegetables","Chillies","","yellow leaf of chillies.","spray saaf-2gm/lit of water.","BIHAR","SARAN","SONEPUR                                           ","2014-08-01 08:24:22.000"
"","HORTICULTURE","Vegetables","Cauliflower","","insect control","Spray quinolphos @ 2 ml in one litre of water","BIHAR","SARAN","MARHAURAH                                         ","2014-08-01 15:14:14.000"
"","HORTICULTURE","Fruits","Banana","	Plant Protection	","insect control","Spray cloropyriphos @ 2 ml in 1 litre of water","BIHAR","SARAN","MANJHI                                            ","2014-08-01 18:34:17.000"
"","HORTICULTURE","Fruits","Papaya","","Insect in papaya.","spray dimethoate-1ml/lit of water.","BIHAR","SARAN","SONEPUR                                           ","2014-08-02 06:14:16.000"
"","HORTICULTURE","Fruits","Papaya","","Delay in growth OF plant.","Spray boomflower @ 2 ml in 1 litre of water.","BIHAR","SARAN","SONEPUR                                           ","2014-08-02 06:19:10.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Leaf spot","Leaf spot can be controlled by spraying Zineb or Mancozeb 2 g/lit.","BIHAR","SARAN","EKMA                                              ","2014-08-02 06:35:45.000"
"","AGRICULTURE","Others","Others","","•	Weather information","chance of rain","BIHAR","SARAN","DARIAPUR                                          ","2014-08-02 07:19:51.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaves","spray 5 gm zinc+20 gm urea in one liter of water","BIHAR","SARAN","PANAPUR                                           ","2014-08-02 08:04:40.000"
"","HORTICULTURE","Vegetables","Brinjal","","Insect infestation in brinjal","Spray qunalphos @ 2 ml in 1 litre of water","BIHAR","SARAN","BANIAPUR                                          ","2014-08-02 09:24:12.000"
"","HORTICULTURE","Vegetables","Brinjal","","Delay in growth","Spray boomflower @ 2 ml in 1 litre of water","BIHAR","SARAN","BANIAPUR                                          ","2014-08-02 09:25:20.000"
"","AGRICULTURE","Others","Others","","about weather in saran","Mostly cloudy with t-storms 32°Lo 25° Sun
Aug 3
A couple of thunderstorms 31°Lo 25° 
more Mon
Aug 4
Rather cloudy with t-storms 31°Lo 25° 
more Tue
Aug 5
Cloudy with a thunderstorm 31°Lo 25° 
more Wed
Aug 6
Some rain and a thunderstorm","BIHAR","SARAN","EKMA                                              ","2014-08-02 09:46:06.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","SARAN","MARHAURAH                                         ","2014-08-02 12:42:42.000"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Agriculture Mechanization","Variety of mung","Variety of mung- pusa vishal, smart, sona","BIHAR","SARAN","CHHAPRA                                           ","2014-08-02 14:37:09.000"
"RABI","AGRICULTURE","Cereals","Oats ","Agriculture Mechanization","insect problem","Spray dimethoate @ 1.5 ml in 1 litre of water","BIHAR","SARAN","CHHAPRA                                           ","2014-08-02 14:40:35.000"
"RABI","AGRICULTURE","Oilseeds","Indian rapeseed and mustard (yellow sarson)","Bio-Pesticides and Bio-Fertilizers","weed problem","Spray paraquate and diquate @ 2 ml in 1 ml of water","BIHAR","SARAN","CHHAPRA                                           ","2014-08-02 14:46:31.000"
"RABI","AGRICULTURE","Oilseeds","Sunflower (suryamukhi)","Weather","insect problem","Spray dicofol @ 3 ml in 1 litre of water","BIHAR","SARAN","CHHAPRA                                           ","2014-08-02 14:53:27.000"
"RABI","HORTICULTURE","Flowers","Chrysanthemum","Water Management, Micro Irrigation","variety of bhindi","variety of bhindi-arka abhay, arka anamika, bersha uphar, okra-4","BIHAR","SARAN","CHHAPRA                                           ","2014-08-02 14:54:58.000"
"","AGRICULTURE","Others","Others","Weather","Weather information","Today and Tomorrow There is a chance of rain in your area","BIHAR","SARAN","MARHAURAH                                         ","2014-08-02 16:12:42.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","Variety of paddy for medium land","Variety of paddy for medium land
Satyam, kishori, sakuntkla, rajendra mansuri","BIHAR","SARAN","GARKHA                                            ","2014-08-02 20:11:04.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Yellowing of leaves","spray mencozeb @ 2g/lit of water","BIHAR","SARAN","DARIAPUR                                          ","2014-08-03 06:55:47.000"
"","AGRICULTURE","Others","Others","","weed control","spray glyphoset 2 ml/lt. water","BIHAR","SARAN","DIGHWARA                                          ","2014-08-03 09:11:30.000"
