"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","S.LOHARA","2014-11-01 07:35:22.237"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","How to control aphids in pigeaonpea crop?","Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","BODLA","2014-11-01 08:03:32.253"
"RABI","HORTICULTURE","Vegetables","","	Plant Protection	","farmer want to know information about How to control white fly in crop?","Spray daiphenthuran (pegasas) 10 to 15 gram at per pump","CHHATTISGARH","KAWARDHA (KABIRDHAM)","BODLA","2014-11-01 09:06:14.650"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Which fertilizer and nutrient give for better growth in paddy ?","Recommended for spray foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-11-01 11:17:41.360"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Field Preparation	","farmer want to know information about weather?","02/11               03/11               04/11               05/11               06/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-11-01 11:38:18.890"
"RABI","AGRICULTURE","Others","Others","Weather","farmer want to weather information of district?","No rainfall chance in your district and weather will some cloudy at next 5 days weather will some cloudy.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-11-01 11:43:37.470"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","farmer want to know information about How to control of fungal attack in crop ?","Use copper oxy chloride  50% w  45 gram and steptrocyclin  90% w/w 2 gram at 15 liter of water","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-11-01 11:46:09.970"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KAWARDHA (KABIRDHAM)","KAWARDHA","2014-11-01 12:15:26.817"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","sucking pest","Recommended for spray of Dimethoate (Rogar) @ 30 ml per 15 litter water","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-11-01 15:47:21.403"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","sucking pest","Recommended for spray of Dimethoate (Rogar) @ 30 ml per 15 litter water","CHHATTISGARH","KAWARDHA (KABIRDHAM)","PANDARIYA                                         ","2014-11-01 15:48:49.527"
