"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Bacterial leaf blight IN PADDY","Spray Streptomycin sulphate + Tetracycline combination 300 g + Copper oxychloride 1.25kg/ha. If necessary repeat 15 days later.","CHHATTISGARH","KORIYA","","2014-08-01 18:00:04.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","how to control leaf  blight ?","spray carbendazim @ 1gm/litre of water.","CHHATTISGARH","KORIYA","","2014-08-01 19:47:32.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","aphids control in bitter gourd ?","spray imidaclopride @ 5 ml / pump.","CHHATTISGARH","KORIYA","MANENDRAGARH                                      ","2014-08-02 14:55:49.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control cutworm ?","recmmmonded for spray chlorpyriphos 20 EC @ 1500 ml/hectare .","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-08-02 20:39:40.000"
"JAYAD","HORTICULTURE","Plantation Crops","Cashew","Nutrient Management","KAJU PLANTATION","10 KILO FYM GOBAR KA KHAD","CHHATTISGARH","KORIYA","DHEEMERKHEDA                                      ","2014-08-03 15:39:23.000"
"JAYAD","HORTICULTURE","Plantation Crops","Cashew","Fertilizer Use and Availability","farmer wants to information of fertilizer does of cashew plant?","Manuring (per tree)
Manures and fertilizers	I year old	II year old	III year old	IV year old	V year onwards
FYM or compost (kg)	10	20	20	30	50
N (g)	70	140	210	280	500
P (g)	40	80	120	160	200
K (g)	60	120	180	240	300","CHHATTISGARH","KORIYA","DHEEMERKHEDA                                      ","2014-08-03 15:50:11.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control weeds in paddy crop?","?????? ????? ??? ?? 80 ????? ?? ?????? ?? ????? ??? ?? ????? ?? ?????? ???","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-08-04 10:13:33.000"
"JAYAD","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","thrips in green gram","Insecticide	Dose
Imidacloprid 17.8 % SL	3.0 ml/10 lit.
Dimethoate 30 % EC	1.0 ml/lit.
Emamectin benzoate 5 % SG	4 g/10 lit.
Ethion 50 % EC	2.0 ml/lit.
Fipronil 5 % SC	1.5 ml/lit.
Oxydemeton –Methyl 25 % EC	1.0 ml/lit.
Phosalone 35 % EC	2.0 ml/lit.
Spinosad 45 % SC	3.2 ml/10 lit.
Thiacloprid 21.7 % SC	6.0 ml/10 lit.","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-08-04 11:55:41.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","KORIYA","","2014-08-05 07:45:02.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather","Ambikapur 1 – 3 Day Weather Forecast Summary: Heavy rain (total 86mm), heaviest during Tue morning. Warm (max 27°C on Thu afternoon, min 22°C on Wed night). Mainly strong winds.","CHHATTISGARH","KORIYA","","2014-08-05 08:08:12.000"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","how to control fruit fly in bitter gourd ?","recommended for spray malathian 50 % EC @ 2 ml.litre of water to control fruit fly in bitter gourd   .","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-08-05 14:37:29.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather informatation ?","some clouds in your area","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-08-05 14:46:37.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","how to control fungal disease ?","Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-08-05 14:49:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","green kai in paddy ?","spray copper sulphate @ 6-8 kilo / acre .","CHHATTISGARH","KORIYA","","2014-08-05 21:34:39.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy weeds control ?","NIMINEE GOLD (bispyribac sodium 10%sc)  @ 200 ml / 300 liter water / hectare 15-25 days after sowing of transplanting","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-08-06 16:45:44.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","Fertilizer Use and Availability","fertilizer application","Basal dose : FYM 25 t/ha, NPK 50:250:100 kg/ha 
                    Borax 10 kg and Zinc sulphate 50 kg/ha 
Top dressing : N and K each 150 kg/ha in 3 equal splits at 30, 45 and 60 days after planting.","CHHATTISGARH","KORIYA","BHARATPUR                                         ","2014-08-07 08:24:07.000"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","","How to control of fungal attack in bottelgaurd crop?","???? ????? ???????? ??? ?? 45 ????? ?? ?????????????????? ??? ?? 2 ????? ??? ?? 15 ???? ???? ?? ??? ?????? ?????? ???| 
???????? 63% + ????????????? 12% WP ??? ?? 40 ????? ?? ?????????????????? ??? ?? 2 ????? ??? ?? 15 ???? ???? ?? ??? ?????? ?????? ???|","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-08-09 06:55:27.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control stem borer in paddy crop?","??????? ??????? ???????? ?? ? ?? 10  ???? ?? ?????? ?? ????? ??? ?? ????? ?? ?????? ???","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-08-09 06:57:22.000"
"JAYAD","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","thrips problem in cowpea","Insecticide	Dose
Imidacloprid 17.8 % SL	3.0 ml/10 lit.
Dimethoate 30 % EC	1.0 ml/lit.
Emamectin benzoate 5 % SG	4 g/10 lit.
Ethion 50 % EC	2.0 ml/lit.
Fipronil 5 % SC	1.5 ml/lit.
Oxydemeton –Methyl 25 % EC	1.0 ml/lit.
Phosalone 35 % EC	2.0 ml/lit.
Spinosad 45 % SC	3.2 ml/10 lit.
Thiacloprid 21.7 % SC	6.0 ml/10 lit.","CHHATTISGARH","KORIYA","SONHAT                                            ","2014-08-11 13:22:08.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-08-20 07:36:27.010"
"KHARIF","FISHERIES","Inland","Cold Water","Fishery Nutrition","fish farming ?","rohu , katla ,common carp , silver carp ,","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-08-20 18:22:12.720"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","To know about the control of sucking pest","1.	RECOMMENDAD FOR spray any one of the following insecticide 
Insecticide 	Dose 
Imidacloprid 17.8 % SL 	3.0 ml/10 lit.
Dimethoate 30 % EC	1.0 ml/lit.
Emamectin benzoate 5 % SG	4 g/10 lit.
Ethion 50 % EC	2.0 ml/lit.","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-08-20 21:33:26.170"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blast control paddy ?","spray propiconazole @ 1 ml / liter ,","CHHATTISGARH","KORIYA","KHADGAWANA                                        ","2014-08-21 21:06:09.713"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","how to control fungal disease in ginger","use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-08-22 07:46:24.903"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","Nutrient Management","fertilizer  soyabean ?","apply 44 kg + urea + ssp-375 kg + mop-34 kg / hectare .","CHHATTISGARH","KORIYA","Baikunthpur                                       ","2014-08-23 17:17:34.660"
