"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Farmer want to information about Fungal attack in tomato crop ?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of watr.","CHHATTISGARH","RAIGARH","SARANGARH                                         ","2014-10-01 06:47:45.850"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control fungal disease in paddy ?","use mpnocrotophos","CHHATTISGARH","RAIGARH","SARANGARH                                         ","2014-10-01 06:55:35.283"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop ?","????????????? ?? ????????????? ?? ??????????????? ??? ?? 20 ?? 25 ????? ?? ?????? ?? ??? ?? ?????????????????? ??? ?? 2 ?? 3 ????? ?? ?????? ?? ????? ??? ?? ????? ?? ?????? ????","CHHATTISGARH","RAIGARH","SARANGARH                                         ","2014-10-01 07:30:10.590"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown plant leafhopper:","Apply any one of the following insectcides:

Phosalone 35 EC 1500 ml/ha
Carbaryl 10 D 25 kg/ha
Methyl demeton 25 EC 1000 ml/ha
Chlorpyriphos 20 EC 1250 ml/ha
Acephate 75 % SP 666-1000 g/ha
Azadirachtin 0.03% 1000 ml/ha
Neem oil 3% 15 lit/ha
Buprofezin 25% SC 800 ml/ha
Carbosulfan 25 EC 800-1000 ml/ha
Chlorantraniliprole 18.5% SC 150 g/ha
Chlorantraniliprole 0.4% G 10 kg/ha
Dichlorvos 76%SC 470 ml/ha
Fenoucarb (BPMC) 50% EC 500-1500 ml/ha
Fipronil 5% SC 1000-1500 ml/ha
Fipronil 0.3% GR 16670-25000 g/ha
Imidacloprid 70% WG 30-35 kg/ha
Imidacloprid 17.8 SL 100-125 ml/ha","CHHATTISGARH","RAIGARH","SARANGARH                                         ","2014-10-01 07:33:22.773"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about How to control thrip in onion crop   ?","Spray of imidaclorprid 17.8%SL 5 to 6 ml per pump.","CHHATTISGARH","RAIGARH","DHARAMJAIGARH                                     ","2014-10-01 07:39:20.900"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","how to increse yield of citrus ?","use npk 191919 100g\pump","CHHATTISGARH","RAIGARH","BARAMKELA                                         ","2014-10-01 07:39:54.800"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Farmer want to know how to control sucking pest of crop ?","Recommended for spray Imidacloprid 17.8 % SL (confidor) @ 7 ml /pump .","CHHATTISGARH","RAIGARH","SARANGARH                                         ","2014-10-01 08:39:48.500"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control fungal disease in paddy ?","use trycyclozole","CHHATTISGARH","RAIGARH","RAIGARH                                           ","2014-10-01 10:50:40.643"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about weather information ?","02/10               03/10               04/10               05/10               06/10
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0","CHHATTISGARH","RAIGARH","RAIGARH                                           ","2014-10-01 11:14:53.867"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control leaf roller in paddy crop ?","Spray of Monocrotophos 36 s. L. 800 ml. / hac.","CHHATTISGARH","RAIGARH","GHARGHODA                                         ","2014-10-01 11:44:05.937"
