"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information ?","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              01/11               02/11               03/11               04/11               05/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","RAJ NANDGAON","RAJNANDGAON                                       ","2014-11-01 07:12:28.903"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Control  of  Blast  of  Paddy ?","Spray  of  Tricyclazole 75% WP @ 120-160 gm/acre","CHHATTISGARH","RAJ NANDGAON","DONGARGHAR                                        ","2014-11-01 07:14:46.893"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","farmer want to know information about How to control white fly in crop?","Spray Dimethoate 30 EC (Rogar) or Triazophos 30 ml per pump.","CHHATTISGARH","RAJ NANDGAON","DONGARGHAR                                        ","2014-11-01 07:31:47.600"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Control  of   Sucking Pests  of  Cotton, Rice and Vegetables ?","Spray of  Imidacloprid 17.8 % SL(confidor)  @ 7 ml/pump","CHHATTISGARH","RAJ NANDGAON","RAJNANDGAON                                       ","2014-11-01 07:35:37.083"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","How to control Termite Attack  in wheat crop ?","Chlorpyriphos 4% Dust 15 to 20kg. per Hactare.","CHHATTISGARH","RAJ NANDGAON","KHAIRAGARH                                        ","2014-11-01 10:23:42.787"
"RABI","HORTICULTURE","Vegetables","Broad Bean","	Plant Protection	","farmer want to know information about How to control white fly in crop?","Spray Dimethoate 30 EC (Rogar) or Triazophos 30 ml per pump.","CHHATTISGARH","RAJ NANDGAON","DONGARGAON                                        ","2014-11-01 10:34:25.537"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","farmer want to know information about How to control white fly in crop?","Spray Dimethoate 30 EC (Rogar) or Triazophos 30 ml per pump.","CHHATTISGARH","RAJ NANDGAON","DONGARGAON                                        ","2014-11-01 10:47:46.333"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","How to control white fly in beans crop?","Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.","CHHATTISGARH","RAJ NANDGAON","DONGARGAON                                        ","2014-11-01 10:55:01.713"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information ?","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              01/11               02/11               03/11               04/11               05/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","RAJ NANDGAON","DONGARGHAR                                        ","2014-11-01 11:04:30.273"
"RABI","AGRICULTURE","Others","Others","Weather","Weather forecasting for rajnandgaon district of chhatisgarh","No rainfall within 5 days in your district.","CHHATTISGARH","RAJ NANDGAON","CHHURIYA                                          ","2014-11-01 11:13:16.367"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","How to control flower drop problem in pumpkin crop?","Spray Plano fix 4 to 5 Ml at 15 liter of water.","CHHATTISGARH","RAJ NANDGAON","RAJNANDGAON                                       ","2014-11-01 11:33:26.327"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","How to control of fungal attack in bitter gourd crop?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","RAJ NANDGAON","RAJNANDGAON                                       ","2014-11-01 11:36:51.163"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","RAJ NANDGAON","DONGARGAON                                        ","2014-11-01 12:41:55.083"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","Farmer  want number activate in sms facility ?","your number is resistard in sms facility","CHHATTISGARH","RAJ NANDGAON","DONGARGAON                                        ","2014-11-01 12:56:24.720"
