"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","NO RAIN FALL NEXT FIVE DAYS.","DELHI","North East","DELHI","2014-11-01 09:23:39.683"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME WHEAT SEED VARIETY NAME","WHEAT SEED VARIETY NAME -PBW- 343 ,PBW-550 ,HD- 2967 USE CARBENDAZIM 2 GM PER KG SEED","DELHI","North East","DELHI","2014-11-01 11:28:55.990"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","TELL ME FERTILIZER IN SUGARCANE","SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER","DELHI","North East","DELHI","2014-11-01 13:24:51.960"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","TELL ME WHEAT VARIETIES.","HD-2851,HD-2967","DELHI","North East","DELHI","2014-11-01 13:49:53.413"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","SIWUNG TIME OF WHEAT","10-25 NOVMBER SOWING TIME OF WHEAT","DELHI","North East","DELHI","2014-11-02 12:11:55.357"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","DOSE OF FERTILIZER IN WHEAT CROP","100KG NITROGEN,80KG PHOSPHORUS,60KG POTTASH DOSE OF FARTILIZER IN WHEAT","DELHI","North East","DELHI","2014-11-02 13:32:36.100"
"RABI","HORTICULTURE","Vegetables","Tomato","Cultural Practices","TELL ME SOWING TIME OF TOMATO","JULY-SEPPTEMBER SOWING TIME OF TOMATO","DELHI","North East","","2014-11-02 20:45:24.310"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","TELL ME FERTILIZER IN POTATO","FERTILIZERS IN ONION UREA= 70 KG, DAP= 100 KG, MOP= 150 KG SOWING TIME, IRRIGATION UREA 100 KG/HA","DELHI","North East","DELHI","2014-11-03 15:14:52.473"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","TELL ME SOWING TIME OF WHEAT","10-25 NOVMBER SOWING TIME OF WHEAT","DELHI","North East","DELHI","2014-11-03 16:51:09.407"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRICT","NO RAINFALL POSSIBILITY IN NEXT 5 DAYS","DELHI","North East","DELHI","2014-11-04 06:31:37.403"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","TELL ME WHEAT SEED VARIETY NAME","WHEAT SEED VARIETY NAME OF HD- 2967 ,HD-3086","DELHI","North East","DELHI","2014-11-04 07:56:16.797"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","Seeds","TELL ME RABI CROP NAME.","WHEAT,BARLEY,MUSTARD,GRAM.","DELHI","North East","DELHI","2014-11-04 14:18:05.623"
"RABI","HORTICULTURE","Vegetables","Others","Cultural Practices","TELL ME VEGETABLE SOWING THIS TIME.","MEETHI,PALAK,CHOLAI,MATAR ETC SOWING THIS TIME.","DELHI","North East","DELHI","2014-11-04 15:03:37.710"
"RABI","AGRICULTURE","Fodder Crops","Barseem","	Plant Protection	","PLZ TELL ME CONTROL OF APHIDS IN BARSEEM","SPRAY OF ACEPHATE  75% SP 2 GM PER LITER WATER","DELHI","North East","DELHI","2014-11-05 16:55:27.530"
"RABI","HORTICULTURE","Flowers","Marigold","Nutrient Management","MICRONUTRENT DEFICENCY IN MARIGOLD","SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 GM PER LITER WATER","DELHI","North East","DELHI","2014-11-06 10:38:53.123"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","TELL ME SOWING TIME  IN WHEAT","WHEAT SOWING TIME- OCT LAST WEAK TO NOVEMBER THIRD WEAK AND TILL DECEMBER LAST WEAK FOR LATE","DELHI","North East","DELHI","2014-11-07 07:52:51.317"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","PLZ TELL ME MARKET RATE OF DHAN -1121 IN NARELA","MARKET RATE OF DHAN -1121 IN NARELA 3030/Q","DELHI","North East","DELHI","2014-11-07 11:46:52.997"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME VARIETY OF WHEAT","VARIETY OF WHEAT HD-2967,2851","DELHI","North East","DELHI","2014-11-08 10:27:46.877"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","TELL ME CONTROL LEAF CURL IN POTATO.","SPRAY DIMETHOATE 30EC 2ML PER LITTER WATER.","DELHI","North East","DELHI","2014-11-09 08:53:44.383"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WEAT","???? ?? ??????- ??????????-343,550,373,???- 3077,4037,3777,3765,4120,4079,????????-1080","DELHI","North East","DELHI","2014-11-09 12:27:06.260"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","TELL ME ONION SEED RATE IN / HAC..","ONION SEED RATE IN 10 KG. / HAC..","DELHI","North East","DELHI","2014-11-10 09:52:13.857"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","TELL ME NARELA MANDI RATE IN PADDY","NARELA MANDI RATE IN PADDY 1121 3000 / QT..","DELHI","North East","DELHI","2014-11-10 10:06:32.823"
"RABI","HORTICULTURE","Fruits","Guava","Fertilizer Use and Availability","TELL ME FERTILIZER IN GUAVA","USE MICRONUTRIENT 50 GM PER PLANT","DELHI","North East","DELHI","2014-11-11 10:33:27.630"
"RABI","HORTICULTURE","Flowers","Jasmine","	Plant Protection	","TELL ME ABOUT PEST IN JASMINE","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","DELHI","North East","DELHI","2014-11-11 16:31:46.080"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","TELL ME CONTROL SUKING PEST SEM.","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","DELHI","North East","DELHI","2014-11-11 17:45:55.027"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","TELL ME ONION SEED AVALAIBLE IN DELHI","ONION SEED AVALAIBLE IN DELHI OF BEEJ BHAWAN 011 25841670 ,25842684","DELHI","North East","DELHI","2014-11-12 19:26:05.017"
"RABI","HORTICULTURE","Plantation Crops","Poplar","Seeds and Planting Material","TELL ME POPULAR PLANTATING TIME","POPULAR PLANTATING TIME OF FEB.- MARCH OR JUNE- JULY MONTH","DELHI","North East","DELHI","2014-11-13 10:40:18.653"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","TELL ME FERTILIZER IN WHEAT","FERTILIZERS IN WHEAT = UREA= 150  KG, DAP= 100 KG, MOP= 65 KG, ZINC SULPHATE= 25 KG PER HA","DELHI","North East","DELHI","2014-11-13 13:56:01.383"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","TELL ME MANDI RATE OF PADDY 1121 IN NARELA","MANDI RATE OF PADDY 1121 IN NARELA RS=2850-/QUINTAL","DELHI","North East","DELHI","2014-11-13 20:05:58.690"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","TELL ME VEGETABLE SEED AVAILABLITY","PLEASE CONTACT TO PUSA ATIC 011-25841670,25841039","DELHI","North East","DELHI","2014-11-14 14:09:23.107"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","TELL ME FERTILIZER IN MUSTARD","SPEAY OF POTASSIUM SULPHATE 0:0:50  5 GM PER LITER WATER","DELHI","North East","DELHI","2014-11-15 13:31:08.810"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","Seeds and Planting Material","TELL ME SOWING TIME IN GARLIC","SOWING TIME IN GARLIC OF -OCTOBER MONTH","DELHI","North East","DELHI","2014-11-17 07:18:52.837"
"RABI","HORTICULTURE","Medicinal and Aromatic Plants","Tulsi","Cultural Practices","TELL ME MEDICINAL PLANT NAME.","ALOVERA,ASWAGANDHA,KILHARI,TULSHI,GUGAL,BABCHI,SAFED MUSALI,LAMON GRASS.","DELHI","North East","DELHI","2014-11-17 11:18:02.393"
"RABI","HORTICULTURE","Vegetables","Others","Cultural Practices","TELL ME VEGETABLE SOWING THIS TIME.","PALAK,METHI,CHOLAI,SABJI SARSO.","DELHI","North East","DELHI","2014-11-17 13:08:02.780"
