"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Ribbed Gourd (Kali Tori)","Agriculture Mechanization","TELL ME GROWTH AFFECTED OF TORI","SPRAY= NPK 18:18:18  10 GRAM/LITER WATER IN TORI","DELHI","South","","2014-08-01 15:19:35.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME FERTILIZER IN PADDY","FERTILIZERS IN RICE= UREA= 200 KG, DAP= 100 KG, MOP= 65 KG, ZINC SULPHATE= 25 KG PER HA","DELHI","South","DELHI","2014-08-01 17:47:39.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME TERMITE CONTROL IN PADDY","USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION","DELHI","South","","2014-08-01 21:16:55.000"
"","AGRICULTURE","Others","Others","Weather","weather report of delhi","RAIN MAYBE POSIBLE NEXT FIVE DAYS IN DELHI NCR","DELHI","South","DELHI","2014-08-02 07:56:59.000"
"","HORTICULTURE","Fruits","Lemon","","BLIGHT IN LEMON","SPRAY MENCOZEB 2 GM/L. WATER","DELHI","South","DELHI","2014-08-02 16:28:52.000"
"","HORTICULTURE","Vegetables","Brinjal","","FUNGAL PROBLEM IN BRINJAL","SPRAY RIDOMIL GOLD 2 GM/L. WATER","DELHI","South","DELHI","2014-08-02 17:25:56.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRIC","POSSIBALITY OF RAIN MAY BE NEXT 3-4 DAYS IN YOUR DISTRIC","DELHI","South","","2014-08-03 08:24:43.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF DELHI","RAIN MAUYBE POSIBLE NEXT FIVE DAYS IN DELHI NCR","DELHI","South","","2014-08-04 10:25:46.000"
"JAYAD","AGRICULTURE","Others","Others","Cultural Practices","TELL ME CONTROL DUBGRASS IN FIELD.","SPRAY GALAIPHOSATE 5ML PER LITTER WATER.","DELHI","South","","2014-08-04 19:25:39.000"
"","","","","","","","DELHI","South","DELHI","2014-08-05 06:46:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME UREA DOSE FIRST TIME IN  DHAN CROP.","USE-65KG PER HECTARE.","DELHI","South","DELHI","2014-08-05 11:18:30.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER RAINFALL IN DELHI","POSSIBILITY OF RAINFALL IN DELHI DATED 06.08.2014  15 MM","DELHI","South","DELHI","2014-08-06 06:20:13.000"
"JAYAD","AGRICULTURE","Oilseeds","Sunflower (suryamukhi)","Seeds","TELL ME SOWING TIME  IN SUNFLOWER","SOWING TIME  IN SUNFLOWER OF JUNE-JULY OR FEB.-MARCH  MONTH","DELHI","South","DELHI","2014-08-07 09:45:26.000"
"","","","","","","","DELHI","South","","2014-08-07 19:49:23.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TELL ME CONTROL YELLOW LEAVES COLOUR IN DHAN CROP.","SPRAY ZINC SULPHATE 5GM+BHUJA CHUNA 2.50GM PER LITTER WATER.","DELHI","South","DELHI","2014-08-07 20:47:15.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME CONTROL BLACK ROOT IN DHAN CROP.","USE-BAVISTIN 200GM PER BIGHA .","DELHI","South","DELHI","2014-08-10 19:18:05.000"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","NO RAIN POSSIBILITY IN NEXT 5 DAYS","DELHI","South","DELHI","2014-08-20 10:38:21.497"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","TELL ME PUSA AGRICOM TOLL FREE NUMBER.","CONTECT FOR 1800118989","DELHI","South","DELHI","2014-08-20 14:53:07.307"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","test call","test call","DELHI","South","DELHI","2014-08-20 16:12:51.623"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","TELL ME RAIN FALL INFORMATION.","NO RAIN POSSIBILITY IN NEXT 4-5 DAYS, BUT SKY CLOUDLY.","DELHI","South","DELHI","2014-08-20 17:59:15.657"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","Crop Insurance","SOWING TIME OF TUMERIC","JUNE-JULY SOWING TIME OF TURMERIC","DELHI","South","DELHI","2014-08-20 20:04:14.060"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","TELL ME VARITY OF PEA","ARKEL,AJAD P-3,PUSA PRAGATI EARLY VARITY OF PEA","DELHI","South","DELHI","2014-08-20 21:02:28.350"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","TELL ME CONT. OF FRUIT BORER IN BRINJAL","SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER","DELHI","South","DELHI","2014-08-21 14:17:57.457"
"KHARIF","HORTICULTURE","Vegetables","Radish","Seeds and Planting Material","TELL ME VEGETABLE SOWING THIS TIME AND MATURE 50-60 DAYS.","RADISH SOWING THIS TIME.","DELHI","South","DELHI","2014-08-21 18:08:18.817"
"KHARIF","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","	Plant Protection	","TELL ME CONT. OF GRASSHOPPER IN JOWAR","YOU SHOULD BE APPLY METHAYLPARATHION 2% DUST 20-25KG PER HACTER","DELHI","South","DELHI","2014-08-21 18:59:36.520"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Cultural Practices","TELL ME URD SOWING TIME.","URD SOWING 15 JUNE-15 JULY.","DELHI","South","DELHI","2014-08-21 20:06:55.483"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Cultural Practices","TELL ME NO GROWTH OF TOMATO PLANT","SPRAY OF NPK 19:19:19  10GM PER LITER WATER","DELHI","South","DELHI","2014-08-22 07:52:15.710"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","tell me cont. pest in dhan crop","YOU SHOULD BE APPLY CARBOFURAN 3G 20-25KG PER HACTER","DELHI","South","DELHI","2014-08-22 12:37:50.787"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","test call 1","test call 1","DELHI","South","DELHI","2014-08-22 13:04:48.570"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION","NO RAIN FALL NEXT FIVE DAYS.","DELHI","South","DELHI","2014-08-22 15:25:09.207"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","TELL ME CARI CONTECT NUMBER.","CONTECT FOR 0581-2301261","DELHI","South","DELHI","2014-08-22 18:17:05.120"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","TELL ME CONTROL BLACK SPOT ON KINNOW.","SPRAY REDOMIL MZ 2 GRAM PER LITTER WATER.","DELHI","South","DELHI","2014-08-23 09:10:22.233"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","TELL ME GAMOSIS CONTROL IN CITRUS","SPRAY OF RIDOMIL MZ(METALEXYL+MENCOJEB) 2 GM PER LITER WATER","DELHI","South","DELHI","2014-08-23 09:12:11.370"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TELL ME WEEDICIDE USE IN 45 DAYS DHAN CROP.","NO USE WEEDICIDE 45 DAYS DHAN CROP.","DELHI","South","DELHI","2014-08-24 15:47:11.617"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","TELL ME CONTROL WHITE FLY  IN ARHAR.","SPRAY OF ACEPHATE  75% SP 2 GM PER LITER WATER","DELHI","South","DELHI","2014-08-24 18:48:11.583"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","TELL ME MUSTARD VARIETIES.","PUSA SARSO-25,PUSA SARSO-26,PUSA SARSO-27,PUSA AGRINI.","DELHI","South","DELHI","2014-08-24 19:51:38.793"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","TELL ME TERMITE CONTROL IN MANGO","USE CHLOROPYRIFOS 20% EC 40 ML PER PALNT WITH IRRIGATION","DELHI","South","DELHI","2014-08-25 10:03:32.493"
