"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about wilt in cotton","I suggested copperoxicloride 45 gram / 15 liter","GUJARAT","JAMNAGAR","KALAVAD                                           ","2014-10-01 08:27:08.637"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Field Preparation","ask about pit size for coconut","I suggested 60x60x60 cm","GUJARAT","JAMNAGAR","KALYANPUR                                         ","2014-10-01 08:43:36.383"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ask abt sucking pest ?","suggested neem oil 40 ml/pump spray","GUJARAT","JAMNAGAR","KALYANPUR                                         ","2014-10-01 09:04:47.013"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","ask control of white graub","I suggessted cloropyriphos 4 liter in irrigation water","GUJARAT","JAMNAGAR","JAMNAGAR                                          ","2014-10-01 09:56:41.013"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Agriculture Mechanization","ASK ABT UREA SHORTAGE PROBLEM?/","SUGGGESTED CONTACT AGRI.OFFICER.","GUJARAT","JAMNAGAR","JAMNAGAR                                          ","2014-10-01 10:02:47.430"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton angular leaf spot","i suggest spray carbendazim 15 gm / pump","GUJARAT","JAMNAGAR","JAMJODHPUR                                        ","2014-10-01 10:19:23.490"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ASK ABOUT GOVERNMENT SCHEMES","I SUGGESTED TO CONTACT DISTRICT AGRICULTURE OFFICER","GUJARAT","JAMNAGAR","KHAMBHALIA                                        ","2014-10-01 10:59:21.760"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask for fertilizer information","sugg to information","GUJARAT","JAMNAGAR","JAMJODHPUR                                        ","2014-10-01 11:07:17.170"
"KHARIF","AGRICULTURE","Fodder Crops","fodder sorghum","	Plant Protection	","ask about stem borer","I suggested spray quinalphosh 25 mili / 15 liter","GUJARAT","JAMNAGAR","KALYANPUR                                         ","2014-10-01 11:12:36.957"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ask for rainfall information","sugg to rainfall","GUJARAT","JAMNAGAR","KHAMBHALIA                                        ","2014-10-01 11:36:49.993"
