"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask abt larvae control?","profenophos 30 ml. per pump and to spray.","GUJARAT","MAHESANA","MAHESANA                                          ","2014-10-01 08:17:19.257"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ask for the tractor subsidies","40 hp 45000 and 60hp 60000","GUJARAT","MAHESANA","VISNAGAR                                          ","2014-10-01 08:29:39.613"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","ask about pod borer in green gram","I suggested spray cypermethrin 25 mili / 15 liter","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-10-01 08:53:49.403"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","ASK ABT SUCKING PEST PROBLEM?","SUGGGESTED NEEM OIL 40 ML AND ONE SPOON WASHING POWDER.","GUJARAT","MAHESANA","MAHESANA                                          ","2014-10-01 09:23:54.757"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ask about cotton white fly","i suggest spray fipronil 15 ml / pump","GUJARAT","MAHESANA","KADI                                              ","2014-10-01 10:05:28.797"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Sowing Time and Weather","ASK ABOUT SOWING TIME OF MUSTARD","I SUGGESTED TO START FIRST WEEK OF OCTOBER SOWING TIME OF MUSTARD","GUJARAT","MAHESANA","BECHRAJI                                          ","2014-10-01 10:09:48.067"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","Seeds and Planting Material","ASK ABOUT SOWING TIME OF BITTER GOUARD","I SUGGESTED TO FEBRUARY TO MARCH SOWING TIME OF BITTER GOUARD","GUJARAT","MAHESANA","MAHESANA                                          ","2014-10-01 10:21:00.150"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","Ask about rainfall information","sugg to varsad  che","GUJARAT","MAHESANA","BECHRAJI                                          ","2014-10-01 14:48:27.087"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Ask about general information and ID number","ID number has been provided","GUJARAT","MAHESANA","MAHESANA                                          ","2014-10-01 16:35:52.867"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","ask about fungicides","sugg to mancozeb 25 gram/pamp spre","GUJARAT","MAHESANA","MAHESANA                                          ","2014-10-01 16:36:46.100"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Ask for brinjal problem.","i suggested to check properly and than call in kcc.","GUJARAT","MAHESANA","VISNAGAR                                          ","2014-10-01 16:52:40.230"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","	Plant Protection	","Ask for the larva control","quinalphos 30 ml.per pump and to spray.","GUJARAT","MAHESANA","UNJHA                                             ","2014-10-01 17:06:18.117"
"KHARIF","HORTICULTURE","Condiments and Spices","Fennel","	Plant Protection	","ask for fertilizer dose","sugg to 30 kg yuriya /ha","GUJARAT","MAHESANA","KHERALU                                           ","2014-10-01 17:25:47.797"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ASK ABOUT FLOWERING","SUGGESTED BOOM FLOWER 30 ML PER PUMP","GUJARAT","MAHESANA","KHERALU                                           ","2014-10-01 17:25:48.010"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Ask for chlli whitefly problem.","i suggested to spray tryzophos 30 ml./pump.","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-10-01 18:17:53.830"
"KHARIF","HORTICULTURE","Vegetables","Potato","Cultural Practices","Ask for potato sowingtime information.","potato sowingtime:second week to last week of november month.","GUJARAT","MAHESANA","KHERALU                                           ","2014-10-01 20:21:19.390"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","ask abt safed musali ?","suggested all info. and sowing time may-june.","GUJARAT","MAHESANA","UNJHA                                             ","2014-10-01 20:28:52.210"
"KHARIF","HORTICULTURE","Drug and Narcotics","Tobacco","Cultural Practices","Ask for tobacco seedling information.","i suggested to contact experienced farmer.","GUJARAT","MAHESANA","VIJAPUR                                           ","2014-10-02 08:50:48.780"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Ask for chilli whitefly problem.","i suggested to spray tryzophos 30 ml./pump.","GUJARAT","MAHESANA","KADI                                              ","2014-10-02 08:55:57.440"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Ask for the larva control","cypermethrin 15 ml. per pump and to spray.","GUJARAT","MAHESANA","KADI                                              ","2014-10-02 08:56:56.527"
