"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in rohtak?","Information regarding weather in rohtak-no chance of rainfall .","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-10-01 18:00:48.210"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control blast in paddy ?","spray tilt @ 250 ml in 200 liter of water /acre.","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-10-03 08:39:53.123"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","information regarding HAU Helpline No.?","information regarding HAU Helpline No.?
H .A. U. Help line no. :-1800-180-3001monday Wednesday, and Friday 10-12am.","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-10-03 08:42:35.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding How to control thirips/insects in paddy?","Information regarding How to control thirips/insects in paddy?
control are:-spray Fem@45-50ml in 120-150 liter water per acer,","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-10-03 21:15:51.323"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding to weather  ?","information regarding to weather  ?Some clouds and no chance of rainfall today.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-10-03 21:20:22.017"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","how to control sheath blight  in paddy ?","how to control sheath blight  in paddy ?
spray of bavistin @ 600 gm in 200 liter water/acre .","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-10-04 07:29:07.117"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regardingh to weather?","some cloud and no rain fall today ,","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-10-04 12:17:03.690"
"KHARIF","HORTICULTURE","Vegetables","Radish","Bio-Pesticides and Bio-Fertilizers","information regarding how to control thirips in radish ?","information regarding how to control thirips in radish ?
Spray 400 ml. Malathion in 200 lt. of water per acre.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-10-05 08:47:25.727"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","How to control flower and fruit dropping in chillies crop  ?","How to control flower and fruit dropping in chillies crop  ?
Spray 50 ml. Planofix or oriyofinzin in 200 lt. of water/acre .","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-10-05 08:51:38.083"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding to weather in faridabad ?","Information regarding to weather in faridabad ?
No chance of rainfall  today .","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-10-06 07:56:08.837"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Contact no. of Pusa Farm Delhi?","Contact no. of Pusa Farm Delhi?
011-25841670.","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-10-06 10:51:30.950"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early varieties of wheat?","Information regarding early varieties of wheat : WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-10-07 09:37:50.500"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regardingh to sundai control in paddy crops ?","information regardingh to sundai control  in paddy crops ? Spray 40 ml fame @120 lt water per acre ,","HARYANA","FARIDABAD","BALLABGARH                                        ","2014-10-07 16:59:56.200"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Information regarding weather in faridabad?","Information regarding weather in faridabad?
Some clouds,no chances of rainfall,today.","HARYANA","FARIDABAD","FARIDABAD                                         ","2014-10-08 16:15:38.993"
