"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding to weather in gurgaon?","Information regarding to weather in gurgaon?
 Some clouds,no chance of rain fall today .","HARYANA","GURGAON","PATAUDI                                           ","2014-10-01 11:22:02.357"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Seeds","Information regarding early sowing varieties of mustad?","RH-0749, RH-8113, RH-8812, T-59.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-01 12:27:36.980"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","kheera me kide lage hai white fly","Imidachloprid 17.8% SL70-100 ml/acre  SPRAY KARE","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-01 12:57:02.557"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER OF GURGAON ?","WEATHER OF GURGAON ?SOME CLOUD AND SOME CHANCE OF RAIN TODAY .","HARYANA","GURGAON","PATAUDI                                           ","2014-10-01 14:48:37.860"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding to weather in gurgaon ?","Information regarding to weather in gurgaon ?
No chance of rainfall  today .","HARYANA","GURGAON","PATAUDI                                           ","2014-10-01 15:05:35.357"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control of stem borar in paddy?","Spray of Fame @40 Ml in 120 Ltr water/acre.","HARYANA","GURGAON","SOHNA                                             ","2014-10-01 18:49:15.850"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in gurgaon?","Information regarding weather in gurgaon -no chance of rainfall .","HARYANA","GURGAON","GURGAON                                           ","2014-10-01 18:54:37.767"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in gurgaon?","Information regarding weather in gurgaon -no chance of rainfall .","HARYANA","GURGAON","GURGAON                                           ","2014-10-01 18:54:51.427"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in Gurgoan?","Information regarding weather in Gurgoan?Some clouds,no chances of rainfall,today.","HARYANA","GURGAON","PATAUDI                                           ","2014-10-01 19:21:22.097"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in gurgaon?","Information regarding weather in gurgaon?
Some clouds no chance of rainfall today.","HARYANA","GURGAON","PATAUDI                                           ","2014-10-01 20:25:51.583"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding to weather in gurgaon ?","Information regarding to weather in gurgaon ?
No chance of rainfall  today .","HARYANA","GURGAON","PATAUDI                                           ","2014-10-02 07:22:20.807"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Seeds","Information regarding early sowing varieties of mustad?","Information regarding early sowing varieties of mustad?
 RH-0749, RH-8113, RH-8812, T-59.","HARYANA","GURGAON","PATAUDI                                           ","2014-10-02 07:52:10.687"
"RABI","AGRICULTURE","Others","Others","Weather","information regarding weather in gurgaon ?","some clouds and no chance of rainfall.","HARYANA","GURGAON","PATAUDI                                           ","2014-10-02 07:57:51.060"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in Gurgoan?","some clouds, no chance of rainfall, today.","HARYANA","GURGAON","SOHNA                                             ","2014-10-02 14:35:02.143"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Information regarding early varieties of wheat?","WH-1105,WH 542, WH 711, DBW 17, PBW 343, DPW-621-50, HD-2967.","HARYANA","GURGAON","PATAUDI                                           ","2014-10-02 15:31:51.770"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Information regarding weather in gurgaon?","Information regarding weather in gurgaon?
some clouds,  no chance of rainfall.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-02 19:50:16.547"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","Information regarding early sowing varieties of mustad?","Information regarding early sowing varieties of mustad?
 RH-0749,0406 RH-8113, RH-8812, T-59.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-02 19:54:26.297"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","How to control fungal disease in cotton?","How to control fungal disease in cotton?
spray 600 gm coc + 6 gm septrtocycle in 200 liter of water per acer.","HARYANA","GURGAON","PATAUDI                                           ","2014-10-03 08:00:03.740"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","information regarding how to control of blast  in paddy crop ?.","information regarding how to control of blast  in paddy crop -spray 250 tillt ,200 liter water per acre .","HARYANA","GURGAON","SOHNA                                             ","2014-10-03 09:03:42.750"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","GURGAON","SOHNA                                             ","2014-10-03 14:11:01.840"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER OF GURGAON ?","WEATHER OF GURGAON ARE :-WEATHER WILL BE CLOUDY NO CHANCE OF RAIN TODAY .","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-03 14:11:35.023"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in Gurgoan?","Information regarding weather in Gurgoan?
Some clouds,no chances of rainfall,today.","HARYANA","GURGAON","GURGAON                                           ","2014-10-03 18:14:29.993"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding how to control insect in paddy ?","Information regarding how to control insect in paddy ?spray 40 ml fame in 120 litre water/acre.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-03 18:16:40.707"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in gurgaon ?","Some clouds and no chance of rainfall today.","HARYANA","GURGAON","GURGAON                                           ","2014-10-03 19:10:28.567"
"RABI","AGRICULTURE","Others","Others","Weather","information regarding to weather in gurgaon?","today some clouds and  no chances of rainfall.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-03 19:25:23.887"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding to weather Gurgaon?","Some clouds and no chances of rainfall today.","HARYANA","GURGAON","SOHNA                                             ","2014-10-04 09:04:54.397"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in guegaun ?","Information regarding weather in guegaun ?some cloudy weather,no chance of rainfall today.","HARYANA","GURGAON","GURGAON                                           ","2014-10-04 09:18:45.383"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather of Gurgaon ?","weather of Gurgaon ? no chance rain fall ion today .","HARYANA","GURGAON","SOHNA                                             ","2014-10-04 10:19:12.113"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to control aphids in tomato?","How to control aphids in tomato?
Spray 400 ml. malathion in 200 lt. of water per acre.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-04 12:43:49.790"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Bio-Pesticides and Bio-Fertilizers","How to control Early Blight in Tomato?","How to control Early Blight in Tomato?
Spray 400 gm. M-45 in 200 lt. of water per acre.","HARYANA","GURGAON","PATAUDI                                           ","2014-10-04 12:49:49.570"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in Gurgaon?","Some clouds and no chance of rainfall today.","HARYANA","GURGAON","PATAUDI                                           ","2014-10-04 13:32:06.683"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Varieties","improved varieties of mustarad ?","RH 0749, RH 30, Varuna, Luxmi, Vasundhara.","HARYANA","GURGAON","PATAUDI                                           ","2014-10-04 15:28:46.010"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","`Information regarding how to control leaf folder in paddy crop ?spray faim @ 40 ml in 150 litre of water/acre.","`Information regarding how to control leaf folder in paddy crop ?spray faim @ 40 ml in 150 litre of water/acre.","HARYANA","GURGAON","GURGAON                                           ","2014-10-04 15:44:58.260"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","Information regarding early sowing varieties of mustad?","RH-0749, RH-8113, RH-8812, T-59.","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-05 06:33:06.377"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","information regarding early  varieties of wheat ?","wh-1105,whd-948,wh-711-157,pbw-343,hd-2967,dbw-17dbw -621, 650 ,hd 2851, 2894 ,RAJ-3765","HARYANA","GURGAON","SOHNA                                             ","2014-10-05 08:08:12.533"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","information regarding variety of potato?","information regarding variety of potato?
variety of potato in kufri chandermukhi,badshah,ashoka,jawaher,satluj,sinduri .","HARYANA","GURGAON","PATAUDI                                           ","2014-10-05 08:16:58.603"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Varieties","Information regarding sowing time of Mustard?","Information regarding sowing time of Mustard?
Information regarding sowing time of Mustard-25 september to october last .","HARYANA","GURGAON","FARRUKH NAGAR                                     ","2014-10-05 11:01:14.360"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","How to control Early Blight in potato?","How to control Early Blight in potato?
Spray 400 gm. M-45 in 200 lt. of water per acre.","HARYANA","GURGAON","GURGAON                                           ","2014-10-05 12:45:09.420"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","information regarding variety of potato ?","variety of potato in kufri badshah,ashoka,sinduri,satluj,jawaher .","HARYANA","GURGAON","GURGAON                                           ","2014-10-05 12:56:16.750"
