"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding soil testing?","Contact your nearest Krishi Vigyan Kender.","HARYANA","JIND","UCHANA                                            ","2014-10-01 06:43:48.810"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","how to control thirips in MAIZE ?","how to control thirips in MAIZE ?
spray of melathion @ 400 ml/200 liter water/acre  or ROGOR 350 ml/200 litre of water.","HARYANA","JIND","ALEWA                                             ","2014-10-01 07:03:43.377"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","information regarding for control of marodia in tomato ?","information regarding for control of marodia in tomato : spray of 300 gm aciphate + 300 gm saaf in 120 litre of water/acre.","HARYANA","JIND","JULANA                                            ","2014-10-01 07:12:20.813"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control fungal disease in paddy ?","how to control fungal disease in paddy ?
spray of propiconajol ( tilt)@ 250 ml/200 liter water/acre .","HARYANA","JIND","UCHANA                                            ","2014-10-01 07:27:22.527"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of jind?","Information regarding weather of jind? weather of jind are:-some clouds and no chance of rainfall in today,","HARYANA","JIND","PILLUKHERA                                        ","2014-10-01 07:30:47.590"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of jind?","Information regarding weather of jind? weather of jind are:-some clouds and no chance of rainfall in today and night,","HARYANA","JIND","JIND                                              ","2014-10-01 07:33:06.423"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of jind?","Information regarding weather of jind? weather of jind are:-some clouds and no chance of rainfall in today,","HARYANA","JIND","UCHANA                                            ","2014-10-01 07:48:47.077"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding for control of stem borrer in paddy ?","information regarding for control of stem borrer in paddy : spray of fame(flubendamide 480 ec) 40 ml in 120 litre of water/acre.","HARYANA","JIND","SAFIDON                                           ","2014-10-01 07:57:45.527"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","Information regarding early sowing varieties of wheat?","Information regarding early sowing varieties of wheat?
WH-1105, WHD-948,WH-711, HD-2967, DPW-621, DBW-17.","HARYANA","JIND","UCHANA                                            ","2014-10-01 08:01:05.017"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in jind?","Some clouds,no chances of rainfall,today.","HARYANA","JIND","SAFIDON                                           ","2014-10-01 08:01:55.093"
"KHARIF","HORTICULTURE","Vegetables","Potato","Bio-Pesticides and Bio-Fertilizers","Information regarding total dose of fertilizers in potato ?","Information regarding total dose of fertilizers in potato ?urea @ 110 kg,dap-50 kg,potas-40 kg/acre.","HARYANA","JIND","UCHANA                                            ","2014-10-01 08:02:39.453"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control fungal diseases in paddy?","SPRAY TILT @ 200 ml / 200 liter water per acre.","HARYANA","JIND","JIND                                              ","2014-10-01 08:08:27.183"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control sundi in paddy ?","spray fam @ 40 ml in 150 liter of water /acre.","HARYANA","JIND","SAFIDON                                           ","2014-10-01 08:28:01.830"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding for control of stem borrer in paddy ?","information regarding for control of stem borrer in paddy : spray of fame(flubendamide 480 ec) 40 ml in 120 litre of water/acre.","HARYANA","JIND","ALEWA                                             ","2014-10-01 08:32:24.993"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding HAU Helpline No.?","H. A .U.help line no. :-1800-180-3001 Monday, Wednesday & Friday 10 AM-1PM.","HARYANA","JIND","NARWANA                                           ","2014-10-01 08:36:12.690"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding for control of neck blast in paddy ?","information regarding for control of neck blast in paddy : spray of tricychlazol @ 120 gm in 200 litre of water/acre.","HARYANA","JIND","ALEWA                                             ","2014-10-01 08:46:28.060"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","control of bacterial leaf blight in dhan?","spray 250 gm copper oxichloride + 6 gm streptocyclin in 200 litre of water/acre.","HARYANA","JIND","UCHANA                                            ","2014-10-01 08:48:19.593"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding early sowing varieties of mustad?","Information regarding early sowing varieties of mustad?
 RH-0749, RH-8113, RH-8812, T-59.","HARYANA","JIND","SAFIDON                                           ","2014-10-01 08:55:07.803"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding how to control insects in paddy crops?","Information regarding how to control insects in paddy crops? control are:-spray Fem@40-45 ml in 130-140 liter water per acer,","HARYANA","JIND","JULANA                                            ","2014-10-01 09:09:06.050"
