"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in kaithal ?","Some cloud no  chance of rainfall today.","HARYANA","KAITHAL","KAITHAL                                           ","2014-10-01 07:29:00.603"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control fungal disease in paddy ?","how to control fungal disease in paddy ?
spray of propiconajol ( tilt)@ 250 ml/200 liter water/acre .","HARYANA","KAITHAL","KAITHAL                                           ","2014-10-01 07:43:04.113"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","improved varieties of wheat ?","wh 1105,dvw 17,wh 147,","HARYANA","KAITHAL","KAITHAL                                           ","2014-10-01 07:44:44.033"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding for control of aphids in paddy ?","information regarding for control of aphids in paddy : spray of buffrofenzene @ 350 ml in 150 litre of water/acre.","HARYANA","KAITHAL","SIWAN                                             ","2014-10-01 08:11:01.050"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of kaithal?","weather of kaithal are:-some clouds and no chance of rainfall in today and night,","HARYANA","KAITHAL","RAJOUND                                           ","2014-10-01 08:39:26.847"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding how to control fungal dieases  in paddy ?","information regarding how to control fungal dieases  in paddy ?
spray 250 ml tillt ,200 liter water acre ,","HARYANA","KAITHAL","KALAYAT                                           ","2014-10-01 09:16:01.937"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in kaithal?","Some clouds,no chances of rainfall,today.","HARYANA","KAITHAL","KALAYAT                                           ","2014-10-01 09:24:20.640"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding how to control white spike/black grain/fungal disease in paddy crop ?","Information regarding how to control white spike/black grain/fungal disease in paddy crop ?spray tilt @ 200 ml in 200 litre of water/acre.","HARYANA","KAITHAL","KALAYAT                                           ","2014-10-01 10:50:35.993"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","Information regarding early sowing varieties of mustad?","RH-0749, RH-8113, RH-8812, T-59.","HARYANA","KAITHAL","KAITHAL                                           ","2014-10-01 10:56:46.557"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding to weather in kaithal?","Information regarding to weather in kaithal?
 Some clouds,no chance of rain fall today .","HARYANA","KAITHAL","GUHLA                                             ","2014-10-01 10:59:59.220"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control neck blast of paddy ?","spray of taspa 400ml,150lit. of water per acre.","HARYANA","KAITHAL","PUNDRI                                            ","2014-10-01 11:10:17.803"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control shoot root of paddy ?","spray of taspa 400ml,150 lit. of water per acre.","HARYANA","KAITHAL","RAJOUND                                           ","2014-10-01 11:31:37.300"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding Improved varieties of wheat crop ?","Information regarding Improved varieties of wheat crop ?   c-306,wh-1025,wh-1080,wh-147,wh-157,wh-283,wh-416,wh-542,pbw-343,pbw-373, wh-1105 ,","HARYANA","KAITHAL","KAITHAL                                           ","2014-10-01 11:31:51.793"
"RABI","AGRICULTURE","Others","Others","Weather","information regarding to weather in kaithal?","information regarding to weather in kaithal?some cloudy weather.& no chance of rainfall todaty.","HARYANA","KAITHAL","GUHLA                                             ","2014-10-01 12:09:42.570"
"KHARIF","AGRICULTURE","Fodder Crops","Barseem","Seeds","varities of barseen?","varities of barseen? mascavi, hisar barseem-1, hisar barseem-2.","HARYANA","KAITHAL","KAITHAL                                           ","2014-10-01 12:10:01.007"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in kaithal?","Some clouds,no chances of rainfall,today.","HARYANA","KAITHAL","GUHLA                                             ","2014-10-01 12:34:28.360"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regardingh to weather today ?","information regardingh to weather today ?
some clouds and  chance of rain fall today,","HARYANA","KAITHAL","GUHLA                                             ","2014-10-01 14:34:31.070"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","information regarding fungal dieases in paddy crop ?","information regarding fungal dieases in paddy crop-spray 200ml prepiconajole ,150 liter water per acre .","HARYANA","KAITHAL","RAJOUND                                           ","2014-10-01 15:43:05.773"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding control fungal disease in padday ?","information regarding control fungal disease in padday ?
spray of tilt @250 Ml in 200 Lt water/acre.","HARYANA","KAITHAL","PUNDRI                                            ","2014-10-01 15:53:45.227"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER OF KAITHAL ?","WEATHER OF KAITHAL ARE :- SOME CLOUD AND SOME CHANCE OF RAIN TODAY .","HARYANA","KAITHAL","PUNDRI                                            ","2014-10-01 16:18:13.937"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","Information regarding how to control fungal disease in paddy crop ?","Information regarding how to control fungal disease in paddy crop ?

information regarding fungal dieases in paddy crop-spray 200ml prepiconajole ,150 liter water per acre .","HARYANA","KAITHAL","KAITHAL                                           ","2014-10-01 16:52:42.600"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER OF KAITHAL ?","WEATHER OF KAITHAL ? NO CHANCE RAIN FALL IN TODAY","HARYANA","KAITHAL","GUHLA                                             ","2014-10-01 17:09:27.767"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding to weather in kaithal ?","Information regarding to weather in kaithal ? Some clouds,no chance of rain fall today .","HARYANA","KAITHAL","KAITHAL                                           ","2014-10-01 17:26:34.050"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control leaf folderor or gubh sundi in paddy?","How to control leaf folderor or gubh sundi in paddy?
Spray 200 ml. monocrotophos ya 500 ml mithail parathion in 200 lt. of water per acre.","HARYANA","KAITHAL","GUHLA                                             ","2014-10-01 17:26:46.263"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","information regarding fungal dieases in paddy crop","information regarding fungal dieases in paddy crop-spray 200ml prepiconajole ,150 liter water per acre .","HARYANA","KAITHAL","GUHLA                                             ","2014-10-01 17:37:29.743"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control leaf folderor or gubh sundi in paddy?","How to control leaf folderor or gubh sundi in paddy?
Spray 200 ml. monocrotophos ya 500 ml mithail parathion in 200 lt. of water per acre.","HARYANA","KAITHAL","KALAYAT                                           ","2014-10-01 17:49:47.080"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding how to control of blast  in paddy crop ?.","information regarding how to control of blast  in paddy crop -spray 250 tillt or 200 ml hinosan  or 200 ml karbendazim  or 120 gram beem ,200 liter water per acre .","HARYANA","KAITHAL","KALAYAT                                           ","2014-10-01 18:12:15.907"
