"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Information regarding how to control Phalaris Minor weeds in wheat?","spray 160gm topik@200 lt water per acre,","HARYANA","MEWAT","TAORU                                             ","2014-12-01 07:34:37.043"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","HOW  TO  CONTROL  FUNGAL DISEASE  IN POTATO CROP ?","spray 400gm diathen m-45  or bavistin  in 200 litre water /acre .","HARYANA","MEWAT","NUH                                               ","2014-12-01 12:12:35.037"
"RABI","AGRICULTURE","Cereals","Wheat","	Water Management	","INFORMATION   REGARDING First    IRRIGATION    OF  WHEAT   CROP ?","INFORMATION   REGARDING First    IRRIGATION    OF  WHEAT   CROP ? 
First    IRRIGATION  21 to 25 days   OF  WHEAT   CROP","HARYANA","MEWAT","NUH                                               ","2014-12-01 15:51:48.953"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather of mewat.?","weather of mewat.? no chance of rain fall today.?","HARYANA","MEWAT","PUNAHANA                                          ","2014-12-01 18:44:37.213"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","information regarding late verieties of wheat?","PBW-373, HD-2851, UP-2338, RAJ-3765, SONALIKA, WH-1021.wh-711,896,-pdw-233,-,542-, 912,","HARYANA","MEWAT","FEROZEPUR JHIRKA                                  ","2014-12-01 19:16:38.890"
"RABI","AGRICULTURE","Others","Others","Weather","Information regarding weather in Mewat?","Some clouds,no chances of rainfall,today.","HARYANA","MEWAT","PUNAHANA                                          ","2014-12-01 20:15:41.000"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather of mewat.?","weather of mewat.? no chance of rain fall today.?","HARYANA","MEWAT","TAORU                                             ","2014-12-01 21:28:08.710"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding late varieties of wheat?","HD-2851, DBW-550, HD-2894, RAJ-3765, UP-2338.","HARYANA","MEWAT","NUH                                               ","2014-12-02 08:10:16.473"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Information regarding late varieties of wheat?","Late Varieties of wheat - HD-2851 ,HD-2932, PBW-373, PBW-658, RAJ-3765, UP-2338.","HARYANA","MEWAT","PUNAHANA                                          ","2014-12-02 08:23:54.200"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","Information regarding weeds control in wheat crop ?","Information regarding weeds control in wheat crop ?
Spray algrip 8gm in 200-250 litre water /acre.","HARYANA","MEWAT","NUH                                               ","2014-12-02 08:54:51.420"
