"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","how to control leaf roller insect of pea ?","control leaf roller insect of pea is spray Rogor @ 1 ml/litre of water.","HIMACHAL PRADESH","CHAMBA","SALUNI","2014-08-01 09:34:21.000"
"","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","how to control weeds in pea ?","spray 250 ml stomp per 60 litre of water per bigha","HIMACHAL PRADESH","CHAMBA","SALUNI","2014-08-01 11:03:16.000"
"JAYAD","HORTICULTURE","Vegetables","Pea (Vegetable)","","how to control thrips in pea ?","spray 1 ml melathion , 1 litre water .","HIMACHAL PRADESH","CHAMBA","SALUNI","2014-08-01 17:43:52.000"
"KHARIF","AGRICULTURE","Others","Others","","Other state Call?","Try Again The BSNL Mobile and Land Line Same no. Speak in Our State .","HIMACHAL PRADESH","CHAMBA","BHATTIYAT                                         ","2014-08-01 19:00:08.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control leaf curl in paddy crop ?","Spray with Monocrotofos @ 1 ml /1 liter of water .","HIMACHAL PRADESH","CHAMBA","CHAMBA                                            ","2014-08-01 20:24:49.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding weather in chamba ?","weather in chamba are : Today Chance of rain .","HIMACHAL PRADESH","CHAMBA","CHAMBA                                            ","2014-08-01 21:15:24.000"
"JAYAD","AGRICULTURE","Others","Others","","NUMBER OF NAUNI UNIVERSITY","NUMBER OF NAUNI UNIVERSITY","HIMACHAL PRADESH","CHAMBA","CHAMBA                                            ","2014-08-01 21:19:19.000"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","information regarding for spray in pre-harvest  (before 20 days harvesting)stage in apple plants?","Spray with captan@600gm+melathian@200ml/200 liter of water in apple plants","HIMACHAL PRADESH","CHAMBA","MEHLA                                             ","2014-08-02 06:37:28.000"
"","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","how to control blight in cucumber ?","spray 2.5 gram mancozeb per litre of water.","HIMACHAL PRADESH","CHAMBA","MEHLA                                             ","2014-08-02 11:42:36.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","Information regarding for fertilizer dose in makka crops?","Fym.-12q,Urea-21,MOP-5KG, ssp-30kg/BIGHA fertilizer dose in maize","HIMACHAL PRADESH","CHAMBA","CHAMBA                                            ","2014-08-02 11:55:22.000"
