"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather today of kinnaur ?","Weather today of kinnaur is cloudy and chance of rainfall.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-02 12:48:40.000"
"JAYAD","AGRICULTURE","Others","Others","","weather of kinnaur ?","tonight chance of rain .","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-02 16:17:57.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather today of kinnaur ?","Weather today of kinnaur is cloudy and chance of rainfall.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-03 07:41:33.000"
"","AGRICULTURE","Others","Others","","WEATHER OF KINNAUR?","SOME CHANCE OF RAINFALL.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-03 16:36:05.000"
"","HORTICULTURE","Fruits","Apple","	Plant Protection	","SPRAY AFTER WALNUT STAGE IN APPLE ?","SPRAY AFTER WALNUT STAGE IN APPLE 600 GRAM ZINEB PER 200 LITRE OF WATER","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-04 11:55:14.000"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","Please give me contect no. in solan horticulture uni.?","contect no. in solan horticulture uni. are : 01792-252706.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-04 12:26:03.000"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","how to Control root rot in apple ?","Control root rot in apple are drenching indofil m-45 @ 25gm + bavistin @ 10gm/10litre of water.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-04 17:19:19.000"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","How much Does of Entrkol in Fruit Development Size Stage ?","Does of Entrkol in Fruit Development Size Stage are : 600 Gm / 200 Liters of Water.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-04 20:38:45.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding weather Today in Nichar Tehsil ?","Weather Today in Nichar Tehsil are : Mostaly Cloudy 5-10 % Chance of Rain.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-04 21:22:28.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Nichar ?","Weather Today in Nichar are : Mostaly Cloudy 5-10 % Chance of Rain.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-05 08:20:10.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Kinour Distt. ?","Weather Today in Kinour Distt. are : Mostaly Cloudy 5-10 % Chance of Rain.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-05 08:50:45.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding weather Today in Kinaur Distt. ?","Weather Today in Kinaur Distt. are : Mostaly Cloudy 5-10 % Chance of Rain.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-05 13:18:22.000"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","How Much Fruit Harvest Before (20-25 ) Day Spray in Apple plant ?","Spray with Ziram @ 600 gm /200 liter of water .Next 2 day After melathion @ 200 ml /200 liter of water .","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-05 15:49:33.000"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","information regarding for spray in Fruit development (after 20 days of walnut size)stage in apple plants?","Fruit development (20 days after 4th spray)in apple is dodine @ 150gram/200 litre of water and fenzaqueen (mazister)@ 50ml/200 litre of water.","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-08-05 17:34:45.000"
"JAYAD","HORTICULTURE","Fruits","Apple","","How Much Fruit Development (6-20 ) Day spray in apple plant ?","How Much Fruit Development (6-20 ) Day spray in apple plant ?
Spray with Propineb Or Zineb @ 600 gm /200 liter of water .Next  Day Before Mazister @ 50 ml /200 liter of water .","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-08-06 06:57:50.000"
"JAYAD","AGRICULTURE","Others","Others","","weather of kinnaur ?","tonight chance of rain .","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-06 09:23:58.000"
"","AGRICULTURE","Others","Others","","apple at 20-25 days before harvesting.","    Spray Captan/Ziram@600 gram + Melathion@200 ml/200 liter water in apple at 20-25 days before harvesting.","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-08-06 11:40:13.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","Cultural Practices","how to control mites in tomato ?","control mites in tomato are spray malathiyon @ 1 ml/ litre of water.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-06 20:28:59.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding weather in Kinnaur ?","weather in Kinnaur are : Today 5-10 % Chance of rain.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-07 17:21:48.000"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","How Much Fruit Harvest Before (20-25 ) Day Spray in Apple plant ?","Spray with Ziram @ 600 gm /200 liter of water .Next 2 day After melathion @ 200 ml /200 liter of water .","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-07 18:54:42.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information Regarding Weather in Kinnaur ?","Weather in Kinnaur are : Today Chance of rain .","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-07 18:58:48.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to cobntrol fruit borer in Tomato ?","Spray with DesiS @1 ml /1 liter of water .","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-09 08:00:09.000"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","How much Fruit Development (6-20 )Day spray in apple plant ?","Spray with Propineb OR Zineb @ 600 gm /200 liter of water  .next 2 day before  Mazister @ 50 Ml /200 liter of water .","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-09 12:33:59.000"
"","AGRICULTURE","Others","Others","","NUMBER OF NAUNI UNIVERSITY","NUMBER OF NAUNI UNIVERSITY PLEASE CONTACT 01792 252328","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-10 10:48:42.000"
"RABI","HORTICULTURE","Fruits","Apple","	Plant Protection	","how to control wooly apple aphid","spray 200 ml Carbosulfan per200 litre of water","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-08-11 07:43:24.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Information regarding Weather Today in Morang Tehsil?","Weather Today in Morang Tehsil are : Mostaly Cloudy .","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-08-11 07:57:42.000"
"","HORTICULTURE","Fruits","Apple","	Plant Protection	","spray in apple at 20-25 days before harvesting?","Spray Captan/Ziram@600 gram + Melathion@200 ml/200 liter water in apple at 20-25 days before harvesting.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-11 12:41:04.000"
"","AGRICULTURE","Others","Others","","spray in apple 20-25 days before harvesting","Spray Captan/Ziram@600 gm+ Melathion@200 ml/200 liter water in apple at 20-25 days before harvesting.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-11 15:07:37.000"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","How to control Woolly aphid in apple plant ?","Spray With Carbosulfan (Marsal 25 Ec ) @ 200 ml /200 liter of water","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-19 14:33:00.847"
"JAYAD","HORTICULTURE","Fruits","Apple","	Plant Protection	","How to control Woolly aphid in apple plant ?","Spray With Carbosulfan (Marsal 25 Ec ) @ 200 ml /200 liter of water","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-19 14:33:03.590"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","the farmer asked give me contact no. market ?","please contact this no. market 1800 180 2060 .","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-19 16:34:29.860"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","information regarding for spray in pre-harvest  (before 20 days harvesting)stage in apple plants?","Spray with captan@600gm+melathian@200ml/200 liter of water in apple plants?","HIMACHAL PRADESH","KINNAUR","POOH                                              ","2014-08-20 16:51:57.453"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","how to control of fungal diseasec in cucumber ?","spray with indofil m-45 @25gm/10 liter of water .","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-22 18:54:10.833"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","Dose of spray Pre-Harvest (20-25 days before harvest) in apple ?","Dose of spray Pre-Harvest (20-25 days before harvest) in apple is captan @ 600 gram + malatheyan @ 200ml/200 liters of water.","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-24 08:23:57.460"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather in kinnaur ?","weather in kinnaur are : Today no chance of rain .","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-24 14:52:55.670"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","information regarding for spray after harvesting in apple plant?","spray with urea-2kg/200 liter of water+copper oxychloride@600gm/200 liter of water after harvesting in apple plant.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-24 14:55:42.197"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","How Much Fruit Harvest After time  Spray in Apple plant ?","Spray with Blitox @ 600 gm /200 liter of water .Next 1-2 day after 400 ml chloropyrifos @ 400 ml /200 liter of water .","HIMACHAL PRADESH","KINNAUR","NICHAR                                            ","2014-08-26 09:01:44.780"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather of kinnaur ?","tonight chance of rain .","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-26 11:32:12.387"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","how to control powdry mildew in tomato ?","control powdry mildew in tomato are spray indofil M-45 @ 25gm in 10 litres of water .","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-26 18:49:03.870"
"KHARIF","HORTICULTURE","Fruits","Apple","	Plant Protection	","Farmar Ask what Spray I Use After harvesting Apple Fruit ?","Spray Blaitox @ 600 Gm + 2 Kg Urea /200 Liter of Water.","HIMACHAL PRADESH","KINNAUR","KALPA                                             ","2014-08-28 13:22:08.020"
