"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Fruits","Apple","","CONTROL  OF  LEAF  SPOST  IN APPLE   TREES  ?","SPRAY  ZIRAM (Ziram Ziride (80 WP) -
Cuman-L (27 W/V) M/S Syngenta India
Ltd.
Ziron (27 W/V) -
Zed-78 (80 WP) M/S Fungicide India
Ltd.
Zirex-L (27SC) M/S Fungicide India
Ltd.)","JAMMU AND KASHMIR","BADGAM","BEERWAH                                           ","2014-08-01 07:41:53.000"
"JAYAD","AGRICULTURE","Others","Others","Training and Exposure Visits","WEATEHER FOREACST  ?","Mostly cloudy with a thunderstorm
 Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","BADGAM","BEERWAH                                           ","2014-08-01 07:51:45.000"
"","AGRICULTURE","Others","Others","Weather","weather report","Mostly cloudy with a thunderstorm
Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","BADGAM","CHADOORA                                          ","2014-08-01 07:54:35.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER  FOREACST   ?","Intervals of clouds and sunshine with a thunderstorm
 Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","BADGAM","BADGAM                                            ","2014-08-01 08:39:53.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER  FOREACST  ?","Mostly cloudy with a thunderstorm
 Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","BADGAM","BEERWAH                                           ","2014-08-01 08:48:52.000"
"","AGRICULTURE","Others","Others","Weather","weather report","Mostly cloudy with a thunderstorm
Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","BADGAM","BADGAM                                            ","2014-08-01 08:50:17.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER  FOREACST ?","Mostly cloudy with a thunderstorm
 Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","BADGAM","BEERWAH                                           ","2014-08-01 08:50:46.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER  FOREACST   ?","Variably cloudy with a thunderstorm
 Max UV Index: 11 (Extreme)
Thunderstorms: 60%
Precipitation: 8 mm
Rain: 8 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 2 hrs
Hours of Rain: 2 hrs","JAMMU AND KASHMIR","BADGAM","BEERWAH                                           ","2014-08-01 09:02:15.000"
"","AGRICULTURE","Others","Others","Weather","weather report","Mostly cloudy with a thunderstorm
Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","BADGAM","KHAN-SAHIB                                        ","2014-08-01 09:18:40.000"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","WEATHER  FOREASCT  ?","Variably cloudy with a thunderstorm
 Max UV Index: 11 (Extreme)
Thunderstorms: 60%
Precipitation: 8 mm
Rain: 8 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 2 hrs
Hours of Rain: 2 hrs","JAMMU AND KASHMIR","BADGAM","NARBAL                                            ","2014-08-01 09:19:57.000"
