"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","FLOWER DROP","PLANOFIX 1ML IN 4.5 LITRES","JAMMU AND KASHMIR","RAMBAN","RAMBAN                                            ","2014-07-01 10:57:56.000"
"JAYAD","HORTICULTURE","Vegetables","French Bean","","RECOMMENDED VARIETIES OF FRENCH BEAN?","RECOMMENDED VARIETIES OF FRENCH BEAN BOUNTIFUL (BUSH TYPE) MASTER(BUSH TYPE).","JAMMU AND KASHMIR","RAMBAN","","2014-07-02 10:47:24.000"
"JAYAD","HORTICULTURE","Fruits","Aonla","","INFORMATION REGARDING WEATHER?","N
E
S
W

ESE 6 km/h 
Gusts: 11 km/h 
Considerable clouds with a couple of showers and a thunderstorm

Max UV Index: 3 (Moderate) 
Thunderstorms: 46% 
Precipitation: 17 mm 
Rain: 17 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 6 hrs 
Hours of Rain:","JAMMU AND KASHMIR","RAMBAN","","2014-07-02 12:03:35.000"
"JAYAD","HORTICULTURE","Fruits","Apple","Weather","INFORMATION REGARDING WEATHER?","Partial sunshine with a shower or thunderstorm around
Max UV Index: 12 (Extreme)
Thunderstorms: 40%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","RAMBAN","","2014-07-02 12:17:06.000"
"JAYAD","HORTICULTURE","Fruits","Apple","","INFORMATION REGARDING WEATHER?","N
E
S
W

SE 6 km/h 
Gusts: 16 km/h 
Times of clouds and sun with a shower or thunderstorm around

Max UV Index: 7 (High) 
Thunderstorms: 50% 
Precipitation: 7 mm 
Rain: 7 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 2 hrs 
Hours of Rain: 2 hrs","JAMMU AND KASHMIR","RAMBAN","","2014-07-02 12:25:07.000"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","weather  foreasct   ?","Intervals of clouds and sunshine with a shower or thunderstorm
 Max UV Index: 7 (High)
Thunderstorms: 60%
Precipitation: 20 mm
Rain: 20 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 3 hrs
Hours of Rain: 3 hrs","JAMMU AND KASHMIR","RAMBAN","","2014-07-02 12:32:47.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER","Times of clouds and sun with a shower or thunderstorm
Max UV Index: 9 (Very High)
Thunderstorms: 47%
Precipitation: 0.1 in
Rain: 0.1 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","RAMBAN","","2014-07-03 13:30:19.000"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","weather  forecast  ?","Times of clouds and sun
 Max UV Index: 9 (Very High)
Thunderstorms: 60%
Precipitation: 12 mm
Rain: 12 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 2.5 hrs
Hours of Rain: 2.5 hrs","JAMMU AND KASHMIR","RAMBAN","RAMBAN                                            ","2014-07-03 16:37:30.000"
"JAYAD","AGRICULTURE","Others","Others","","INFORMATION REGARDING WEATHER?","Times of clouds and sun with a shower or thunderstorm
Max UV Index: 10 (Extreme)
Thunderstorms: 40%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","RAMBAN","","2014-07-04 10:25:39.000"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","","information regarding control of insect in bottle gourd","spray metasystox @ 2ml /litre of water","JAMMU AND KASHMIR","RAMBAN","RAMBAN                                            ","2014-07-05 12:54:20.000"
