"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","","information regarding control of insect in brinjal","spray monocrotophos @ 2ml / litre of water","JAMMU AND KASHMIR","UDHAMPUR","MAJALTA                                           ","2014-08-01 15:08:47.000"
"JAYAD","AGRICULTURE","Others","Others","","information regarding soil testing","contact nearest agriculture deptt.","JAMMU AND KASHMIR","UDHAMPUR","MAJALTA                                           ","2014-08-01 16:55:49.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","information regarding weather?","More clouds than sun; very warm with a thunderstorm in the area
Max UV Index: 7 (High)
Thunderstorms: 60%
Precipitation: 0.11 in
Rain: 0.11 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","UDHAMPUR","MAJALTA                                           ","2014-08-01 17:34:22.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","information regarding weather?","More clouds than sun; very warm with a thunderstorm in the area
Max UV Index: 7 (High)
Thunderstorms: 60%
Precipitation: 0.11 in
Rain: 0.11 in
Snow: 0 in
Ice: 0 in
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","UDHAMPUR","MAJALTA                                           ","2014-08-01 17:37:13.000"
"JAYAD","HORTICULTURE","Fruits","Apple","Weather","TODAYS WEATHER FORECAST ?","Partly cloudy with a shower or thunderstorm

Max UV Index: N/A 
Thunderstorms: 40% 
Precipitation: 3 mm 
Rain: 3 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 1 hrs 
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","MAJALTA                                           ","2014-08-01 17:37:32.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","downy mildew in tomato","spray ridomil mz @ 2 gm in 1 lt water","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-08-01 18:01:34.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Training and Exposure Visits","INFORMATION REGARDING WEATHER?","Times of clouds and sun with a shower or thunderstorm around

Max UV Index: 10 (Extreme) 
Thunderstorms: 40% 
Precipitation: 3 mm 
Rain: 3 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 1 hrs 
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-08-03 12:25:45.000"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL OF BLIGHT IN BOTTLE GOURD ?","SPRAY RIDOMIL MZ @ 2.5GM/LITRE OF WATER .","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-08-03 13:12:43.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","YELLOWING","MENCOZEB 3G/LT WATER","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-08-04 10:02:45.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","Partly sunny and very warm with a shower or thunderstorm in spots
Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-08-04 10:32:00.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","Partly sunny and very warm with a shower or thunderstorm in spots
Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-08-04 10:38:13.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","Partly sunny and very warm with a shower or thunderstorm in spots
Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1.5 hrs
Hours of Rain: 1.5 hrs","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-08-04 10:39:25.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","INFORMATION REGARDING ANIMAL HUSBANDRY?","REGARDS TO NEARBY VETY . CLINIC OF YOUR AREA","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-08-04 12:24:50.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","INSECTS","CYPERMETHRIN+CHLOROPYRIPHOS 2ML/LT WATER","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-08-05 07:28:16.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","CONTROL  OF SHOOT  BORER  IN  BRINJAL  ?","SPRAY RIPOCORD OR DECIS OR  CHLOROPYRIPHOS + CYPERMETHRIN @ 1.5 - 2 ML PER  LITRE OF  WATER.","JAMMU AND KASHMIR","UDHAMPUR","PANCHRAI                                          ","2014-08-05 07:42:45.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","Times of clouds and sun with a thunderstorm

Max UV Index: 9 (Very High) 
Thunderstorms: 60% 
Precipitation: 3 mm 
Rain: 3 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 1 hrs 
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-08-05 08:58:25.000"
"JAYAD","AGRICULTURE","Others","Others","","INFORMATION REGARDING WEATHER REPORT","Times of clouds and sun with a thunderstorm
Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 3 mm
Rain: 3 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 1 hrs
Hours of Rain: 1 hrs","JAMMU AND KASHMIR","UDHAMPUR","RAMNAGAR                                          ","2014-08-05 12:52:22.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","LEAF MINER","Dimethoate @ 2 ml per lit of water","JAMMU AND KASHMIR","UDHAMPUR","CHENANI                                           ","2014-08-06 13:15:17.000"
"JAYAD","HORTICULTURE","Vegetables","French Bean","	Plant Protection	","CONTROL OF APHIDS IN FRENCH BEANS ?","SPRAY IMEDA CHLOPRID @ 2.5ML/LITRE OF WATER .","JAMMU AND KASHMIR","UDHAMPUR","UDHAMPUR                                          ","2014-08-06 13:51:28.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","CONTROL OF PLANT  HOPPER  ?","SPRAY IMADICLOPRID @  40 ML    OR SPRAY  CHLOROPYRIPHOS @  1 LITRE  OR  NUVACRON  @  560 ML  IN  100 LITRE OF  WATER PER  ACRE, REPEAT  ANY  ONE  AFTER  12 DAYS  INTERVALS.","JAMMU AND KASHMIR","UDHAMPUR","REASI                                             ","2014-08-07 07:43:44.000"
