"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Vegetables","Brinjal","","Farmer Kcc Registration   No","Farmer Kcc Registration   NoJRK_9435314","JHARKAND","EAST SINGHBHUM","","2014-08-03 19:10:47.000"
"","HORTICULTURE","Vegetables","Broad Bean","","weather information","???? ???? ??? ????? ???? ?? ?????? ???? ??","JHARKAND","EAST SINGHBHUM","","2014-08-04 10:06:03.000"
"","HORTICULTURE","Fruits","Citrus","","delay growth","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","EAST SINGHBHUM","","2014-08-05 09:06:36.000"
"","AGRICULTURE","Fodder Crops","Ricebean","","yellowing of leaves","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","EAST SINGHBHUM","","2014-08-05 09:07:57.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Yellowing of leaves okra","Yellowing of leaves okra-spray  SAFF @ 2g/lit of water","JHARKAND","EAST SINGHBHUM","PATAMDA                                           ","2014-08-05 09:42:36.000"
"","AGRICULTURE","Others","Others","","inset infestation","Spray cloropyriphos @ 2 ml in 1 litre of water","JHARKAND","EAST SINGHBHUM","","2014-08-06 07:01:25.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","about plant growth regulator","spray dhanzyme gold @ 8kg/acre","JHARKAND","EAST SINGHBHUM","CHAKULIA                                          ","2014-08-06 09:08:29.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","white fly insect problem of pomegranate","spray malathion @ 2ml/liter water","JHARKAND","EAST SINGHBHUM","","2014-08-07 07:41:14.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","white fly insect problem of pomegranate","spray malathion @ 2ml/liter water","JHARKAND","EAST SINGHBHUM","","2014-08-07 07:46:53.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem of brinjal","spray imidachloprid @ 1ml/3liter water","JHARKAND","EAST SINGHBHUM","","2014-08-07 07:49:39.000"
"","HORTICULTURE","Vegetables","Chillies","","Fruit borer","Spray malathion @ 2 gram in 1 liter of water","JHARKAND","EAST SINGHBHUM","","2014-08-07 08:47:38.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT BORER IN BRINJAL","SPRAY IMIDACHLOROPID(17.8SL) 1ML/3LIT OF WATER","JHARKAND","EAST SINGHBHUM","","2014-08-07 19:43:54.000"
"","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","•	VARIETIES OF BRINJAL","VARIETIES ARE RAJENDRA BAIGON-2,RAJENDRA ANNPURNA,PUSA ANMOL,ARKA NAVNEET","JHARKAND","EAST SINGHBHUM","","2014-08-07 19:45:04.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Seeds","about Good variety of maize","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","JHARKAND","EAST SINGHBHUM","","2014-08-08 06:20:18.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","disease of paddy crops","spray mancozeb @ 2gm/liter water","JHARKAND","EAST SINGHBHUM","BORAM","2014-08-08 13:44:47.000"
"","HORTICULTURE","Fruits","Passion Fruit","","Best variety of papaya","Best variety of papaya- pusa nanha, pusa dwarf, pusa delicious, pusa majesti","JHARKAND","EAST SINGHBHUM","","2014-08-09 15:03:22.000"
"","HORTICULTURE","Vegetables","Bitter Gourd","","Best variety of bitter guard","Best variety of bitter guard- pusa do mausami, pusa vesesh","JHARKAND","EAST SINGHBHUM","","2014-08-09 15:04:24.000"
"","HORTICULTURE","Vegetables","Cauliflower","","Variety in cauliflower","Variety in cauliflower-kuvari,kartiki,pusa dipali,hazipur aggat","JHARKAND","EAST SINGHBHUM","","2014-08-09 15:05:36.000"
"","HORTICULTURE","Vegetables","Others","","variety of turmeric-","variety of turmeric- rajajendra Sonia, R. H- 5, SUGUNA, SUBRNA","JHARKAND","EAST SINGHBHUM","","2014-08-09 15:06:42.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Varity of rice for low land area","Varity of rice for low land areaRajshree, satyam, sakuntla, rajendra mansuri, swarna sab 1","JHARKAND","EAST SINGHBHUM","","2014-08-09 15:08:29.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","yellowing of leaf","you should use malathions@2ml/ litar of water","JHARKAND","EAST SINGHBHUM","","2014-08-09 17:44:12.000"
"","HORTICULTURE","Vegetables","Brinjal","","yellowing in leaf","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","EAST SINGHBHUM","","2014-08-09 17:45:27.000"
"","HORTICULTURE","Vegetables","Brinjal","","flower problem","Spray  boomflower @ 2 ml in 1 liter of water","JHARKAND","EAST SINGHBHUM","","2014-08-09 17:47:03.000"
"","AGRICULTURE","Millets","Maize (Makka)","","Good variety of maize","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","JHARKAND","EAST SINGHBHUM","","2014-08-09 17:48:21.000"
"","HORTICULTURE","Vegetables","Brinjal","","insect problem in","Spray malathion @ 2 gram in 1 liter of water","JHARKAND","EAST SINGHBHUM","","2014-08-10 19:29:09.000"
"","AGRICULTURE","Others","Others","","inset infestaion","Spray imidachlorpid @ 1 ml in 3 litre of water","JHARKAND","EAST SINGHBHUM","","2014-08-10 19:29:52.000"
"","HORTICULTURE","Vegetables","Tomato","","VARIETY IN TOMATO","VARIETY IN TOMATO-PUSA RUBY,PUSA-120,PUSA SEETAL,PUSA GAURAV","JHARKAND","EAST SINGHBHUM","","2014-08-10 19:30:49.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","INSECT PROBLEM IN TOMATO PLANT","Spray cloropyriphos @ 2 ml in 1 litre of water","JHARKAND","EAST SINGHBHUM","BAHRAGORA                                         ","2014-08-20 09:17:15.130"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information in east singhbhum","weather information in east singhbhum-Cloudy weather in your area but no chance of rain","JHARKAND","EAST SINGHBHUM","CHAKULIA                                          ","2014-08-22 18:18:47.413"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing leaves of paddy crops","spray mancozeb @ 2gm/liter water","JHARKAND","EAST SINGHBHUM","MUSABANI                                          ","2014-08-23 08:41:34.230"
"KHARIF","HORTICULTURE","Fruits","Ber","	Plant Protection	","flower dropping","sprar planofix  1 ml./4.5 lt. of water.","JHARKAND","EAST SINGHBHUM","DUMARIA                                           ","2014-08-25 11:30:58.470"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Yellowing of leaves","Spray mancozeb @2gm/liter water","JHARKAND","EAST SINGHBHUM","POTKA                                             ","2014-08-26 11:57:58.850"
