"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","","inscet infestation","Spray imidachlorpid @ 2 ml in 1 litre of water","JHARKAND","GARHWA","GARHWA                                            ","2014-08-01 08:53:38.000"
"JAYAD","AGRICULTURE","Others","Others","","weather informatoion","Chance of precipitation to some extent in your area","JHARKAND","GARHWA","GARHWA                                            ","2014-08-01 08:54:24.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","","insect problem in chillies plant","Spray methyl demeton or dimethoate@ 1 ml in one liter of water","JHARKAND","GARHWA","KHARAUNDHI                                        ","2014-08-01 12:29:26.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Fertilizer application in paddy","Fertilizer application in paddy- NPK @ 100:40: 20: 15-20 KG ZINK / HA.","JHARKAND","GARHWA","KANDI                                             ","2014-08-01 14:31:27.000"
"","AGRICULTURE","Others","Others","","weather informatoion garhwa","weather informatoion garhwa-chance of rain","JHARKAND","GARHWA","KANDI                                             ","2014-08-01 14:50:16.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem tomato","Rotting problem tomato-Spray copper oxychloride @ 2g/lit of water","JHARKAND","GARHWA","GARHWA                                            ","2014-08-01 15:36:35.000"
"JAYAD","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Variety in cauliflower","Variety in cauliflower-kuvari,kartiki,pusa dipali,hazipur aggat","JHARKAND","GARHWA","GARHWA                                            ","2014-08-01 15:38:10.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","insect problem of vagetables","Spray dimethoate 30 EC @ 1 lit / ha or  methyl demeton 25 EC @ 1lit /ha","JHARKAND","GARHWA","MERAL                                             ","2014-08-01 15:43:11.000"
"","AGRICULTURE","Others","Others","","weather information","Cloudy weather in your area chance of heavy","JHARKAND","GARHWA","KANDI                                             ","2014-08-01 17:44:40.000"
"","AGRICULTURE","Millets","Maize (Makka)","","Good variety of maize-","Good variety of maize- saktiman 1-4, ganga-11, suan, devki","JHARKAND","GARHWA","KANDI                                             ","2014-08-01 17:45:53.000"
"","AGRICULTURE","Millets","Maize (Makka)","","insect problem in maize","you should use furadon @10 dana/ corps","JHARKAND","GARHWA","DANDAI                                            ","2014-08-01 17:56:54.000"
"","AGRICULTURE","Millets","Maize (Makka)","","problem in maize","Use Carbofuran @ 10-15 grains in gabha","JHARKAND","GARHWA","DANDAI                                            ","2014-08-01 18:19:51.000"
"","AGRICULTURE","Millets","Maize (Makka)","","weather information","Today Cloudy weather in your area chance of rain","JHARKAND","GARHWA","KHARAUNDHI                                        ","2014-08-01 19:19:14.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","yellowing of leaves bitter","yellowing of leaves bitter-Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","GARHWA","CHINIA                                            ","2014-08-01 19:45:26.000"
"","HORTICULTURE","Vegetables","Brinjal","","FRUIT BORER IN BRINJAL.","SPRAY QUINALPHOS-2ML/LIT OF WATER.","JHARKAND","GARHWA","MANJHIAON                                         ","2014-08-02 08:45:55.000"
"","HORTICULTURE","Vegetables","Chillies","","ROTTING OF CHILLIES.","SPRAY SAAF-2GM/LIT OF WATER.","JHARKAND","GARHWA","MANJHIAON                                         ","2014-08-02 08:49:13.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","","balack spot in tomato plant","Spray copper oxychloride @ 2g/lit of water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-02 10:21:56.000"
"JAYAD","AGRICULTURE","Others","Others","","weather informatoion","Chance of precipitation to some extent in your area","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-02 10:22:38.000"
"","HORTICULTURE","Vegetables","Knol-Khol","","variety of knol khol","white viana, parpul viayana seed rate-1.0-1.5 kg /hacter","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-02 10:40:20.000"
"","HORTICULTURE","Flowers","Crossandra","","Fungal attact","Carbendazim 12%  spray Carbendazim 12% @ 2 gm/water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-02 10:41:44.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Drying of leaf from tip portion","spray ay saff @ 2g/lit of water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-02 10:49:40.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","yellowing of leaves","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","GARHWA","KANDI                                             ","2014-08-02 11:01:58.000"
"","HORTICULTURE","Vegetables","Brinjal","","VARIETY IN TOMATO:-","PUSA SADABHAR,VAISHALI,RUPALI,NAVEN,RATNA","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-02 14:03:00.000"
"","HORTICULTURE","Vegetables","Cauliflower","","VARIETY IN CAULIFLOWER :-","HIMANI,SHWATI,SUMER KING AND SOWING","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-02 14:04:49.000"
"","HORTICULTURE","Vegetables","Cauliflower","","VARIETY IN CAULIFLOWER :-","HIMANI,SHWATI,SUMER KING AND SOWING","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-02 14:05:58.000"
"","HORTICULTURE","Fruits","Lemon","","Insect  attact in","use malathions@2ml/ litar of water","JHARKAND","GARHWA","CHINIA                                            ","2014-08-02 14:09:29.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Cercospora Leaf Spots disease in bhindi","Spray Mancozeb 0.25 %   at forthnightaly interval","JHARKAND","GARHWA","MERAL                                             ","2014-08-02 15:31:44.000"
"","HORTICULTURE","Flowers","Gladiolus","","Yellowing of leaves","spray in copper oxichloride @ 2 gm/water","JHARKAND","GARHWA","MERAL                                             ","2014-08-02 15:32:39.000"
"","HORTICULTURE","Vegetables","Cabbage","","Insect  attact in","malathions@2ml/ litar of water","JHARKAND","GARHWA","MERAL                                             ","2014-08-02 15:33:44.000"
"","HORTICULTURE","Vegetables","Cucumber","","Insect  attact in","Spray dimethoate @ 1.5 ml in 1 litre of water","JHARKAND","GARHWA","MERAL                                             ","2014-08-02 15:34:39.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Yellowing of leaf from upper portion PADDY","Yellowing of leaf from upper portion PADDY-spray mencozeb @ 2g/lit of water","JHARKAND","GARHWA","GARHWA                                            ","2014-08-02 15:49:16.000"
"","HORTICULTURE","Vegetables","Chillies","","Insect  attact in","Spray dimethoate @ 1.5 ml in 1 litre of water","JHARKAND","GARHWA","GARHWA                                            ","2014-08-02 15:58:02.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Yellowing of leaves paddy","Yellowing of leaves paddy-spray mancozeb @2gm/liter water","JHARKAND","GARHWA","KANDI                                             ","2014-08-02 16:15:42.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Yellowing of leaves paddy","Yellowing of leaves paddy-spray mancozeb @2gm/liter water","JHARKAND","GARHWA","GARHWA                                            ","2014-08-02 18:30:17.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect problem in paddy crops","insect problem in paddy crops-Spray IMIDACHLROPRID @1ML/3LITER OF WATER","JHARKAND","GARHWA","GARHWA                                            ","2014-08-02 18:31:24.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Variety of paddy for medium land","Variety of paddy for medium landsita, kanak, I R-36, rajendra sweta, santosh, sahbhagi","JHARKAND","GARHWA","CHINIA                                            ","2014-08-02 19:37:33.000"
"","HORTICULTURE","Vegetables","Chillies","","inscet infestation","Spray imidachlorpid @ 1 ml in 3 litre of water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-03 06:20:05.000"
"","AGRICULTURE","Others","Others","","weather informatoion","Chance of precipitation to some extent in your area","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-03 06:21:29.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Delay in growth","Spray boomflower @ 2 ml in 1 liter of water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-03 06:23:22.000"
"","HORTICULTURE","Vegetables","Chillies","","yellowing of leaves","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-03 06:24:26.000"
"","HORTICULTURE","Vegetables","Chillies","","inset infesation","Spray imidachlorpid @ 1 ml in 3 litre of water","JHARKAND","GARHWA","KHARAUNDHI                                        ","2014-08-03 11:25:50.000"
"","HORTICULTURE","Vegetables","Chillies","","Delay in growth","Spray boomflower @ 2 ml in 1 liter of water","JHARKAND","GARHWA","KANDI                                             ","2014-08-03 13:28:26.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","leaf curling disease in tomato","leaf curling disease in tomato-Spray metasistox @ 1.5 ml in 1 litre of water","JHARKAND","GARHWA","DHURKI                                            ","2014-08-03 14:26:02.000"
"","AGRICULTURE","Others","Others","","weather informatoion garhwa","weather informatoion garhwa-chance of rain","JHARKAND","GARHWA","DHURKI                                            ","2014-08-03 14:26:57.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","yellowing of leaves tomato","yellowing of leaves tomato-Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","GARHWA","DHURKI                                            ","2014-08-03 14:28:00.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaves paddy","yellowing of leaves paddy-Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","GARHWA","DANDAI                                            ","2014-08-03 17:25:18.000"
"","AGRICULTURE","Others","Others","","weather informatoion in garhwa","weather informatoion in garhwa-chance of rain","JHARKAND","GARHWA","KANDI                                             ","2014-08-03 18:52:33.000"
"","HORTICULTURE","Vegetables","Tomato","","Good variety of okra","Good variety of okra- prabhani kranti, arka abhay, arka anamika, bersa 
                        uphar,Punjab-7, okra-4","JHARKAND","GARHWA","RAMNA                                             ","2014-08-03 19:19:20.000"
"","HORTICULTURE","Vegetables","Tomato","","Varieties of tomato-","Vaishali, Rupali, Rashmi, Pusa Ruby, Pusa Early Dwarf, Pusa 120","JHARKAND","GARHWA","RAMNA                                             ","2014-08-03 19:20:38.000"
"","HORTICULTURE","Vegetables","Radish","","Varieties OF Radish","Pusa Desi, Pusa Chetki, Pusa Reshmi, Japanese White, Punjab Safed,                         Kalianpur No. 1, Arka Nishant, Pusa Himani","JHARKAND","GARHWA","RAMNA                                             ","2014-08-03 19:21:34.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Weeds problem in  paddy fields","You should use butachlor@2ml/ litar of water","JHARKAND","GARHWA","RAMNA                                             ","2014-08-03 19:22:51.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Rotting problem Tomato","Rotting problem Tomato-Spray copper oxychloride @ 2g/lit of water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-03 20:05:27.000"
"","HORTICULTURE","Vegetables","Chillies","","inset infestation","Spray cloropyriphos @ 2 ml in 1 litre of water","JHARKAND","GARHWA","DANDAI                                            ","2014-08-04 06:51:12.000"
"","AGRICULTURE","Others","Others","","weather information","Chance of precipitation to some extent in your area","JHARKAND","GARHWA","DANDAI                                            ","2014-08-04 06:56:37.000"
"","HORTICULTURE","Fruits","Papaya","","Delay in growth","Spray boomflower @ 2 ml in 1 liter of water","JHARKAND","GARHWA","DANDAI                                            ","2014-08-04 06:57:37.000"
"","HORTICULTURE","Flowers","Hibiscus (Gurhal)","","yellowing of leaves","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","GARHWA","DANDAI                                            ","2014-08-04 06:58:24.000"
"","HORTICULTURE","Vegetables","Chillies","","inscet infestation","Spray imidachlorpid @ 1 ml in 3 litre of water","JHARKAND","GARHWA","DANDAI                                            ","2014-08-04 06:59:22.000"
"","HORTICULTURE","Vegetables","Cowpea (Vegetable)","","Rotting problem","Spray copper oxychloride @ 2g/lit of water","JHARKAND","GARHWA","DANDAI                                            ","2014-08-04 07:00:13.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","inscet infestation","Spray malathion @ 2 gram in 1 liter of water","JHARKAND","GARHWA","DANDAI                                            ","2014-08-04 07:01:06.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","good variety of paddy for upper land-","turanta, prabhat,richariya, and saroj","JHARKAND","GARHWA","GARHWA                                            ","2014-08-04 13:52:02.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","yellowing color in bottlegourd","spray blitox 2.5gram/lit of water","JHARKAND","GARHWA","GARHWA                                            ","2014-08-04 14:12:58.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","Drying of leaf from tip portion bitter gaurd","Drying of leaf from tip portion bitter gaurd-spray mencozeb @ 2g/lit of water","JHARKAND","GARHWA","KANDI                                             ","2014-08-04 19:43:27.000"
"","AGRICULTURE","Others","Others","","weather information garhwa","weather information garhwa-Today Cloudy weather in your area chance of rain","JHARKAND","GARHWA","KANDI                                             ","2014-08-04 19:47:10.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Yellowing of leaves CHILLIES","Yellowing of leaves CHILLIES-spray mancozeb @2gm/liter water","JHARKAND","GARHWA","BHAWNATHPUR                                       ","2014-08-05 08:33:10.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","insect problem of chilli","spray imidachloprid @ 1ml/3liter water","JHARKAND","GARHWA","BHANDARIA                                         ","2014-08-05 09:58:25.000"
"","AGRICULTURE","Others","Others","","weather information GARHWA","weather information GARHWA-Today Cloudy weather in your area chance of rain","JHARKAND","GARHWA","GARHWA                                            ","2014-08-05 13:23:51.000"
