"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","yellowing of leaves","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","PAKUR","","2014-08-02 10:08:35.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","","inset infestation","Spray cloropyriphos @ 2 ml in 1 litre of water","JHARKAND","PAKUR","MAHESHPUR                                         ","2014-08-02 11:47:54.000"
"","HORTICULTURE","Vegetables","Cabbage","","Variety of paddy for medium land","Variety of paddy for medium landsita, kanak, I R-36, rajendra sweta, santosh, sahbhagi","JHARKAND","PAKUR","","2014-08-02 16:12:42.000"
"","AGRICULTURE","Others","Others","","weather informatoion","Chance of precipitation to some extent in your area","JHARKAND","PAKUR","","2014-08-02 16:14:04.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weeds in paddy","You should use nomenigold @2ml /litar","JHARKAND","PAKUR","","2014-08-02 17:20:58.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Fertilizer application in paddy","Fertilizer application in paddy- NPK @ 100:40: 20: 15-20 KG ZINK / HA.","JHARKAND","PAKUR","","2014-08-02 17:21:37.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","termites attacc in paddy","You should use acephet@1ml/ lit in paddy field","JHARKAND","PAKUR","","2014-08-02 17:23:38.000"
"","HORTICULTURE","Vegetables","Brinjal","","inset infestation","Spray dimethoate @ 1.5 ml in 1 litre of water","JHARKAND","PAKUR","","2014-08-02 20:07:43.000"
"","HORTICULTURE","Vegetables","Chillies","","inscet infestation","Spray malathion @ 2 gram in 1 liter of water","JHARKAND","PAKUR","","2014-08-02 20:09:42.000"
"","AGRICULTURE","Others","Others","","weather information","???? ???? ??? ????? ???? ?? ?????? ???? ??","JHARKAND","PAKUR","","2014-08-04 17:37:20.000"
"","HORTICULTURE","Vegetables","Chillies","","leaf curls in bhindi","Spray deltamethrin @ 2 ml in 1 litre of water","JHARKAND","PAKUR","","2014-08-07 14:54:31.000"
"","AGRICULTURE","Others","Others","","Farmer Kcc Registration   No.-","Farmer Kcc Registration   No.-  JRK_9670069","JHARKAND","PAKUR","","2014-08-07 14:55:26.000"
"","AGRICULTURE","Others","Others","","weather information in pakur","weather information in pakur-Today Cloudy weather in your area chance of rain","JHARKAND","PAKUR","","2014-08-09 08:37:36.000"
"JAYAD","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Good variety of okra","Good variety of okra- prabhani kranti, arka abhay, arka anamika, bersa
uphar,Punjab-7, okra-4","JHARKAND","PAKUR","","2014-08-09 08:40:36.000"
"","HORTICULTURE","Vegetables","Brinjal","","inset infestaion","Spray imidachlorpid @ 1 ml in 3 litre of water","JHARKAND","PAKUR","","2014-08-09 15:45:42.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Rotting problem","Spray copper oxychloride @ 2g/lit of water","JHARKAND","PAKUR","","2014-08-09 15:46:37.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","yellowing in leaf","Spray mancozeb @ 2 gram in 1 liter of water","JHARKAND","PAKUR","","2014-08-09 15:49:02.000"
"","HORTICULTURE","Vegetables","Brinjal","","leaf curling","Spray methyl demeton or dimethoate@ 1 ml in one liter of water","JHARKAND","PAKUR","","2014-08-09 15:50:14.000"
