"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Vegetables","Tomato","Fertilizer Use and Availability","LEAF CURL IN TOMATO","SPRAY IMIDACHLOROPID(17.8SL) 1ML/3LIT OF WATER","JHARKAND","RAMGARH","RAMGARH                                           ","2014-08-01 09:10:35.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","LEAF CURL IN BHINDI","SPRAY IMIDACHLOROPID(17.8SL) 1ML/3LIT OF WATER","JHARKAND","RAMGARH","RAMGARH                                           ","2014-08-01 09:11:32.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Fruit droping problem in","aap pahle chloropyriphosh @ 1 ml /liter of water ka spray","JHARKAND","RAMGARH","GOLA                                              ","2014-08-01 17:37:21.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Yellowing of leaves","spray mancozeb @2gm/liter water","JHARKAND","RAMGARH","GOLA                                              ","2014-08-01 17:38:19.000"
"JAYAD","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","Varieties cucumber","Varieties 
Co 1, Japanese Long Green, Straight Eight and Poinsettee are mainly cultivated.","JHARKAND","RAMGARH","RAMGARH                                           ","2014-08-01 19:52:24.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem","Spray triazophos @ 2ml in 1 litre of water","JHARKAND","RAMGARH","MANDU                                             ","2014-08-01 21:07:43.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Famer  Kcc Registration   No.-","Famer  Kcc Registration   No.-JRK_8163842","JHARKAND","RAMGARH","MANDU                                             ","2014-08-01 21:18:56.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","Training and Exposure Visits","INSECT PROBLEM IN TOMATO PLANT","Spray methyl demeton or dimethoate@ 1 ml in one liter of water","JHARKAND","RAMGARH","PATRATU                                           ","2014-08-02 06:55:09.000"
"","HORTICULTURE","Vegetables","Cucumber","","Yellowing of leaves","spray in copper oxichloride @ 2 gm/water","JHARKAND","RAMGARH","GOLA                                              ","2014-08-02 13:02:09.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Cercospora Leaf Spots disease in bhindi","Spray Mancozeb 0.25 %   at forthnightaly","JHARKAND","RAMGARH","GOLA                                              ","2014-08-02 13:03:14.000"
