"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","animal husbndary help line","animal husbndary help line	080-23417100","KARNATAKA","BAGALKOT","BADAMI                                            ","2014-08-01 09:15:49.000"
"","HORTICULTURE","Condiments and Spices","Ginger","","ginger disease","Spray SAAF-2g/liter","KARNATAKA","BAGALKOT","JAMKHANDI                                         ","2014-08-01 09:25:58.000"
"","AGRICULTURE","Others","Others","Weather","Forecast for Mudhol Weather","81 | 72 °F 
Chance of Rain 
Chance of
Precipitation
40%","KARNATAKA","BAGALKOT","MUDHOL                                            ","2014-08-01 09:42:08.000"
"","AGRICULTURE","Millets","Maize (Makka)","	Field Preparation	","maize disease","dimethioate 2ml/lt of water","KARNATAKA","BAGALKOT","BADAMI                                            ","2014-08-01 09:46:21.000"
"","AGRICULTURE","Others","Others","Weather","Hungund Weather Forecast","20%chance of precipitation","KARNATAKA","BAGALKOT","BAGALKOT                                          ","2014-08-01 10:38:51.000"
"","HORTICULTURE","Vegetables","Garden Pea","Agriculture Mechanization","grapes disease","acephate 1g per lt of water and dimethioate 2ml/lt of water","KARNATAKA","BAGALKOT","BADAMI                                            ","2014-08-01 11:30:05.000"
"","AGRICULTURE","Others","Others","Weather","weather report","Chance of rain 40%.","KARNATAKA","BAGALKOT","JAMKHANDI                                         ","2014-08-01 11:46:23.000"
"","AGRICULTURE","Others","Others","Weather","weather","Chance of Rain 


Chance of
Precipitation

40%","KARNATAKA","BAGALKOT","BAGALKOT                                          ","2014-08-01 11:54:16.000"
"","AGRICULTURE","Others","Others","Weather","weather","Chance of Rain 


Chance of
Precipitation

30%","KARNATAKA","BAGALKOT","JAMKHANDI                                         ","2014-08-01 12:35:05.000"
"","HORTICULTURE","Vegetables","Onion","Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)","onion rate","JAMKANDI Onion Average 300 Quintal  1000 2300 1850","KARNATAKA","BAGALKOT","BILAGI                                            ","2014-08-01 13:04:21.000"
"","HORTICULTURE","Flowers","Chrysanthemum","Cold Storage","chrysanthamum season","throuhout year or may -june","KARNATAKA","BAGALKOT","BAGALKOT                                          ","2014-08-01 13:11:50.000"
"","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","turmeric weedicides","pendimithilin 3ml/litre of water","KARNATAKA","BAGALKOT","JAMKHANDI                                         ","2014-08-01 16:13:54.000"
"","AGRICULTURE","Others","Others","	Plant Protection	","cotton jassids","dimethoate 2ml/litre of water","KARNATAKA","BAGALKOT","JAMKHANDI                                         ","2014-08-01 16:49:30.000"
"","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Downy mildew","mancozed 2g/l","KARNATAKA","BAGALKOT","BAGALKOT                                          ","2014-08-01 17:39:43.000"
"","AGRICULTURE","Others","Others","Weather","weather report","72 °F 

Mostly Cloudy 


Chance of
Precipitation 10%","KARNATAKA","BAGALKOT","BAGALKOT                                          ","2014-08-01 18:54:35.000"
"","AGRICULTURE","Others","Others","Weather","weather","Mostly Cloudy 
Chance of
Precipitation
20%","KARNATAKA","BAGALKOT","MUDHOL                                            ","2014-08-02 08:36:29.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER","20% RAIN FALL","KARNATAKA","BAGALKOT","HUNGUND                                           ","2014-08-02 10:23:47.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","cotton maNDI RATE","BELLARY

NH-44 COTTON

Average

7

Quintal 

4969

5069

5019","KARNATAKA","BAGALKOT","HUNGUND                                           ","2014-08-02 10:46:11.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","sugarcane pest","acephate 2ml/litre of water","KARNATAKA","BAGALKOT","BILAGI                                            ","2014-08-02 10:53:44.000"
"","AGRICULTURE","Others","Others","","weed control","glyphosate 7 ml per liter","KARNATAKA","BAGALKOT","JAMKHANDI                                         ","2014-08-02 11:00:12.000"
"","AGRICULTURE","Others","Others","Weather","Jamkhandi Weather Forecast","20% Chance of precipitation","KARNATAKA","BAGALKOT","JAMKHANDI                                         ","2014-08-02 11:49:01.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Management of sucking pest","spray Dimethoate(Rogar) @ 1.7ml/ltr or 38 ml/16 ltr spray tank","KARNATAKA","BAGALKOT","BADAMI                                            ","2014-08-02 18:06:39.000"
