"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","weather report","Chance of rain 60%.","KARNATAKA","HAVERI","RANEBENNUR                                        ","2014-08-01 09:39:27.000"
"","AGRICULTURE","Others","Others","Weather","weather report","Chance of rain 60%","KARNATAKA","HAVERI","HAVERI                                            ","2014-08-01 09:58:08.000"
"","AGRICULTURE","Others","Others","Weather","-Day Forecast for Haveri Weather","77 | 70 °F 
Chance of Rain 
Chance of
Precipitation
60%","KARNATAKA","HAVERI","BYADGI                                            ","2014-08-01 11:18:46.000"
"","HORTICULTURE","Vegetables","Onion","	Plant Protection	","onion growth improvement","Spray 19 all-2g/liter","KARNATAKA","HAVERI","RANEBENNUR                                        ","2014-08-01 12:00:36.000"
"","AGRICULTURE","Others","Others","Weather","Haveri Weather Forecast","60 %chance of precipitation","KARNATAKA","HAVERI","HAVERI                                            ","2014-08-01 12:13:07.000"
"","AGRICULTURE","Others","Others","Weather","weather report","Chance of rain 60%","KARNATAKA","HAVERI","SHIGGAON                                          ","2014-08-01 12:15:00.000"
"","HORTICULTURE","Vegetables","Tomato","Agriculture Mechanization","tamato disease","boron 2ml/lt of water","KARNATAKA","HAVERI","BYADGI                                            ","2014-08-01 12:17:11.000"
"","AGRICULTURE","Others","Others","","weathre report","rain 70%","KARNATAKA","HAVERI","SHIGGAON                                          ","2014-08-01 15:20:20.000"
"","AGRICULTURE","Others","Others","Weather","weather report","83 | 69 °F 

Chance of Rain 


Chance of
Precipitation 50%","KARNATAKA","HAVERI","HIREKERUR                                         ","2014-08-01 20:17:20.000"
"","AGRICULTURE","Others","Others","","weather","Chance of T-storms 
Chance of
Precipitation
50%","KARNATAKA","HAVERI","SHIGGAON                                          ","2014-08-02 09:04:44.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton pest","tricyclazol 2ml/litre of water","KARNATAKA","HAVERI","HAVERI                                            ","2014-08-02 09:55:26.000"
"","AGRICULTURE","Others","Others","","mancozeb 2gm per liter water","mancozeb 2gm per liter water","KARNATAKA","HAVERI","HANAGAL                                           ","2014-08-02 10:28:46.000"
