"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","Coconut fertilizer application","Apply cowdung, ash, neem cake, green leaf manures","KERALA","KANNUR","TALIPARAMBA","2014-08-01 15:20:54.000"
"","HORTICULTURE","Plantation Crops","Cashew","Seeds and Planting Material","KRISHI VIGNAN KENDRA (KVK)","KRISHI VIGNAN KENDRA (KVK)Kannur – Panniyur  :  0460 2226087","KERALA","KANNUR","KUTHUPARAMBA","2014-08-01 16:17:04.000"
"","HORTICULTURE","Fruits","Banana","	Plant Protection	","pest attack in banana leaf","apply ekalux 2ml/ 1 litre water","KERALA","KANNUR","TALIPARAMBA","2014-08-02 11:18:44.000"
"","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","coconut bud rot","apply bordeaux paste","KERALA","KANNUR","PAYYANNUR","2014-08-02 14:41:46.000"
"RABI","AGRICULTURE","Others","Others","Government Schemes","assistance for  lease farming","refer to nearest krishi bhavan","KERALA","KANNUR","THALASSERY","2014-08-02 15:26:49.000"
"","HORTICULTURE","Vegetables","Cucumber","Field Preparation","season for cultivation of cucurbitaceous vegetable","june-august","KERALA","KANNUR","TALIPARAMBA","2014-08-02 17:56:48.000"
"","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","chillie white fly attack","apply neem garlic emulsion","KERALA","KANNUR","IRITTY","2014-08-02 19:58:00.000"
"","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","bordeaux mixture preparation","spray bordeaux mixture ( 100 gram of lime in 5 litre of water , dissolve 100 gram of copper sulphate in 5 litre of water. pour the copper sulphate solution into the lime solution )","KERALA","KANNUR","KANNUR","2014-08-03 08:57:17.000"
"","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","coconut fertilizer application","Apply 1 kg urea, 1.5 raj phos, 2 kg muriate of pottash per plant per year as split dose.","KERALA","KANNUR","KANNUR","2014-08-03 12:54:33.000"
"","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","budden shedding in coconut","apply borax 50 gram/palm","KERALA","KANNUR","PERAVOOR","2014-08-03 17:34:33.000"
"","HORTICULTURE","Fruits","Jack Fruit","	Plant Protection	","jackfruit root grub attack","drench chlorpyriphos(2 milli in 1 litre of water ) in soil","KERALA","KANNUR","KUTHUPARAMBA","2014-08-04 11:44:33.000"
"","HORTICULTURE","Fruits","Mango","	Plant Protection	","Mango-Fungal attack","Recommended bordo paste for the shoot wilt","KERALA","KANNUR","KANNUR","2014-08-04 13:33:45.000"
"","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","coconut fertilizer application","apply 10 kg cowdung,10 kg ash, 1 kg lime / year","KERALA","KANNUR","TALIPARAMBA","2014-08-04 14:58:44.000"
"","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","coconut mandari attack","spray neem garlic emulsion","KERALA","KANNUR","IRITTY","2014-08-04 16:46:21.000"
"","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","vegetable seeds availability","refer to instruction farm 0471-2383573","KERALA","KANNUR","TALIPARAMBA","2014-08-04 18:33:02.000"
"","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","coconut- button shedding","Recommended for the application of  ash and  borax","KERALA","KANNUR","KANNUR","2014-08-05 13:08:16.000"
"","AGRICULTURE","Others","Others","","Contact number of Poultry Training Institute","Poultry Training Institute, Central Hatchery Chengannur, Alappuzha District. 0479-2452277","KERALA","KANNUR","KANNUR","2014-08-05 13:11:03.000"
"","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","Cowpea- pest","Recommended neem garlic emulsion","KERALA","KANNUR","KANNUR","2014-08-05 13:36:03.000"
