"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Fruits","Mango","Seeds and Planting Material","mango seedlings availability","refer to panniyur krishi vijyan kendra 0460-2226087","KERALA","KASARGOD","KASARGOD","2014-08-01 17:09:27.000"
"","HORTICULTURE","Vegetables","Ribbed Gourd (Kali Tori)","	Plant Protection	","ribbed gourd leaf yellowing","apply coc 2 gram/ plant","KERALA","KASARGOD","MANJESHWAR","2014-08-02 17:42:54.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy fertilizer application","apply 3.5 kilo  urea, 3.5 kilo pottash","KERALA","KASARGOD","KANHANGAD","2014-08-03 10:46:05.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","rice fertilizer application","apply 10 kg urea, 50 kg factomphos, 10 kg pottash per 1 acre","KERALA","KASARGOD","KASARGOD","2014-08-03 13:13:01.000"
"","HORTICULTURE","Plantation Crops","Rubber","Fertilizer Use and Availability","15:15:15 mixture","To make 100 kg of this mixture, use 21 kg urea,32 kg DAP, 30 kg muriate of potash and 17 kg filler.","KERALA","KASARGOD","MANJESHWAR","2014-08-04 11:19:40.000"
"","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Banana fertilizer application after bunch emergence","Recommended 80 gram urea per plant","KERALA","KASARGOD","KASARGOD","2014-08-05 09:32:59.000"
"","HORTICULTURE","Vegetables","Cowpea (Vegetable)","Seeds and Planting Material","Vegetable seeds availability","Recommended 04994-232993 of CPCRI, KASARGOD","KERALA","KASARGOD","KASARGOD","2014-08-05 11:41:17.000"
"","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","coconut fertilizer application","apply urea 1 kg, 1.5 kg raj phos, 2 kg mop as split dose","KERALA","KASARGOD","MANJESHWAR","2014-08-05 18:48:00.000"
"","HORTICULTURE","Fruits","Banana","	Plant Protection	","banana-calcium deficiency","apply 15 gram lime/ 1 litre water to the bunch","KERALA","KASARGOD","KASARGOD","2014-08-06 18:04:57.000"
"","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","Chilli fertilizer foliar application","Recommended 19:19:19 complex mixtutre 2 gram in 1 litre of water","KERALA","KASARGOD","NILESHWAR","2014-08-08 11:40:36.000"
"","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","Coconut- steam bleeding","Chisel out completely the affected tissues and paint the wound with  bordeaux paste . Apply coal tar after 1-2 days.Apply neem cake @ 5 kg per palm in the basin along with other organics.Apply  bavistin 50 gram  in 25 litre of water as soil drenching once in four months. 

 

""","KERALA","KASARGOD","KASARGOD","2014-08-08 15:50:13.000"
"","AGRICULTURE","Others","Others","","Contact number of Rubber board","Rubber board   0481 2301231 .0481 2380101","KERALA","KASARGOD","KASARGOD","2014-08-08 17:10:29.000"
"","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","Coconut- steam bleeding 	""","Chisel out completely the affected tissues and paint the wound with  bordeaux paste . Apply coal tar after 1-2 days.Apply neem cake @ 5 kg per palm in the basin along with other organics.Apply  bavistin 50 gram  in 25 litre of water as soil drenching once in four months. 

 

""","KERALA","KASARGOD","KASARGOD","2014-08-09 13:01:05.000"
"","HORTICULTURE","Vegetables","Bitter Gourd","Fertilizer Use and Availability","bittergourd fertilizer application","apply cowdung,bone meal and ash","KERALA","KASARGOD","KASARGOD","2014-08-10 20:48:19.000"
"","HORTICULTURE","Fruits","Banana","	Plant Protection	","Banana leaf folder attack","Recommended malathion 2 ml in 1 litre of water","KERALA","KASARGOD","NILESHWAR","2014-08-11 09:54:40.000"
"","HORTICULTURE","Plantation Crops","Rubber","	Plant Protection	","Rubber leaf drying","Recommended saaf 2 gram in 1 litre","KERALA","KASARGOD","KANHANGAD","2014-08-11 11:39:26.000"
