"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","how to control fruit & shoot borer of brinjal?","Remove the affected terminal shoot showing boreholes. Remove the affected fruits and destroy. Spray any one of the following chemicals starting from one month after planting at 15 days interval. 1. Carbaryl 50 WP 2 g/lit + Wettable Sulphur 50% WP 2 g/lit (or) 2. Neem oil 3 % (or)  3. Quinalphos 25 EC 2 ml/lit + Neem oil 3 % (or) 4. Neem Seed Kernel Extract 5 % (or) 5. Avoid using synthetic Pyrethroids.","MADHYA PRADESH","ALIRAJPUR","","2014-08-01 09:13:42.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","Fertilizer Use and Availability","Which fertilizer and nutrient give for better growth in soyabean crop?","Recommended for spray foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","ALIRAJPUR","","2014-08-01 18:34:38.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","How to control weeds of Soybean?","Foliar spray the solution of Imazethapyr 300ml/acer (Pursuit)  or Quizalofop- P- Ethyl ( Targa super) @ 1lit. /hac incorporate with chipko at the 20- 25 days old crop.","MADHYA PRADESH","ALIRAJPUR","","2014-08-05 10:58:00.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","How to control aphids in crop.","Spray imidaclorprid 17.8%SL 7 to 10 ml per pump. And acetamiprid 5-6gram/pump","MADHYA PRADESH","ALIRAJPUR","","2014-08-05 15:31:58.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","which fertilizer and nutrient give for better growth  in paddy crop?","Recommended for Spray N:P:K 19:19:19 @ 100 gram at 15 liter of water.","MADHYA PRADESH","ALIRAJPUR","","2014-08-05 18:07:07.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about  How to control caterpillars in crop?","Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray.","MADHYA PRADESH","ALIRAJPUR","","2014-08-07 08:15:58.000"
"","AGRICULTURE","Others","Others","Weather","Farmer wants to know information about weather  forecast ?","08/08               09/08               10/08               11/08               12/08
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   7                  10                   3                   0                   0","MADHYA PRADESH","ALIRAJPUR","","2014-08-07 12:22:32.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","What nutrition gives to our cattle?","Please contact 18001801199 numbers.","MADHYA PRADESH","ALIRAJPUR","","2014-08-07 14:46:28.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control stem borer in paddy crop?","Apply cartap hydro chloride 7 to 10 kg at per Acer.","MADHYA PRADESH","ALIRAJPUR","Bhabhra","2014-08-08 14:33:12.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","How to control weeds in soybean crop?","When your crop become 15 to 20 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per acar for broad leaf weeds.or agil 200 ml/acre or patella (sodium asiflorfen +clodinafop ) 400 ml/acre","MADHYA PRADESH","ALIRAJPUR","Bhabhra","2014-08-09 08:57:14.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Farmer want to control of white fly in  cotton?","Spraying of  thiomethoxam 25 wg (actara) @  5 gm /pump.","MADHYA PRADESH","ALIRAJPUR","Bhabhra","2014-08-09 09:17:26.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","How to control caterpillars in soyabean crop?","spray Trizophos 40 EC 50 Ml. / pump","MADHYA PRADESH","ALIRAJPUR","Alirajpur","2014-08-11 11:27:52.000"
