"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about how to control weeds in paddy  crop?","to control weeds in paddy  crop spray Bispyribac Sodium 10% SC(Nominigold) 8 gram per pump.","MADHYA PRADESH","BHOPAL","PHANDA                                            ","2014-08-01 07:49:03.000"
"JAYAD","HORTICULTURE","Vegetables","Sponge Gourd","	Plant Protection	","farmer want to know information about control of flower and fruit drop ?","to control of flower and fruit drop spray planofix 5 ml per pump","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 08:09:20.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 08:50:02.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","farmer want to know information about weather?","chance of good rainfall for next week for dist Bhopal","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 08:51:05.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about how to control weeds in paddy  crop?","to control weeds in paddy  crop spray Bispyribac Sodium 10% SC(Nominigold, philip) 8 gram per pump.","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 09:35:52.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Farmer  want number activate in sms facility ?","your number is resistard in sms facility","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 11:06:38.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare","MADHYA PRADESH","BHOPAL","PHANDA                                            ","2014-08-01 11:45:44.000"
"","AGRICULTURE","Others","Others","Government Schemes","KVK CONTECT NO.BHOPAL","09893492408","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 12:23:27.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","How to control weeds in soybean crop?","When your crop become 15 to 20 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per acar for broad leaf weeds","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 13:06:18.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","","Farmer want to  contact for detail information?","Please contact in your distric located krishi vigyan kendra","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 13:34:54.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer want to know information about weather forecasting?","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              02/08               03/08               04/08               05/08               06/08
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                  13                   9                   0                   4                   3","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 13:36:53.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer want to know information about  weather forecast  ?","Bhopal 1 – 3 Day Weather Forecast Summary: Heavy rain (total 37mm), heaviest during Fri night. Warm (max 28°C on Fri afternoon, min 24°C on Fri night). Mainly fresh winds.","MADHYA PRADESH","BHOPAL","PHANDA                                            ","2014-08-01 14:11:22.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","Fertilizer Use and Availability","farmer want to know information about Plant growth in soybean crop?","spray iffco NPK 19:19:19 @ 100 GRAM/PUMP.","MADHYA PRADESH","BHOPAL","PHANDA                                            ","2014-08-01 14:51:24.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","how to control of Fungal attack in groundnut crop?","Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","BHOPAL","PHANDA                                            ","2014-08-01 15:23:37.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Fertilizer Use and Availability","how to increase growth of  okra","foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 15:53:00.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","Farmer wants to know information about How to control weeds in soybean crop ?","When your crop become 25 to 30 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per acar for broad leaf weeds","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 16:38:36.000"
"JAYAD","HORTICULTURE","Vegetables","Sponge Gourd","Fertilizer Use and Availability","Which fertilizer and nutrient give for better growth in SPONGE GOURD crop?","Recommended for spray foliar application of IFFCO 0:52:34 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","BHOPAL","PHANDA                                            ","2014-08-01 18:31:02.000"
"RABI","AGRICULTURE","Others","Others","Weather","to control sucking pest in soybean","spray fipronil@ 25 ml at 15 liter of water.","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 18:53:13.000"
"JAYAD","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","VARIETY OF GREEN GRAM   ?","PDM-54,JM-72, PUSA-9531, BM-4,","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 18:57:09.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","farmer want to weather information of district?","light rainfall chance in your district and weather will some cloudy at next 5 days","MADHYA PRADESH","BHOPAL","PHANDA                                            ","2014-08-01 19:25:23.000"
"","AGRICULTURE","Others","Others","Weather","farmer want to weather information of RATLAM district?","light rainfall chance in your district and weather will some cloudy at next 5 days","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-01 19:28:20.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer want to know information about weaher forecast ?","Bhopal 1 – 3 Day Weather Forecast Summary: Moderate rain (total 13mm), heaviest on Mon night. Warm (max 29°C on Sat afternoon, min 24°C on Sat night). Mainly fresh winds","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-02 10:22:11.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","How to control weeds in soybean crop?","When your crop become 15 to 20 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per acar for broad leaf weeds","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-02 10:42:29.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Seeds","VARIETY OF GREEN GRAM?","PDM-139,11,54,K-851,HUM-1,3,green gold,JM-721, Lata 801,Prasad,","MADHYA PRADESH","BHOPAL","BERASIA                                           ","2014-08-02 11:50:41.000"
"","AGRICULTURE","Others","Others","Weather","Farmar  want to  weather forecasting  information of District Bhopal","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              03/08               04/08               05/08               06/08               07/08
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   4                   0                   0                   3                   5","MADHYA PRADESH","BHOPAL","PHANDA                                            ","2014-08-02 12:28:13.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","Nutrient Management","foliar spray in soybean?","recommended for soybean: spray of water soluble fertilizer NPK 19:19:19 @     100 g   /pump","MADHYA PRADESH","BHOPAL","PHANDA                                            ","2014-08-02 12:33:36.000"
