"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","YVM in Okra ?","Spray of Methyl Dematon 25% EC @ 15-20 ML./pump.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-01 09:17:12.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","What is the basal dose of cotton?","DAP 40kg/acer, MOP 35kg/acer or SSP 125kg/acer & MOP 35kg/acer at the time of sowing after 1 month of germination 20kg/acer urea,then after 2 month of germination 20kg Urea/acer.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-01 13:39:37.000"
"","AGRICULTURE","Others","Others","Market Information","I want number resister in mandi rate ?","your number has been registered for mandi rate .","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-01 14:46:52.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","farmer want to know information about Which fertilizer and nutrient give for better growth in maize crop?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-01 20:20:49.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Farmer want to information about how to control of fungal attack in crop?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.","MADHYA PRADESH","BURHANPUR","KHAKNAR                                           ","2014-08-03 10:04:20.000"
"JAYAD","AGRICULTURE","Others","Others","Market Information","Farmer wants to start mandi rate facility on mobile phone?","Mandi rate facility has been successfully activated on your mobile phone.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-04 17:00:49.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","How to control white fly in cotton crop?","Spray Dimethoate (Rogar) 40 ml per pump.","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-04 17:13:05.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","white fly control in cotton?","Recommended for  white fly control in cotton  Acetamiprid (ACETA /Pride) 20% SP @ 6 gram /pump","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-05 08:36:04.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","Farmer Want To Know Information About Variety Of  til ?","TKG-21,22,55, JTS-8,UMA,  Are the variety of til.","MADHYA PRADESH","BURHANPUR","KHAKNAR                                           ","2014-08-05 13:25:10.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-05 20:50:16.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-05 20:56:51.000"
"","HORTICULTURE","Fruits","Banana","","fertilizer dose for babana?","Recommended for age fertilizer dose for babana	Units / day	Kg/ha/day
N	P2O5	K2O	N	P2O5	K2O
Days after Planting
1- 150 days	3	2	1	3.24	0.82	1.03
151 - 240 days	1	3	2	1.08	1.23	2.06
241 - 270 days	1	1	2	1.08	0.41	2.06
271 - 360 days	0	0	3	0.00	0.00	3.08","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-06 09:10:06.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","white fly control in cotton?","Recommended for white fly control in cotton:Acetamiprid (ACETA /Pride) 20% SP @ 6 gram /pump","MADHYA PRADESH","BURHANPUR","BURHANPUR                                         ","2014-08-07 10:26:34.000"
