"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","white fly control in bhindi?","Acetamiprid (ACETA /Pride) 20% SP @ 6 gram /pump","MADHYA PRADESH","SINGRAULI","SIDHI                                             ","2014-08-01 06:52:21.000"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","Fertilizer Use and Availability","Farmer wants to know the Varieties of moong crop ?","Pusa - 105, Pusa - 9531, Jawahar Moong - 721, BM -4  k-851 are moong verities.","MADHYA PRADESH","SINGRAULI","MAJHAULI                                          ","2014-08-01 10:18:03.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Farmer want to  contact for detail information?","Please contact in your distric located krishi vigyan kendra","MADHYA PRADESH","SINGRAULI","RAMPUR NAIKIN                                     ","2014-08-01 12:42:58.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","iNFORMATION ABOUT ANIMAL HUSBENDRY ?","TO CONTACT-09407364004","MADHYA PRADESH","SINGRAULI","SIDHI                                             ","2014-08-01 13:50:46.000"
"","AGRICULTURE","Others","Others","Weather","Farmer want to know    about  weather information?","Singrauli 4 – 7 Day Weather Forecast Summary: Heavy rain (total 109mm), heaviest during Tue afternoon. Warm (max 31°C on Mon afternoon, min 26°C on Mon night). Wind will be generally light.","MADHYA PRADESH","SINGRAULI","WAIDHAN                                           ","2014-08-01 15:24:01.000"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","How to control white fly in urd crop?","Spray Dimethoate (Rogar) or Triazophos 40 ml per pump.","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-08-01 16:12:51.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","Top borer in Maize ?","Spray of Korajan @ 30 ML./pump.","MADHYA PRADESH","SINGRAULI","DEOSAR                                            ","2014-08-02 09:09:00.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Farmer want to information about how to control of sucking pest in crop?","Spray Dimethoate 30% EC (Rogar) or Triazophos 40% EC @ 40 ml per pump.","MADHYA PRADESH","SINGRAULI","MAJHAULI                                          ","2014-08-02 09:16:27.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","MADHYA PRADESH","SINGRAULI","CHITRANGI                                         ","2014-08-02 09:50:51.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control stem borer in paddy crop?","Apply cartap hydro chloride 7 to 10 kg at per Acer.","MADHYA PRADESH","SINGRAULI","","2014-08-02 10:25:45.000"
"JAYAD","AGRICULTURE","Others","Others","Agriculture Mechanization","farmer wants to information of Agriculture Mechanization?","for better information please contact with agriculture department.","MADHYA PRADESH","SINGRAULI","MAJHAULI                                          ","2014-08-02 10:40:07.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","Varieties of sesame ?","Sesame (7)	JT-21, JT-22,JT-55,TKG-8, TKG-306, PKDS 11,PKDS 12","MADHYA PRADESH","SINGRAULI","WAIDHAN                                           ","2014-08-02 12:14:09.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Fertilizers in rice crop ?","Fertilizers in rice crop> SSP (3 Bag) + DAP (1 Bag) + Potash (20-25 kg.) + Zinc Sulphate (25-30 Kg.) + Urea (110-120 Kg.)/Acre..","MADHYA PRADESH","SINGRAULI","SIDHI                                             ","2014-08-02 12:20:47.000"
"JAYAD","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","farmer want to know information about  How to control caterpillars in crop?","Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray.","MADHYA PRADESH","SINGRAULI","SIDHI                                             ","2014-08-02 12:33:48.000"
"JAYAD","AGRICULTURE","Others","Others","Credit","farmer want to information of kisan credit card ?","please contact nearest bank .","MADHYA PRADESH","SINGRAULI","WAIDHAN                                           ","2014-08-02 13:43:23.000"
