"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","fruit fly control in bottle gourd?","fruit fly control in bottle gourd: spraying of malathion@ 30 ml /pump","MADHYA PRADESH","UMARIA","MANPUR                                            ","2014-10-01 07:39:00.577"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control leaf roller on paddy crop.","Chlorpyrifos 20% EC 50ml/pump.","MADHYA PRADESH","UMARIA","KARKELI                                           ","2014-10-01 11:57:34.150"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Rainfall (mm) forecasting ?","Rainfall (mm)00 mili","MADHYA PRADESH","UMARIA","KARKELI                                           ","2014-10-01 15:30:35.990"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weather forcast in umariya?","03/10               04/10               05/10               06/10               07/10
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","MADHYA PRADESH","UMARIA","KARKELI                                           ","2014-10-03 07:07:39.253"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","price of paddy in umariya mandi?","rket	Arrivals 
(Tonnes)	Origin	Variety	Minimum Price
(Rs./Quintal)	Maximum Price
(Rs./Quintal)	Modal Price
(Rs./Quintal)
Madhya Pradesh 
Umariya  	51  	 	Other  	2200  	2250  	2230","MADHYA PRADESH","UMARIA","KARKELI                                           ","2014-10-03 07:16:48.633"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","variety of potato crop ?","variety of potato crop-kufri,-jyoti, pukharaj, kyati,ashoka,puskar","MADHYA PRADESH","UMARIA","KARKELI                                           ","2014-10-03 13:49:12.720"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","FARMER WAT TO AAD MY NO. IN MANDI RATE ?","your mobile no. mandi rate start now after some time.","MADHYA PRADESH","UMARIA","MANPUR                                            ","2014-10-05 07:07:54.837"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather forecasting for Ujjain district of Madhya Pradesh?","No rainfall within 5 days in your district.","MADHYA PRADESH","UMARIA","MANPUR                                            ","2014-10-05 10:23:55.657"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Farmer want to know how to control sucking pest of brinjal crop ?","Recommended for spray Fipronil 5 % @ 30 ml per 15 litter water .","MADHYA PRADESH","UMARIA","PALI                                              ","2014-10-05 13:58:39.000"
"RABI","AGRICULTURE","Others","Others","Weed Management","Weed control on chilli crop.","Apply Pendimethalin 1.0 kg a.i. / ha or Fluchloralin 1.0 kg a.i. / ha as pre-emergece herbicide followed by hand weeding once 30 days after planting.","MADHYA PRADESH","UMARIA","MANPUR                                            ","2014-10-06 07:05:07.163"
