"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","Asking about Weather forecast information","Today’s weather - partly cloudy and possibility of light rain","MAHARASHTRA","AHMADNAGAR","","2014-08-01 07:04:11.000"
"","AGRICULTURE","Others","Others","","Weather information of rahuri?","Weather information of rahuri-Cloudy weather and possibility of light rain","MAHARASHTRA","AHMADNAGAR","RAHATA                                            ","2014-08-01 07:35:14.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather Report ?","Farmer has asked about weather condition in his taluka","MAHARASHTRA","AHMADNAGAR","","2014-08-01 07:37:22.000"
"JAYAD","HORTICULTURE","Vegetables","Potato","Weather","weather in Ahmadnagar ?","CLOUDEY WEATHER AND POSSIBILITY OF RAIN 
to 3  jully 2014","MAHARASHTRA","AHMADNAGAR","","2014-08-01 07:38:47.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer has asked about weather condition in his taluka","Informed him that the weather will be cloudy and there are more chances of rains.","MAHARASHTRA","AHMADNAGAR","","2014-08-01 07:49:45.000"
"","AGRICULTURE","Others","Others","","weed control in fallow land","glyphosate","MAHARASHTRA","AHMADNAGAR","","2014-08-01 07:50:47.000"
"","AGRICULTURE","Others","Others","Cultural Practices","herbicide in barren soil","glyphosate","MAHARASHTRA","AHMADNAGAR","NEVASA                                            ","2014-08-01 07:53:55.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather report?","Partly cloudy and possibility of light rain","MAHARASHTRA","AHMADNAGAR","","2014-08-01 08:01:49.000"
"JAYAD","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","","Asked about  Weather Report ?","Partly Cloudy, Possible Thunderstorms with Rain.","MAHARASHTRA","AHMADNAGAR","","2014-08-01 08:07:19.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","","seed rate of onion for broad casting method?","seed rate of onion for broad casting method-1.25-2kg/ha","MAHARASHTRA","AHMADNAGAR","","2014-08-01 08:16:51.000"
"","AGRICULTURE","Others","Others","Weather","Weather forecast information?","Partly cloudy and light rain","MAHARASHTRA","AHMADNAGAR","","2014-08-01 08:21:25.000"
"","AGRICULTURE","Others","Others","Weather","Weather forecast information?","Partly cloudy and light rain","MAHARASHTRA","AHMADNAGAR","","2014-08-01 08:24:05.000"
"","AGRICULTURE","Others","Others","Weather","Todays weather condition in UDGIR","Todays weather condition in UDGIR is Cloudy and light rain
Precip chance: 37%
Humidity: 63%","MAHARASHTRA","AHMADNAGAR","AKOLE","2014-08-01 08:31:30.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","","asked about bajar variety ?","shraddha , shabhuri .","MAHARASHTRA","AHMADNAGAR","","2014-08-01 08:39:09.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","Sucking Pest on cotton?","Sucking Pest on cotton-Spray Actra 5 gm+bavistin 30gm/15 Lit of Water.","MAHARASHTRA","AHMADNAGAR","","2014-08-01 08:40:06.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","Weather","weather in Ahmadnagar  ?","CLOUDEY WEATHER AND POSSIBILITY OF RAIN 
to 3  jully 2014","MAHARASHTRA","AHMADNAGAR","","2014-08-01 08:41:03.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","","pomo variety?","pomo variety ... bhagava","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2014-08-01 08:41:38.000"
"","AGRICULTURE","Others","Others","Weather","Todays weather condition in PATHARDI","Todays weather condition in PATHARDI is Cloudy and light rain
Precip chance: 54%
Humidity: 73%","MAHARASHTRA","AHMADNAGAR","","2014-08-01 08:58:52.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","fertilizer dose for cotton?","apply 30 kilo urea + 50 kilo 10 26 26 / acre","MAHARASHTRA","AHMADNAGAR","","2014-08-01 09:07:01.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","BLIGHT ON PADDY","BLIGHT ON PADDY _ Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","AHMADNAGAR","","2014-08-01 09:17:10.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","weed control in bajra?","spray 2 4 D to control weed in bajra","MAHARASHTRA","AHMADNAGAR","PATHARDI                                          ","2014-08-01 09:18:21.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest on cotton ?","sucking pest on cotton - 	Spray Actra 5 gm  /15 Lit of Water.","MAHARASHTRA","AHMADNAGAR","","2014-08-01 09:29:21.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","asked about growth of cotton crop?","for growth Spray 19:19:19 50 gram +Microlla 30 ml/15 Lit of Water +
	Humic Acid 30ml/15 Lit of Water Drenching.","MAHARASHTRA","AHMADNAGAR","KOPARGAON                                         ","2014-08-01 09:38:33.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","thrips attack on cotton?","Spray Actra 5 gm/15 Lit of Water.","MAHARASHTRA","AHMADNAGAR","","2014-08-01 09:40:06.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Government Schemes","fertilizer in cotton ?","12.61.00  +  humic acids 30 gram /pamp spray  on  cotton .","MAHARASHTRA","AHMADNAGAR","","2014-08-01 09:47:23.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","blight attack on tomato?","•	Spray Redomil Gold 30gm/15Lit of Water.","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2014-08-01 09:47:41.000"
