"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weather","•	Farmer has requested to give weather report.","•	cloudy weather possibility of rainfall","MAHARASHTRA","CHANDRAPUR","JIWATI","2014-08-01 11:49:32.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","","FERTILIZER FOR CHILLI","FERTILIZER FOR CHILLI - 19;19;19 60 GM + MICROLA 30 ML + HUMIC ACID 30 ML /15 LI TWER WATER SPRAY","MAHARASHTRA","CHANDRAPUR","GONDPIPRI                                         ","2014-08-01 12:20:57.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","BLIGHT ON PADDY","BLIGHT ON PADDY - Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","CHANDRAPUR","GONDPIPRI                                         ","2014-08-01 12:29:31.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer has asked about weather condition in his taluka","Informed him that the weather will be cloudy and there are more chances of rains.","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-01 13:23:15.000"
"","HORTICULTURE","Vegetables","Chillies","","Farmer has requested about chemical speay on chilli","suggested him to spray 4 percent nimboli ark","MAHARASHTRA","CHANDRAPUR","GONDPIPRI                                         ","2014-08-01 14:16:39.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Cattle shed Planning and Management","manegment?","provide information to visit local animal expart","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-08-01 15:26:54.000"
"","AGRICULTURE","Others","Others","","Weather forecast information?","Partly cloudy atmosphere, possibility of thounderstorms with rain","MAHARASHTRA","CHANDRAPUR","SINDEWAHI                                         ","2014-08-01 15:42:42.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER INFORMATION","ATMOSPHERE IS PARTLY CLOUDY WITH LITTLE CHANCES OF RAIN","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-01 15:47:50.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","fertilizer for cotton?","use yuriya 50kilo+mgso4 10kilo+10:26:26 50kilo/ekar","MAHARASHTRA","CHANDRAPUR","RAJURA                                            ","2014-08-01 16:27:53.000"
"","AGRICULTURE","Others","Others","Weather","ASKED ABOUT  WEATHER FORECASTING?","Cloudy weather  and  possibility of light  rain","MAHARASHTRA","CHANDRAPUR","NAGBHID","2014-08-01 17:15:26.000"
"JAYAD","AGRICULTURE","Others","Others","","wilt attack on cotton","Drenching Bavistine 30gm + Humic Acid 30ml/15 Lit of Water","MAHARASHTRA","CHANDRAPUR","BALLARPUR                                         ","2014-08-01 17:17:28.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather forecast information?","Weather is partly cloudy, possiblity of light rain. Heavy rain  for next 4-5 Days","MAHARASHTRA","CHANDRAPUR","SINDEWAHI                                         ","2014-08-01 19:15:24.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","asked about information cotton crop?","Bavistine 30gmHumic Acid 30ml/15 Lit of Water Drenching.","MAHARASHTRA","CHANDRAPUR","JIWATI","2014-08-01 19:51:59.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","fertilizer for spray on dhan?","19:19:19 5gram+microla 3mili/liter","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-01 20:06:16.000"
"JAYAD","AGRICULTURE","Others","Others","","weather condition","Todays weather condition in Partly cloudy, no light rainfall","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-08-01 20:08:25.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather forcast?","Apalya vibhagat 4,5,6,7,8,9,10  august ya tarkela pavasachi shakyata ahe","MAHARASHTRA","CHANDRAPUR","SINDEWAHI                                         ","2014-08-01 20:28:15.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","fertilizer dose","spray of 19:19:19 60 gm + microla 25 ml per pump on cotton for growth. apply 10:26:26 2 bag + urea 1 bag + magnesium sulphate 10 kg per acre","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-01 20:30:44.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","fert dose","19 19 19 60 gm  + Humic Acid 30ml/15 Lit of Water Drenching.","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-08-01 20:31:43.000"
"","HORTICULTURE","Vegetables","Chillies","","treatment of chilly?","treatment of chilly- Emidoclopride 10ml+trycoderma50gm/10 lit of water","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-02 07:34:37.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Drip Irrigation subsidies.","50-60 % subsidies, loan pls visit nearer nationalised bank.","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-02 07:36:43.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","sms activation?",". Your SMS  Registration process successfully completed","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-08-02 08:00:42.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","farmer has enquired about the fertilizer dose for cotton crop","Spray 2% Urea 200 gm/10Lit of Water.","MAHARASHTRA","CHANDRAPUR","JIWATI","2014-08-02 08:54:25.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","cotton fertilizer?","spray esabion 30ml + confidor/15lt water","MAHARASHTRA","CHANDRAPUR","BHADRAWATI","2014-08-02 09:15:06.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan  atac blight?","19:19=30 gm+microla=30 ml+Redomil Gold 30gm/15Lit of Water.","MAHARASHTRA","CHANDRAPUR","JIWATI","2014-08-02 10:06:39.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","BLIGH OF PADDY","BLIGH OF PADDY  - Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","CHANDRAPUR","RAJURA                                            ","2014-08-02 11:12:44.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Sucking Pest?","Spray Actra 5 gm/15 Lit of Water.","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-02 11:59:42.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","","asked about weedicide in soybean crop?","use parshut or society as a weedicide in soybean crop","MAHARASHTRA","CHANDRAPUR","BHADRAWATI","2014-08-02 12:09:30.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Leaf Eating Caterpillar ?","Spray Proclaim 5gm/15lit of Water.","MAHARASHTRA","CHANDRAPUR","RAJURA                                            ","2014-08-02 12:44:39.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","Attack of Shoot Borer on cotton","Spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-02 14:55:01.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","weather report?","Partly cloudy, possibility of light  rain.?? ???? ???????, ??????? ?????? ???.","MAHARASHTRA","CHANDRAPUR","RAJURA                                            ","2014-08-02 15:11:39.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Powdery Mildew Attack?","Spray Bavistine 30gm/15lit of Water.","MAHARASHTRA","CHANDRAPUR","POMBHURNA                                         ","2014-08-02 15:42:35.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","Market Information","Market Information about soybean crop?","market rate  4800 to 5100 Rs per quintle","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-08-02 16:52:16.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","fertilizers ?","102626 + urea khat dyave","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-02 19:08:18.000"
"","AGRICULTURE","Others","Others","","Weed control ?","spray hitweed +socity after 21 day for sowing","MAHARASHTRA","CHANDRAPUR","CHANDRAPUR                                        ","2014-08-02 19:33:55.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Fertilizer on paddy ?","Spray Microlla 30 ml/15 Lit of Water.
	Spray 00-52-34 30gm/15lit of water.","MAHARASHTRA","CHANDRAPUR","NAGBHID","2014-08-02 20:12:29.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","cotton herbicides","cotton herbicides--hitwed  spray","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-02 20:23:35.000"
"","AGRICULTURE","Others","Others","Weather","Farmer has asked about weather condition in his taluka","Informed him that the weather will be cloudy and there are least chances of rains.","MAHARASHTRA","CHANDRAPUR","RAJURA                                            ","2014-08-02 20:50:31.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ATTACK OF JASSID ON COTTON","SPRAYING METADORE OR KARATE 15 ML /15 LIT WATER","MAHARASHTRA","CHANDRAPUR","RAJURA                                            ","2014-08-02 21:00:09.000"
"","AGRICULTURE","Others","Others","","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-08-02 21:03:40.000"
"KHARIF","AGRICULTURE","Oilseeds","Sunflower (suryamukhi)","","Asked about  Weather Report ?","Partly cloudy and  Possiblility of  light rain","MAHARASHTRA","CHANDRAPUR","NAGBHID","2014-08-03 08:40:03.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Seeds","varieties","VARIETIES-
COTTON-Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-177","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-03 10:26:03.000"
"JAYAD","AGRICULTURE","Others","Others","","Weather information of chandrapur?","Weather information of chandrapur-Cloudy weather and possibility of light rain","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-03 10:32:38.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Flower Drop?","Spray Boom flower 25ml/15lit of Water.","MAHARASHTRA","CHANDRAPUR","CHANDRAPUR                                        ","2014-08-03 11:21:11.000"
"","AGRICULTURE","Others","Others","","Attack of fungus?","Ridomil gold 30 gm + Humic Acid 30ml/15 Lit of Water Drenching.","MAHARASHTRA","CHANDRAPUR","NAGBHID","2014-08-03 12:34:00.000"
"JAYAD","AGRICULTURE","Others","Others","","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","CHANDRAPUR","NAGBHID","2014-08-03 12:48:05.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","attack of sucking pest","spray of confidor 10 ml + 1 arena chocklate per pump on bitter guard for bitter gaurd","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-08-03 16:21:12.000"
"","AGRICULTURE","Others","Others","Weather","weather information of chandrapur","CLOUDEY WEATHER AND POSSIBILITY OF RAIN","MAHARASHTRA","CHANDRAPUR","BALLARPUR                                         ","2014-08-03 16:49:13.000"
"","AGRICULTURE","Others","Others","","Weather report of chimur ?","Partly cloudy, Possibility of Rainfall","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-03 17:57:08.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blight on dhan?","spray folikyur 0.50mili/liter","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-03 19:39:15.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","Sucking Pest on cotton ?","Spray Confidor super / Confidor 6ml/15 Lit of Water.","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-03 21:25:52.000"
"","AGRICULTURE","Others","Others","Weather","Weather forecast information?","Partly cloudy, Possibility of Rainfall","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-04 07:48:31.000"
"","AGRICULTURE","Others","Others","Government Schemes","ASKED ABOUT SMS ACTIVATION?","sms scheme is activated on your mobile number","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-04 07:50:51.000"
"","AGRICULTURE","Others","Others","","SMS ACTIVATION?","THE SERVICE HAS BEEN ACTIVATED SUCCESSFULLY","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-08-04 08:58:18.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","BLIGH ON PADDY","BLIGH ON PADDY  - Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","CHANDRAPUR","BRAHMAPURI                                        ","2014-08-04 09:34:38.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","fertilizer dose for cotton?","apply 50 kg urea + 50 kg 10 26 26 / acre","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-04 09:37:51.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","SIDE EFFECT OF WEEDISIDE","SIDE EFFECT OF WEEDISIDE  - TABA SPRAY","MAHARASHTRA","CHANDRAPUR","JIWATI","2014-08-04 11:19:35.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","Nutrient Management","foliar spray in soybean?","spray of water soluble fertilizer NPK 19:19:19 @     100 g   /pump","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-04 11:44:51.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","EFFECT OF WEEDICIDE ON COTTON","EFFECT OF WEEDICIDE ON COTTON - SPRAY TABA 30 ML / 15 LIT OF WATER","MAHARASHTRA","CHANDRAPUR","JIWATI","2014-08-04 11:47:14.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","TO KNOW ABOUT THE WAETHER INFORMATION","??? ????
???? ??: +31°
????????: 1002.0 ???????????? 
?????: +23°
???: 74.3%
????????????: 5 ????????
???? ?? 4.8. 10:40 am
?? ???? ??? Nagpur Sonegaon
????? ????????, Nagpur Sonegaon >","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-04 11:53:07.000"
"JAYAD","AGRICULTURE","Fiber Crops","Jute","	Plant Protection	","ATTACK OF THRIPS?","SPRAY ACTRA 5 GM IN 15 LITER WATER","MAHARASHTRA","CHANDRAPUR","RAJURA                                            ","2014-08-04 12:14:06.000"
"","AGRICULTURE","Others","Others","","SMS ACTIVATION?","THE SERVICE HAS BEEN ACTIVATED SUCCESSFULLY","MAHARASHTRA","CHANDRAPUR","CHANDRAPUR                                        ","2014-08-04 13:02:36.000"
"JAYAD","AGRICULTURE","Others","Others","","Asked about SMS Activation ?","Your Registration process successfully completed.","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-04 13:23:02.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather information of Chandrapur","Partly cloudy
Feels Like: +34°
Barometer: 1002.3 hPa 
Dewpoint: +21°
Humidity: 56%
Visibility: 10 km
As of 04/08 11:30 am","MAHARASHTRA","CHANDRAPUR","BALLARPUR                                         ","2014-08-04 13:32:21.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","SPRAY FOR GROWTH OF COTTON","SPRAY FOR GROWTH OF COTTON - 60 GM 19:19:19 +30 ML MICROLA / 15 LIT OF WATER","MAHARASHTRA","CHANDRAPUR","POMBHURNA                                         ","2014-08-04 15:40:55.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","asked about information cotton crop ?","Spray Actara 5 gm/15 Lit of Water.","MAHARASHTRA","CHANDRAPUR","POMBHURNA                                         ","2014-08-04 17:46:45.000"
"","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","CHANDRAPUR","GONDPIPRI                                         ","2014-08-04 20:02:15.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","FERTILIZER DOSE FOR PADDY","FERTILIZER DOSE FOR PADDY - APPLY 1 BAG UREA + 2 1/2 BAG SSP + 35 UREA / ACRE","MAHARASHTRA","CHANDRAPUR","NAGBHID","2014-08-04 21:14:18.000"
"JAYAD","AGRICULTURE","Others","Others","","WEATHER REPORT","CLOUDY ATMOSPHERE WITH LITTLE CHANCES OF RAIN","MAHARASHTRA","CHANDRAPUR","SINDEWAHI                                         ","2014-08-04 21:25:25.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","asked about climatic condition","possibility of light rain today","MAHARASHTRA","CHANDRAPUR","CHIMUR                                            ","2014-08-05 08:11:45.000"
"JAYAD","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","asked about red mite attack","sprating omite or oberon","MAHARASHTRA","CHANDRAPUR","SAOLI                                             ","2014-08-05 08:53:34.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","asked about stem borer on soybean crop?","to control stem borer on soybean crop Spray Nuwan 20ml/15Lit of Water.","MAHARASHTRA","CHANDRAPUR","WARORA                                            ","2014-08-05 09:00:35.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","attack of sucking pest on cotton","Spray Actra 5 gm/15 Lit of Water","MAHARASHTRA","CHANDRAPUR","KORPANA                                           ","2014-08-05 09:40:31.000"
