"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Varieties","variety of sugarcane?","variety of sugarcane ..... co 86032","MAHARASHTRA","JALNA","GHANSAWANGI","2014-12-01 07:19:59.957"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","varieties of gram?","varieties of gram- virat, vishal,vijay, digvijay","MAHARASHTRA","JALNA","PARTUR                                            ","2014-12-01 08:17:00.667"
"RABI","AGRICULTURE","Others","Others","Weather","weather information of ambad?","weather information of ambad-weather  is clear","MAHARASHTRA","JALNA","AMBAD                                             ","2014-12-01 08:33:21.133"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation?","Your SMS Registration process successfully completed.","MAHARASHTRA","JALNA","BHOKARDAN","2014-12-01 09:28:32.290"
"RABI","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy Weather NO possibility Rainfall.","MAHARASHTRA","JALNA","JALNA                                             ","2014-12-01 10:27:53.693"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Fertilizer Use and Availability","Leaf Eating Caterpillar ?","Spray fame 5ml/15 Lit of Water.","MAHARASHTRA","JALNA","BHOKARDAN","2014-12-01 10:37:34.857"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","weather in jalana ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","JALNA","BADNAPUR                                          ","2014-12-01 11:06:01.610"
"RABI","AGRICULTURE","Others","Others","Weather","weather forcast?","???? ???????, ??????? ?????? ????","MAHARASHTRA","JALNA","PARTUR                                            ","2014-12-01 11:09:31.140"
"RABI","AGRICULTURE","Others","Others","Weather","farmer had enquired about Weather information?","according to weather report there will be clear weather with no rain","MAHARASHTRA","JALNA","PARTUR                                            ","2014-12-01 11:09:57.007"
"RABI","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","fertilizer dose of chilli?","spray 10:26:26 1 bags + 15 kg urea /acre","MAHARASHTRA","JALNA","JALNA                                             ","2014-12-01 11:13:07.350"
"RABI","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","ASKED ABOUT GROWTH SPRAY?","SPRAY  19:19:19 / 00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER","MAHARASHTRA","JALNA","AMBAD                                             ","2014-12-01 11:28:18.360"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","churada murada","atara 5 gm+radomil gold 30 ml/15 liter water","MAHARASHTRA","JALNA","AMBAD                                             ","2014-12-01 11:34:58.343"
"RABI","HORTICULTURE","Fruits","Mosambi","	Plant Protection	","ATTACK OF BLIGHT?","SPRAY19:19:19 / 00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER","MAHARASHTRA","JALNA","MANTHA                                            ","2014-12-01 11:39:24.407"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","spray for gram?","spray for gram- spray microla 30ml/ 15 lit of water","MAHARASHTRA","JALNA","MANTHA                                            ","2014-12-01 11:51:25.593"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WEATHER REPORT ?","CLOUDEY WEATHER AND POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","JALNA","JAFRABAD                                          ","2014-12-01 11:51:28.400"
"RABI","AGRICULTURE","Others","Others","Weather","Asking about Weather information?","Cloudy Weather NO possibility Rainfall.","MAHARASHTRA","JALNA","BHOKARDAN","2014-12-01 12:29:12.493"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","weed control in wheat?","spray 2 4 - D to control weed in wheat","MAHARASHTRA","JALNA","BHOKARDAN","2014-12-01 12:47:21.693"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather forcast?","???? ???????, ??????? ?????? ????","MAHARASHTRA","JALNA","BHOKARDAN","2014-12-01 12:56:48.790"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","white fly on papaya?","Spray Polo 25gm /15 Lit of Water.","MAHARASHTRA","JALNA","GHANSAWANGI","2014-12-01 13:04:43.150"
"KHARIF","AGRICULTURE","Millets","Barnyard Millet (Kundiraivlli/Sawan","	Plant Protection	","asked about sms activation ?","sms activation sussefull","MAHARASHTRA","JALNA","AMBAD                                             ","2014-12-01 14:11:03.057"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","herbicides use in wheat filed","use allgrip herbicide in wheat filed","MAHARASHTRA","JALNA","AMBAD                                             ","2014-12-01 14:11:11.290"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","red leaf of cotton ?","SPRAY MGSO4 50 GM + UREA 100 GM/15 LIT OF WATER","MAHARASHTRA","JALNA","AMBAD                                             ","2014-12-01 14:14:42.910"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","Powdery Mildew Attack","Spray Redomil Gold 30gm /15 Lit of Water.","MAHARASHTRA","JALNA","GHANSAWANGI","2014-12-01 14:14:50.007"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","FERTILIZER","Humic Acid 1 liter + Bavistin 400 Gram + 12:61:00 4 Kilo per Acer","MAHARASHTRA","JALNA","GHANSAWANGI","2014-12-01 14:29:42.510"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WILT","Humic Acid 1 liter + Bavistin 400 Gram + 12:61:00 4 Kilo per Acer","MAHARASHTRA","JALNA","GHANSAWANGI","2014-12-01 14:35:41.667"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","Fertilizer Use and Availability","FARTILIZER FOR GINGER","FARTILIZER FOR GINGER  = MICROLA 30 ML + HUMIC ACID 30 ML /15 LITER WATER SPRAY","MAHARASHTRA","JALNA","BHOKARDAN","2014-12-01 14:44:43.100"
"RABI","AGRICULTURE","Others","Others","Fertilizer Use and Availability","fertilizer info.","00;52;34  wapar kara","MAHARASHTRA","JALNA","AMBAD                                             ","2014-12-01 15:04:21.760"
