"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","virus on  chilli","virus on  chilli - spray stop 15 ml + jatayu 30 gm / 15 lit ??? & spray jues zed + 3 ml / lit water","MAHARASHTRA","NANDURBAR","NANDURBAR                                         ","2014-08-01 09:02:07.000"
"JAYAD","HORTICULTURE","Condiments and Spices","Ginger","","FERTILIZER FOR GINJER","FERTILIZER FOR GINJER  - 19;19;19 60 GM + MICROLA 350 ML + HUMIC ACID 3 KG /ACRE","MAHARASHTRA","NANDURBAR","SHAHADA                                           ","2014-08-01 09:24:00.000"
"JAYAD","HORTICULTURE","Vegetables","Drum Stick","Seeds and Planting Material","varieties of drumstick ?","varieties of drumstick - co odc rohit 1","MAHARASHTRA","NANDURBAR","NANDURBAR                                         ","2014-08-01 09:32:44.000"
"JAYAD","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","FERTILISER DOSE FOR GARLIC?","2 BAGS UREA + 3 BAGS PHOSPHATE + 1 BAG POTASH","MAHARASHTRA","NANDURBAR","SHAHADA                                           ","2014-08-01 09:40:22.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","","asked about leaf eating caterpiller on chilli crop?","to control leaf eating caterpiller on chilli spray rogar 15ml /15 Lit of Water.","MAHARASHTRA","NANDURBAR","NANDURBAR                                         ","2014-08-01 09:40:49.000"
"JAYAD","AGRICULTURE","Others","Others","","ASKED ABOUT REGISTRATION FOR SMS SERVICE","YOUR NUMBER IS SUCCESSFULLY REGISTERED FOR SMS SERVICE","MAHARASHTRA","NANDURBAR","NAVAPUR                                           ","2014-08-01 10:39:56.000"
"","AGRICULTURE","Others","Others","","ASKED ABOUT SMS ACTIVATION?","sms scheme is activated on your mobile number","MAHARASHTRA","NANDURBAR","NAVAPUR                                           ","2014-08-01 10:53:03.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","sugarcane fertilizer?","apply 00;52;34 + micronutrient 10 kg","MAHARASHTRA","NANDURBAR","NANDURBAR                                         ","2014-08-01 11:31:01.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer has asked about weather condition in his taluka","Informed him that the weather will be cloudy and there are more chances of rains.","MAHARASHTRA","NANDURBAR","NANDURBAR                                         ","2014-08-01 11:49:48.000"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","fertilizer dose of sugarcane crop?","fertilizer dose of sugarcane crop = 10:26:26 2 bags + 25 kg urea /acre","MAHARASHTRA","NANDURBAR","NAVAPUR                                           ","2014-08-01 12:07:37.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","FARMER REQUESTED TO START SMS SERVICE ON HIS MOBILE","THE SERVICE HAS BEEN ACTIVATED SUCCESSFULLY","MAHARASHTRA","NANDURBAR","NAVAPUR                                           ","2014-08-01 14:40:21.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weather","Weather Condition ?","???? ???? ??????
????? ?? ???????: 58%
???: 66%","MAHARASHTRA","NANDURBAR","NAVAPUR                                           ","2014-08-01 14:49:15.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked about Cotton  Reddening ?","magnesium sulphate 8 kilo + zink sulphate 8 kilo / acer","MAHARASHTRA","NANDURBAR","SHAHADA                                           ","2014-08-02 11:09:18.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather information","possibility of rainfall","MAHARASHTRA","NANDURBAR","SHAHADA                                           ","2014-08-02 11:37:34.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather information","possibility of rainfall","MAHARASHTRA","NANDURBAR","SHAHADA                                           ","2014-08-02 11:39:09.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","asked about fertilizer dose for cotton crop?","recommemded  fertilizer dose for cotton -2 BAG 10:26:26 + 0.5 BAG UREA / ACER","MAHARASHTRA","NANDURBAR","SHAHADA                                           ","2014-08-02 12:01:04.000"
"","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","","farmer has enquired about poultry farm for eggs","told him the information kadaknath,vanraj, giriraj are good breeds","MAHARASHTRA","NANDURBAR","SHAHADA                                           ","2014-08-02 17:14:33.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Asked About Weather Report ?","Partly cloudy andt possibility of light rain.","MAHARASHTRA","NANDURBAR","SHAHADA                                           ","2014-08-02 17:15:48.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","fertilizer dose of cotton","use 19 19 19 + microlla","MAHARASHTRA","NANDURBAR","SHAHADA                                           ","2014-08-02 17:26:22.000"
"JAYAD","AGRICULTURE","Others","Others","Training and Exposure Visits","ASKED ABOUT SMS ACTIVATION","YOUR REGISTATION PROCETURE COMPLETED","MAHARASHTRA","NANDURBAR","NAVAPUR                                           ","2014-08-02 18:52:53.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","ASKED ABOUT ROT OF SOYBEAN","SPRAYING OF PROCLAIM OR LANNATE","MAHARASHTRA","NANDURBAR","NANDURBAR                                         ","2014-08-02 19:12:22.000"
