"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","","soybean fertilizers  spray","19:19=50g m+microla=30 ml+growar=30 ml,,15lit of Water.","MAHARASHTRA","OSMANABAD","OSMANABAD                                         ","2014-08-01 06:50:59.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weather","what   is   weather   condition in 
Osmanabad ?","CLOUDEY WEATHER AND POSSIBILITY OF RAIN 
to 3  jully 2014","MAHARASHTRA","OSMANABAD","OMERGA                                            ","2014-08-01 06:56:06.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","Asked about  Weather Report ?","Partly Cloudy, Possible Thunderstorms with Rain.","MAHARASHTRA","OSMANABAD","OSMANABAD                                         ","2014-08-01 07:12:53.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","","FERTILIZER FOR BITTER GOURD","FERTILIZER FOR BITTER GOURD  - 0;52;34 40 GM /15 LIGTER WATER SPRAY","MAHARASHTRA","OSMANABAD","BHOOM                                             ","2014-08-01 07:40:17.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","","asked about soybean caterpillar attak ?","????????? ???? 30 ???? / 15 ?? ??????? ?????? ?????.","MAHARASHTRA","OSMANABAD","OMERGA                                            ","2014-08-01 08:42:59.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","Agriculture Mechanization","weedicide in soybean as post emergence","weedicide in soybean as post emergence after sowing of 20-21 days - spray persuit 250 ml /acre + targasuper 200-250 ml /a cre","MAHARASHTRA","OSMANABAD","BHOOM                                             ","2014-08-01 08:47:51.000"
"JAYAD","AGRICULTURE","Others","Others","","last date of crop in insurance?","last date of crop in insurance-upto 16 august","MAHARASHTRA","OSMANABAD","LOHARA                                            ","2014-08-01 08:48:34.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","weed control in sugarcane?","spray 2-4 d +  cencor","MAHARASHTRA","OSMANABAD","OSMANABAD                                         ","2014-08-01 09:24:27.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","","herbicide","persuit","MAHARASHTRA","OSMANABAD","OSMANABAD                                         ","2014-08-01 09:54:03.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","","WHITE GRUB ON SOYABEAN","WHITE GRUB ON SOYABEAN  - FERTERA 4 KG /ACRE","MAHARASHTRA","OSMANABAD","LOHARA                                            ","2014-08-01 10:37:21.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","Powdery Mildew Attack?","Drenching of Chloropyriphos 40 ml / 15 lit of water.","MAHARASHTRA","OSMANABAD","OSMANABAD                                         ","2014-08-01 11:13:16.000"
"","AGRICULTURE","Others","Others","","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","OSMANABAD","OMERGA                                            ","2014-08-01 11:18:32.000"
"","AGRICULTURE","Others","Others","Weather","weather forecast of paranda","weather forecast -atmosphrer is cloudy,possibility medium rainfall .","MAHARASHTRA","OSMANABAD","PARANDA                                           ","2014-08-01 11:29:01.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather forcast?","Overcast
 Precip chance: 75%
 Humidity: 90%","MAHARASHTRA","OSMANABAD","OMERGA                                            ","2014-08-01 11:35:33.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","Fertilizer Use and Availability","fertilizer for soyabean?","fertilizer for soyabean - 19:19:19  + humic acid + m-45","MAHARASHTRA","OSMANABAD","KALAMB","2014-08-01 11:37:51.000"
"","AGRICULTURE","Others","Others","","ASKED ABOUT SMS ACTIVATION?","sms scheme is activated on your mobile number","MAHARASHTRA","OSMANABAD","LOHARA                                            ","2014-08-01 11:38:15.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer has asked about weather condition in his taluka","Informed him that the weather will be cloudy and there are more chances of rains.","MAHARASHTRA","OSMANABAD","LOHARA                                            ","2014-08-01 11:56:25.000"
