"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Market Information","pomegranate market rate?","pomegranate market rate--SOLAPUR QUINTAL 2270 10000 1000 3700","MAHARASHTRA","SATARA","KHATAV","2014-10-01 08:28:52.817"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","LEAF REDDENING OF GINGER?","apply magnesium sulphate 20 kg /acre","MAHARASHTRA","SATARA","PATAN","2014-10-01 12:45:12.923"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation?","YOUR REGISTRATION PROCESS IS SUCCESSFULLY COMPLETED","MAHARASHTRA","SATARA","KARAD","2014-10-01 12:52:38.550"
"RABI","HORTICULTURE","Fruits","Pomegranate","Seeds and Planting Material","P Granate vaerity ?","P Granate- Ganesh, Bhagva, Mradula, Shendri, Arkta? -","MAHARASHTRA","SATARA","PHALTAN","2014-10-01 12:59:42.740"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","Cloudy weather, possibility of low rainfall.","MAHARASHTRA","SATARA","MAN","2014-10-01 16:03:59.847"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","Fertilizer Use and Availability","fertilizer info.","Spray 00-52-34 30gm/15lit of water.","MAHARASHTRA","SATARA","KHATAV","2014-10-01 17:59:53.657"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","fertilizer info.","19;19;19 wapar kara","MAHARASHTRA","SATARA","KHATAV","2014-10-01 18:01:10.010"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","market rate of bannana?","market rate of bannana = 1500- 1200 rs /quintal","MAHARASHTRA","SATARA","MAN","2014-10-01 18:45:45.867"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","fertilizer dose","drenching of 19:19:19 + humic asid","MAHARASHTRA","SATARA","KOREGAON","2014-10-01 19:31:39.220"
"JAYAD","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","fert. of ginger ?","application of fert. urea","MAHARASHTRA","SATARA","JAWALI","2014-10-01 19:41:09.570"
