"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","ANIMAL HUSBANDRY","Animal","Dog","Disease Management","Asking about the medicine for dog,s flea","Advice-Butox -10 ml/lit. of water","MANIPUR","IMPHAL EAST","IMPHAL EAST II                                    ","2014-10-01 09:13:36.097"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is tansferred to Agri-expert.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-04 10:50:08.353"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is tansferred to Agri-expert.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-04 10:50:21.850"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","ASKING ABOUT THE CULTURAL PRACTICES OF PEA.","DETAILS GIVEN(TREAT THE SEED WITH THIRAM OR CAPTAN @ 2GM/KG OF SEED.FERT.DOSE DAP -27 KG/SANGAM AND MOP-8 KG/SANGAM,IRRIGATION 1-2 LIGHT IRRIGATION 30 AND 60 DAYS AFTER SOWING)","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-05 11:35:35.323"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Management of Brown Plant Hopper in paddy","I suggest him to spray Trifos 40 EC @ 2 ml per litre of water.","MANIPUR","IMPHAL EAST","IMPHAL EAST II                                    ","2014-10-09 19:48:29.777"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Asking  about the  medicine for poultry","Advice- Lixen powder-5gm/lit. of water.Ambiplex- 5ml/lit. of water. Ostocalcium- 5ml/lit. of water.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-11 11:41:26.380"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-11 12:36:55.843"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","ASKING ABOUT THE SEED RATE FOR PEA/SANGAM.","DETAILS GIVEN(20-25 KG/SANGAM,FOR WINTER 0.4 DEGREE CEL-APPLY DIMETHYLE SULPHOXIDE @75ML/1000LT OF WATER,CELCOCEL@0.05%,GLUCOSE @0.5% AND SULFURIC ACID)","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-11 12:58:39.823"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Asking about the medicine for poultry","Advice-Lixen powder-5gm/lit. of water for 7 days. Nablon powder-5gm/lit. of water- s.o.s. Ambiplex-5 ml/lit. of water for 30 days . Calcicare-5gm/lit. of water for 30 days.","MANIPUR","IMPHAL EAST","IMPHAL EAST II                                    ","2014-10-15 11:17:31.440"
"RABI","HORTICULTURE","Fruits","Custard Apple","Nutrient Management","ASKING ABOUT THE MICRO NUTRIENTS FOR PAMELO.","SUGGESTED TO APPLY 700:375:600g/TREE OF NPK.MANURES ARE APPLIED IN THE BASIN AT 70 cm AWAY FROM THE TRUNK AND INCORPORATED.APPLY MICRONUTRIENTS BORAX@2-3 KG.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-16 10:33:26.157"
"RABI","AGRICULTURE","Others","Others","Weather","ASKING ABOUT THE WEATHER FOR IMPHAL EAST.","DETAILS GIVEN(ABOUT RAINFALL,MAXM TEMP,MINM TEMP ETC)","MANIPUR","IMPHAL EAST","IMPHAL EAST II                                    ","2014-10-16 14:20:47.247"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF NECK BLAST IN RICE.","SUGGESTED TO SPRAY TRICYCLAZOLE 75%10GM/15 LT OF WATER OR KRESOXIM50%@15ML/15LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-16 14:55:27.463"
"RABI","HORTICULTURE","Fruits","Grape","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF DOWNEY MILDEW IN GRAPES.","SUGGESTED TO SPRAY 1% BORDEAUX MIXTURE OR ANY OTHER COPPER FUNGICIDE AT 0.25% CONCENTRATION.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-16 15:19:35.897"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-17 11:35:47.603"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF NECK BLAST IN RICE.","SUGGESTED TO SPRAY TRICYCLAZOLE 75WP@10GM/15 LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-10-17 11:36:11.230"
