"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","ROOT ROTTING IN BETEL VINE","ROOT ROTTING IN BETEL VINE--SPRAY MANCOZEB+CARBENDAJIM (SAAF) 2GM/LITER WATER","ODISHA","JAGATSINGHAPUR","ERASAMA                                           ","2014-08-01 10:05:51.000"
"","FISHERIES","Inland","Fresh Water","Fishery Mechanization","AQUATIC WEED CONTROLL IN FISH POND","AQUATIC WEED CONTROLL IN FISH POND--APPLY 2,4-D 8-10KG PER HACTER WITH SOME DETERGENT POWDER","ODISHA","JAGATSINGHAPUR","KUJANG                                            ","2014-08-01 10:32:07.000"
"","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","TANK MANAGEMENT","CALL TRANSFER TO FISHERY FTA","ODISHA","JAGATSINGHAPUR","KUJANG                                            ","2014-08-01 10:32:41.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","RICE CASE WORM IN PADDY CROP","SPRAY QUINALPHOS 2ML/1 LITER OF WATER","ODISHA","JAGATSINGHAPUR","ERASAMA                                           ","2014-08-01 11:15:11.000"
"","AGRICULTURE","Others","Others","Weather","RAINFALL IN J PUR DISTRICT","RAINFALL IN J PUR DISTRICT-ON 2ND AUG 19MM RAIN MAY OCCUR.","ODISHA","JAGATSINGHAPUR","RAGHUNATHPUR                                      ","2014-08-01 12:18:04.000"
"","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","MIXED FERTILIZER..IN BRINJAL","MIXED FERTILIZER..IN BRINJAL-SPRAY POLYFEED 5GM/LT OF WATER.","ODISHA","JAGATSINGHAPUR","JAGATSINGHPUR                                     ","2014-08-01 12:33:55.000"
"","AGRICULTURE","Others","Others","	Field Preparation	","LEECH IN FIELD","CATRAP HYDROCHLORIDE  8KG/ACRE","ODISHA","JAGATSINGHAPUR","ERASAMA                                           ","2014-08-01 15:53:19.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","ABOUT AZOLLA FEED","CONSULT VAS","ODISHA","JAGATSINGHAPUR","BIRIDI                                            ","2014-08-01 16:45:46.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","AZOLA PREPARATION FOR CATTLE FEED","RECOMMENDED 9861059952 NUMBER FOR VETERINARY","ODISHA","JAGATSINGHAPUR","BIRIDI                                            ","2014-08-01 16:47:46.000"
"","HORTICULTURE","Fruits","Banana","Soil Testing","VARIETY BANANA","RECOMMENDED VARIETY BATISA ,CHAMPA ,BANTALA FOR BANANA","ODISHA","JAGATSINGHAPUR","KUJANG                                            ","2014-08-01 17:44:42.000"
