"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APPLICATION OF 20:20:0:13 IN PADDY CROP IN BASAL DOSE","RECOMMENDED TO APPLY 50KG 20:20:0:13,10KG UREA POTASH 25KG PER 1AC FOR BASAL DOSE","ODISHA","KHORDHA","KHORDHA                                           ","2014-09-02 11:48:23.680"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APPLICATION OF 20:20:0:13 IN PADDY CROP IN BASAL DOSE","RECOMMENDED TO APPLY 50KG 20:20:0:13,10KG UREA POTASH 25KG PER 1AC FOR BASAL DOSE","ODISHA","KHORDHA","KHORDHA                                           ","2014-09-02 11:48:23.680"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APPLICATION OF 20:20:0:13 IN PADDY CROP IN BASAL DOSE","RECOMMENDED TO APPLY 50KG 20:20:0:13,10KG UREA POTASH 25KG PER 1AC FOR BASAL DOSE","ODISHA","KHORDHA","KHORDHA                                           ","2014-09-02 11:48:23.680"
"KHARIF","AGRICULTURE","Others","Others","Weather","Rainfall data for tomorrow","20mm rain for tomorrow","ODISHA","KHORDHA","BHUBANESWAR                                       ","2014-09-03 13:00:22.570"
"RABI","AGRICULTURE","Others","Others","Government Schemes","VEG.SUBSIDY","CONTACT AHO OF YOUR BLOCK","ODISHA","KHORDHA","BHUBANESWAR                                       ","2014-09-05 14:00:21.360"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","ROOT ROT IN BETEL VINE","RECOMMENDED FOR SPRAYRIDOMIL 2.5 GM/ LIT WATER FOR CONTROL OF ROOT ROT IN BETEL VINE.","ODISHA","KHORDHA","BALIPATNA                                         ","2014-09-06 08:32:15.000"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","WILTING","PLANTOMYCIN 1GM+COC 2GM/1LITRE OF WATER","ODISHA","KHORDHA","BALIPATNA                                         ","2014-09-06 15:00:37.507"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TOTAL WATER NECESSARY FOR ONE ACRE SPRAY","200LITRE/ACRE","ODISHA","KHORDHA","BOLAGARH                                          ","2014-09-08 19:33:46.410"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown spot disease in paddy","Recommended for spray Metominostrobin 1ml per litre of water to control Brown spot disease in paddy","ODISHA","KHORDHA","BOLAGARH                                          ","2014-09-09 11:23:31.063"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","KHORDHA","BOLAGARH                                          ","2014-09-10 18:59:57.417"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","MICRONUTRIENT DEFICIENCY","APPLY VIPUL 5KG/ACRE","ODISHA","KHORDHA","BALIANTA                                          ","2014-09-11 17:08:34.923"
"KHARIF","HORTICULTURE","Fruits","Mango","Soil Testing","SOIL TEST","CONTACT VAW/KRUSAK SATHI","ODISHA","KHORDHA","BOLAGARH                                          ","2014-09-11 17:14:27.230"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Final dose of fertilizer for paddy","Recommended for application of 17kg urea per acre as final dose of fertilizer for paddy","ODISHA","KHORDHA","BEGUNIA                                           ","2014-09-13 07:00:01.867"
"KHARIF","AGRICULTURE","Others","Others","Weather","Low-pressure chances for coming week","","ODISHA","KHORDHA","BEGUNIA                                           ","2014-09-13 12:06:41.297"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","PURCHASE OF SPRINKLER","CONTACT AAO OF YOUR BLOCK","ODISHA","KHORDHA","JATNI                                             ","2014-09-13 19:36:44.933"
"RABI","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","TANK MANAGEMENT","CONTACT EXPERT","ODISHA","KHORDHA","BHUBANESWAR                                       ","2014-09-14 16:27:45.500"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","FLOWER DROP","PLANOFIX 1ML/4.5LITRES OF WATER","ODISHA","KHORDHA","BOLAGARH                                          ","2014-09-14 19:13:16.887"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLAST IN PADDY","RECOMMENDED FOR SPRAY TRICYCLOZEL 120GM/ 200 LIT WATER ACRE FOR CONTROL OF BLAST IN PADDY.","ODISHA","KHORDHA","BEGUNIA                                           ","2014-09-15 06:24:05.297"
"RABI","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","STEM BORER","IMIDACLOPRID 1ML/3LITRES OF WATER","ODISHA","KHORDHA","JATNI                                             ","2014-09-15 15:22:09.800"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recommended quinalphos 40EC @ 2ml/litre water","ODISHA","KHORDHA","BEGUNIA                                           ","2014-09-15 17:12:10.367"
