"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weed infestation in paddy field","recomended almix @ 8gm/acre","ODISHA","KORAPUT","JEYPORE                                           ","2014-08-01 19:09:00.000"
"","HORTICULTURE","Fruits","Guava","Field Preparation","GRAFTING OF GUAVA","RECOMENDED TO TAKE TRAINING AT KVK FOR GRAFTING OF GUAVA","ODISHA","KORAPUT","KOTPAD                                            ","2014-08-02 12:11:31.000"
"","AGRICULTURE","Others","Others","Training and Exposure Visits","phone number KVK at sunabeda","recommended number-9937162016 of programe coordinator","ODISHA","KORAPUT","KOTPAD                                            ","2014-08-02 12:17:49.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","2ND SPLIT FERTILIZER DOSE IN PADDY CROP","RECOMMENDED DOSES FOR TOP DRESSING UREA 35KG & AT FLOWERING STAGE 17 KG UREA PER 1 AC","ODISHA","KORAPUT","BORIGUMMA                                         ","2014-08-02 14:21:11.000"
"","FISHERIES","Inland","Fresh Water","Coastal Aquaculture","FEED FREQUENCY FOR CARPS","SSP=30-35KG;RAW COW DUNG=30KG;LIME=30-35KG/ACRE RECOMMENDED","ODISHA","KORAPUT","JEYPORE                                           ","2014-08-02 15:35:42.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF KORAPUT DIST","RECOMMENDED FORCAST FOR MONTH AUG 3 4MM,AUG 4 15MM,AUG 5 40MM Rainfall (mm)","ODISHA","KORAPUT","KOTPAD                                            ","2014-08-02 20:56:51.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","RAINFALL","24MM TO 49MM RAINFALL NEXT 3DAYS","ODISHA","KORAPUT","NANDAPUR                                          ","2014-08-03 17:45:57.000"
"","AGRICULTURE","Others","Others","Weather","BACTERIAL LEAF BLIGHT OF PADDY","BACTERIAL LEAF BLIGHT OF PADDY--RECOMENDED TO SPRAY COPPER OXYCHLORIDE 2GM+ PLANTOMYCINE 1GM+1 LITER WATER","ODISHA","KORAPUT","BORIGUMMA                                         ","2014-08-05 08:56:51.000"
"","AGRICULTURE","Others","Others","Weather","RAINFALL DATA","49MM RAINFALL ON AUGUST 5, 2014","ODISHA","KORAPUT","JEYPORE                                           ","2014-08-05 08:57:49.000"
"","AGRICULTURE","Others","Others","Weather","WEQATHER REPORT OF KORAPUT DIST","RAINFALL DATA FROM AUG 6 12MM,AUG 7 4MM,AUG 8 18MM Rainfall (mm)","ODISHA","KORAPUT","POTTANGI                                          ","2014-08-05 15:32:06.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recomended chloropyriphos @ 2ml/litre water","ODISHA","KORAPUT","BORIGUMMA                                         ","2014-08-06 16:35:40.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHOOT BORER IN RICE","RECOMMENDED SPRAY MONOCROTOPHOS@2ML/LIT","ODISHA","KORAPUT","BORIGUMMA                                         ","2014-08-06 16:40:36.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILISER TILLERING DOSE","RECOMMENDED UREA 20KG/ACRE","ODISHA","KORAPUT","BORIGUMMA                                         ","2014-08-06 18:00:16.000"
