"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Cultural Practices","MUSHROOM CULTIVATION","RECOMMENDED 06678223103 NUMBER KBK OF YOUR DISTRICT","ODISHA","NAWAPARA","KHARIAR                                           ","2014-08-01 18:07:36.000"
"","AGRICULTURE","Cereals","Triticale","Cultural Practices","HOW MANY DAYS STANDING WATER TO BE MAINTAINED?","HOW MANY DAYS STANDING WATER TO BE MAINTAINED?RECOMMENDED FOR 15DAYS","ODISHA","NAWAPARA","KHARIAR                                           ","2014-08-01 18:46:21.000"
"","FISHERIES","Inland","Fresh Water","Fish Fingerling Production","FINGERLING AVAILABILITY","CALL TRANSFER TO FISHERY EXPERT","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-02 14:28:49.000"
"","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","STOCKING OF FINGERLINGS.","RECOMMENDED TO STOCK 2500- 4000 FINGERLINGS PER ACRE.","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-02 14:35:16.000"
"","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","TANK MANAGEMENT","CONTACT EXPERT","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-02 14:36:40.000"
"","FISHERIES","Inland","Fresh Water","Fishery Nutrition","fishery nutrition","contact to fao at block level.","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-02 14:55:37.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","FERILISER APPLICATION IN COTTON","RECOMMENDED FOR 15 KG UREA , 20 KG POTASH IN COTTON","ODISHA","NAWAPARA","KOMNA                                             ","2014-08-02 15:14:38.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","2ND SPLIT DOSE OF FERTILIZER USE IN COTTON CROP","APPLY UREA 15KG & 3RD DOSE AT FLOWER STAGE UREA 30KG","ODISHA","NAWAPARA","KOMNA                                             ","2014-08-02 15:22:23.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","FERTILISER APPLICATION IN PADDY","RECOMMENDED 12 KG UREA AFTER 15-20 DAYS IN PADDY","ODISHA","NAWAPARA","KHARIAR                                           ","2014-08-02 16:21:10.000"
"","HORTICULTURE","Vegetables","Mushroom","Training and Exposure Visits","TRAININING","RECOMMENDED CONTACT KVK","ODISHA","NAWAPARA","BODEN                                             ","2014-08-02 18:57:34.000"
"","AGRICULTURE","Others","Others","Weather","RAINFALL FORECAST IN BARAGARH DIST","RAINFALL FORECAST IN BARAGARH DIST- 55 MM EXPECTED RAINFALL OCCURS ON 5TH AGUST 2014","ODISHA","NAWAPARA","KHARIAR                                           ","2014-08-03 10:10:04.000"
"","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","Dry Root Rot IN ARHAR","Dry Root Rot IN ARHAR:SPOT DRANCHING WITH CARBENDAZIM 2GM/1LIT WATER","ODISHA","NAWAPARA","SINAPALI                                          ","2014-08-03 18:24:03.000"
"","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","shoot rot in arhar","recomended saaf @ 2gm/litre water","ODISHA","NAWAPARA","SINAPALI                                          ","2014-08-03 18:24:22.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILISER BASAL DOSE OF PADDY","RECOMMENDED UREA 15KG,DAP 35KG,MOP 25KG/ACRE","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-03 21:06:57.000"
"","AGRICULTURE","Others","Others","Weather","RAINFALL FORECAST","32,55 AND 15MM RAINFALL EXPECTED IN NEXT 3DAYS(4 AUGUST ONWARD) IN BARGARH DISTRICT","ODISHA","NAWAPARA","KHARIAR                                           ","2014-08-04 06:39:44.000"
"","HORTICULTURE","Vegetables","Cluster Bean","	Plant Protection	","BACTERIAL IN CLUSTER BEAN","RECOMMENDED TO DRENCH SOIL WITH SECTIN 30GM + STREPTOCYCLIN 1.5GM IN 15LITRES OF WATER TO CONTROL BACTERIAL IN CLUSTER BEAN","ODISHA","NAWAPARA","SINAPALI                                          ","2014-08-04 06:56:11.000"
"","AGRICULTURE","Others","Others","Weather","RAINFALL DATA","11MM RAINFALL ON AUGUST 4,2014","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-04 07:33:06.000"
"","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","little leaf in chilli","recommended to spray with acephate 1gm/ltr of water","ODISHA","NAWAPARA","SINAPALI                                          ","2014-08-06 08:03:09.000"
"","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","stem borer in cowpea","recommended to spray with triazophos 2ml/ltr of water","ODISHA","NAWAPARA","SINAPALI                                          ","2014-08-07 08:17:24.000"
"","ANIMAL HUSBANDRY","Avian","Flying Duck","Market Information","POULTARY FARMING","POULTARY FARMING---CONTACT ANIMAL HUSBANDARY DEPT, NUAPADA","ODISHA","NAWAPARA","KHARIAR                                           ","2014-08-07 11:03:49.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","thrips in paddy","recommended for spray imidachloprid-1ml/3lit","ODISHA","NAWAPARA","BODEN                                             ","2014-08-07 15:53:27.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","flower drop in okra","recommended spray planofix-1ml/5lit of water","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-07 17:16:19.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","APHID FOR BRINJAL","RECOMMENDED FOR SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST FOR BRINJAL","ODISHA","NAWAPARA","KHARIAR                                           ","2014-08-08 13:42:28.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","recommended for weeds control in cotton","recommended for spray pendimethalin 30ec @ 3.3ltr /hect","ODISHA","NAWAPARA","BODEN                                             ","2014-08-08 16:33:07.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","FERTILISER TILLERING DOSE IN RICE","RECOMMENDED UREA 15KG/ACRE","ODISHA","NAWAPARA","SINAPALI                                          ","2014-08-10 09:02:49.000"
"","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","FLOWER DROP IN POMEGRANTE","RECOMMENDED FOR SPRAY PLANOFIX 1ML/ 5 LIT WATER FOR CONTROL OF FLOWER DROP FOR POMEGRANATE.","ODISHA","NAWAPARA","KOMNA                                             ","2014-08-10 09:34:45.000"
"","HORTICULTURE","Fruits","Lemon","Cultural Practices","FERTILISER DOSE IN LEMON","RECOMMENDED FOR SPRAY  15-20 KG COMPOST,DAP 500GM,POTASH 150GM PER PLANT","ODISHA","NAWAPARA","KOMNA                                             ","2014-08-10 10:10:39.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEED CONTROL IN PADDY CROP","RECOMMENDED TO SPRAY 2,4D SODIUM SALT 500ML/200 LITER OF WATER","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-10 10:33:48.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEEDS CONTROL IN BROADCAST PADDY","RECOMMENDED FOR APPLICATION OF NAMINI GOLD/FUZI SUPER 80ML PER ACRE MIXED WITH DRY SAND","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-10 10:41:34.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","APPLICATION OF ZINC SULPHATE","RECOMMENDED TO APPLY  BASAL DOSE ZINC SULPHATE 7KG PER 1AC","ODISHA","NAWAPARA","NUAPADA                                           ","2014-08-10 10:48:02.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","CATERPILAR IN BHENDI","RECOMENDED DOSE OF CHLOROPYRIPHOS 2ML/1LIT WATER SPRAY TO CONTROL CATERPILAR IN BHENDI","ODISHA","NAWAPARA","KHARIAR                                           ","2014-08-10 11:17:45.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","FLOWER DROP IN TAMATO","RECOMMENDED FOR PLANOFIX 1ML/5 LITER OF WATER","ODISHA","NAWAPARA","KHARIAR                                           ","2014-08-10 15:19:05.000"
