"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Rice tungro disease IN PADDY CROP","RECOMMENDED TO SPRAY THIAMETHOXAM 3GM/15 LITER OF WATER","ODISHA","NAWORANGPUR","CHANDAHANDI                                       ","2014-09-02 12:08:19.443"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","KHAIRA DISEASE","ZINC SULPHATE 10KG/ACRE","ODISHA","NAWORANGPUR","RAIGHAR                                           ","2014-09-02 17:33:01.220"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLST IN PADDY","TRICYCLAZOLE 120GM/ACRE","ODISHA","NAWORANGPUR","NABARANGPUR                                       ","2014-09-03 20:37:47.707"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","FOR BETTER YIELD OF MAIZE","APPLY BIOFERTILIZER (ARUNAPURUNA)10 KG/ACRE FOR BETTER YIELD .","ODISHA","NAWORANGPUR","CHANDAHANDI                                       ","2014-09-04 10:22:57.657"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GALLMIDGE","CARBOFURAN 3G 12KG/ACRE","ODISHA","NAWORANGPUR","UMERKOTE                                          ","2014-09-04 20:48:16.540"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","EARLY  STEM BORER","PHORATE 5KG/ACRE","ODISHA","NAWORANGPUR","RAIGHAR                                           ","2014-09-04 21:15:29.553"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER IN PADDY","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 400ML/ 200 LIT WATER ACRE FOR CONTROL OF STEM BORER IN PADDY.","ODISHA","NAWORANGPUR","UMERKOTE                                          ","2014-09-05 13:21:12.030"
"RABI","HORTICULTURE","Flowers","Chrysanthemum","Cultural Practices","ASEXUAL PROPAGATIO OF DAHLIA","SEED,BULB,CUTTING","ODISHA","NAWORANGPUR","RAIGHAR                                           ","2014-09-05 16:37:52.953"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF CATTER PILLAR IN PADDY","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CATTER PILLAR IN PADDY.","ODISHA","NAWORANGPUR","KOSAGUMUDA                                        ","2014-09-06 10:49:34.517"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","STEM BORER IN BRINJAL","RECOMMENDED FOR SPRAY FAME 5 ML/ 15 LIT WATER FOR CONTROL OF  STEM BORER IN BRINJAL .","ODISHA","NAWORANGPUR","UMERKOTE                                          ","2014-09-13 07:32:46.683"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blast in paddy","Recommended for spray Tricyclazole 1gm per litre of water 2-3times at 10-12days interval to control Blast in paddy","ODISHA","NAWORANGPUR","RAIGHAR                                           ","2014-09-13 10:46:15.370"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF WILTING BEFORE SOWING","RECOMMENDD TO APPLY BLEACHING POWDER 12KG/1 AC OR NEEM CAKE 12KG/ 1 AC TO CONTROL WILTING","ODISHA","NAWORANGPUR","RAIGHAR                                           ","2014-09-16 11:09:30.597"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLAST IN PADDY","TRICYCLAZOLE 120GM/ACRE","ODISHA","NAWORANGPUR","TENTULIKHUNTI                                     ","2014-09-16 20:54:24.430"
"RABI","HORTICULTURE","Vegetables","Pointed Gourd","Government Schemes","POTATO SEED SUBSIDY","CONTACT AHO OF YOUR BLOCK","ODISHA","NAWORANGPUR","TENTULIKHUNTI                                     ","2014-09-24 19:14:45.023"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","EAR HEAD BUG","DDVP 1ML/1LITRE OF WATER","ODISHA","NAWORANGPUR","CHANDAHANDI                                       ","2014-09-29 16:36:22.417"
