"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","COLLAR ROT IN PADDY","RECOMMENDED FOR SPRAY BENOMIL 200GM/200 LIT WATER FOR CONTROL OF COLLAR ROT IN PADDY","ODISHA","SONEPUR","ULLUNDA                                           ","2014-10-01 18:24:48.777"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","LEAF CURL IN TAMATO","RECOMMENDED FOR SPRAY TRIZOPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CURL IN TAMATO.","ODISHA","SONEPUR","DUNGURIPALI                                       ","2014-10-01 19:00:59.570"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recommended cartap hydrochloride 4G @ 10kg/acre","ODISHA","SONEPUR","BINIKA                                            ","2014-10-02 08:58:56.067"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT IN PADDY","RECOMMENDED FOR SPRAY HEXACONOZOL 5%EC 400ML/ 200 LIT WATER ACRE FOR CONTROL OF SHEATH BLIGHT IN PADDY.","ODISHA","SONEPUR","SONEPUR                                           ","2014-10-02 11:36:35.613"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","BUPROFEZIN 1ML/1LITRE OF WATER","ODISHA","SONEPUR","BINIKA                                            ","2014-10-02 13:56:16.223"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","BUPROFEZIN 1ML/1LITRE OF WATER","ODISHA","SONEPUR","BINIKA                                            ","2014-10-02 13:56:29.783"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","EAR HEAD BUG","RECOMMENDED TO SPRAY CHLORPYRIPHOS 2ML/ 1 LITER OR MALATHION 2ML/1 LITER OF WATER","ODISHA","SONEPUR","TARBHA                                            ","2014-10-02 15:48:48.823"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","WIRE STEM IN CAULIFLOWER","RECOMMENDED  TO DRENCH SAAF 20GM + STREPTOCYCLIN 1.5GM + 10 LITER OF WATER","ODISHA","SONEPUR","DUNGURIPALI                                       ","2014-10-02 16:31:42.457"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF EATING CATERPILLAR","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","SONEPUR","SONEPUR                                           ","2014-10-03 07:30:30.347"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TOP DRESSING","UREA 16KG,MOP 10KG/ACRE","ODISHA","SONEPUR","ULLUNDA                                           ","2014-10-03 09:04:56.620"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CASE WORM","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","SONEPUR","BIRMAHARAJPUR                                     ","2014-10-03 09:45:48.380"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY CROP","RECOMMENDED TO SPRAY BUPROFEZIN 8ML/10 LITER OR FIPRONIL 1.5ML/1 LITER OF WATER","ODISHA","SONEPUR","SONEPUR                                           ","2014-10-03 11:33:18.797"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","SONEPUR","ULLUNDA                                           ","2014-10-03 12:01:58.917"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH","BUPROFEZIN 1ML/1LITRE OF WATER","ODISHA","SONEPUR","DUNGURIPALI                                       ","2014-10-03 17:10:29.057"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","KHARIA DISEASES OF  PADDY","RECOMMENDED FOR SPRAY ZINC SULPHETE 4GM/ LIT WATER FOR CONTROL OF KHARIA DISEASES OF PADDY.","ODISHA","SONEPUR","TARBHA                                            ","2014-10-04 06:21:35.987"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","RECOMMENDED FOR SPRAY CARBARIL 800 GM/ 200 LIT WATER ACRE FOR CONTROL OF BPH IN PADDY.","ODISHA","SONEPUR","TARBHA                                            ","2014-10-04 09:07:50.510"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT IN PADDY CROP","RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 20GM + STREPTOCYCLIN 1.5GM + 1O LITER OF WATER","ODISHA","SONEPUR","SONEPUR                                           ","2014-10-04 10:36:02.237"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","LEAF EATING CATERPILLER IN PUMKIN","RECOMMENDED TO SPRAY CARBARYL 2GM/1 LITER OR DICHLORVOS 2ML/1 LITER OF WATER","ODISHA","SONEPUR","BINIKA                                            ","2014-10-04 10:42:40.337"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APHID PEST IN PADDY","RECOMMENDED FOR SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST IN PADDY.","ODISHA","SONEPUR","ULLUNDA                                           ","2014-10-04 11:44:15.827"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH","BUPROFEZIN 1ML/1LITRE OF WATER","ODISHA","SONEPUR","SONEPUR                                           ","2014-10-04 14:29:34.333"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GUNDHI BUG","MALATHEON 2ML/1LITRE OF WATER","ODISHA","SONEPUR","DUNGURIPALI                                       ","2014-10-04 17:18:53.603"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","RECOMMENDED FOR SPRAY CARBARIL 800GM/ 200 LIT WATER ACRE FOR CONTROL OF BPH IN PADDY.","ODISHA","SONEPUR","ULLUNDA                                           ","2014-10-05 07:56:07.733"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","BUPROFEZIN 1ML/1LITRE OF WATER","ODISHA","SONEPUR","BINIKA                                            ","2014-10-05 09:34:26.920"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","THERE IS NO RAIN WITHIN 24HOURS","ODISHA","SONEPUR","ULLUNDA                                           ","2014-10-05 10:08:25.057"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","NUTRITION","CONTACT EXPERT","ODISHA","SONEPUR","SONEPUR                                           ","2014-10-05 16:08:13.803"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH ROT IN PADDY","RECOMMENDED FOR SPRAY VALIDAMYCIN 400ML/ 200LIT WATER ACRE FOR CONTROL OF SHEATH ROT IN PADDY.","ODISHA","SONEPUR","TARBHA                                            ","2014-10-05 18:37:12.593"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","RICE CASE WORM IN PADDY CROP","RECOMMENDED TO SPRAY CHLORPYRIPHOS 2ML/1 LITER OF WATER","ODISHA","SONEPUR","ULLUNDA                                           ","2014-10-06 07:47:28.547"
"KHARIF","AGRICULTURE","Cereals","Barley (Jau)","	Plant Protection	","BPH IN PADDY","RECOMMENDED FOR SPRAY  CARBARIL 800GM/  200 LIT ACRE FOR CONTROL OF BPH.","ODISHA","SONEPUR","BINIKA                                            ","2014-10-06 08:29:24.620"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT IN PADDY","RECOMMENDED FOR SPRAY HEXACONOZOL 400ML/ 200 LIT WATER ACRE FOR CONTROL OF SHEATH BLIGHT IN PADDY.","ODISHA","SONEPUR","ULLUNDA                                           ","2014-10-06 10:50:47.297"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CASE WORM","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","SONEPUR","ULLUNDA                                           ","2014-10-06 16:37:20.853"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF ROT","CARBENDAZIM 1.5GM/1LITRE OF WATER","ODISHA","SONEPUR","DUNGURIPALI                                       ","2014-10-06 17:35:39.770"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Field Preparation	","SOWING PERIOD OF MOONG","RECOMMENDED FOR SOWIN IN SEPT-OCT,NOV-DEC IS BEST PERIOD FOR SOWING","ODISHA","SONEPUR","TARBHA                                            ","2014-10-06 18:36:48.917"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLAST IN PADDY","RECOMMENDED FOR SPRAY TRICYCLOGEL 120GM/ 200 LIT WATER ACRE FOR CONTROL OF BLAST IN PADDY.","ODISHA","SONEPUR","BINIKA                                            ","2014-10-07 17:07:02.963"
