"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","INFORMATION REGARDING CONTROL OF FOOT ROT IN PADDY","SPRAY BAVISTIN 200GM IN 200LTRS OF WATER/ACRE","PUNJAB","PATIALA","PATRAN","2014-08-01 06:09:44.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Cultural Practices","INFORMATION REGARDING FOR THE CONTROL OF YELLOW VEIN MOSAIC VIRUL DISEASE IN OKRA(BHINDI) CROP?","SOLUTION -1-CONTROL WHITEFLY (THE VIRUS VECTOR) BY SPRAYING OF 250ML ACEPHATE IN 100LITRE WATER/ACRE.","PUNJAB","PATIALA","GHANAUR","2014-08-01 06:14:59.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 400 ML TRIZOPHOS 40 EC(HOSTATHION) OR 350 ML SPARK (TRIZOPHOS+DELTAMETHRIN) OR 350 ML PROFENOPHOS+CYPERMETHRIN IN 150 LITRE WATER PER ACRE.","PUNJAB","PATIALA","RAJPURA","2014-08-01 06:18:32.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 400 ML TRIZOPHOS 40 EC(HOSTATHION) OR 350 ML SPARK (TRIZOPHOS+DELTAMETHRIN) OR 350 ML PROFENOPHOS+CYPERMETHRIN IN 150 LITRE WATER PER ACRE.","PUNJAB","PATIALA","GHANAUR","2014-08-01 06:50:27.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF TERMITE ATTACK IN PADDY(JHONA) CROP?","FOR THE CONTROL OF TERMITE IN PADDY(JHONA) CROP,PLS APPLY 1LITRE CHLORO.50%EC OR 2.5 LITRE CHLORO.20% AFTER MIXING IN 10KG SEND AT THE TIME OF IRRIGATION.","PUNJAB","PATIALA","SAMANA","2014-08-01 06:50:58.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding how to control Foot-Rot in Basmati?","Broadcast 500 gm. Bavistin (Carbendazim 50WP) mix in 15 kg. dry sand per acre.","PUNJAB","PATIALA","RAJPURA","2014-08-01 06:51:15.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE  WEATHER   ?","WEATHER OF SKY IS PARTLY CLOUDY AND SOME  CHANCE OF RAINFALL .","PUNJAB","PATIALA","GHANAUR","2014-08-01 07:08:16.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN PADDY(JHONA) CROP?","sapray 100 ml nomnigold in 150 liter of water/acre","PUNJAB","PATIALA","PATIALA","2014-08-01 07:40:28.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR  WEATHER ?","50 PERCENT CHANCES OF RAINFALL TODAY","PUNJAB","PATIALA","GHANAUR","2014-08-01 07:41:43.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","PATIALA","PATIALA","2014-08-01 07:47:23.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING CONTROL foot root  IN RICE CROP?","spread 500g baviston in 10kg sand.","PUNJAB","PATIALA","BHUNER HERI","2014-08-01 07:51:26.000"
"","AGRICULTURE","Others","Others","","Information regarding weather of Patiala?","Variable clouds, chances of light rainfall and thunderstorm.","PUNJAB","PATIALA","PATIALA","2014-08-01 08:06:09.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","INFORMATION REGARDING CONTROL OF FOOT ROT IN PADDY","SPRAY BAVISTIN 200GM IN 200 LTRS OF WATER/ACRE","PUNJAB","PATIALA","NABHA","2014-08-01 08:59:18.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 350 ML TRIZOPHOS 40 EC(HOSTATHION) OR 350 ML SPARK (TRIAZOPHOS=DELTAMETHRIN) OR 350 ML PROFENOPHOS+CYPERMETHRIN IN 100 LITRE WATER PER ACRE.","PUNJAB","PATIALA","PATIALA","2014-08-01 09:47:00.000"
"","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","CHANCE OF 5MM RAINFALL TODAY.","PUNJAB","PATIALA","BHUNER HERI","2014-08-01 09:49:12.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","PATIALA","PATIALA","2014-08-01 10:42:28.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding fertilizers dose in Basmati?","Fertilizers dose in Pusa Basmati-1121:- 36 kg. Urea in Pusa Basmati-1121, 27 kg. DAP, 25 kg. Zinc (21%). Skip phosphorus application to rice if recommended dose of phosphorus had been applied to the preceeding wheat crop.","PUNJAB","PATIALA","NABHA","2014-08-01 11:49:46.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 400 ML TRIZOPHOS 40 EC(HOSTATHION) OR 350 ML SPARK (TRIZOPHOS+DELTAMETHRIN) OR 350 ML PROFENOPHOS+CYPERMETHRIN IN 150 LITRE WATER PER ACRE.","PUNJAB","PATIALA","NABHA","2014-08-01 12:01:55.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER CONDITION?","3mm CHANCES OF RAINFALL TODAY.","PUNJAB","PATIALA","SAMANA","2014-08-01 12:15:19.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","PATIALA","NABHA","2014-08-01 12:36:44.000"
"","AGRICULTURE","Others","Others","","INFORMATION REGARDING WEATHER FORECAST ?","WEATHER IS CLOUDY AND THERE ARE SOME CHANCES OF RAINFALL TODAY","PUNJAB","PATIALA","PATIALA","2014-08-01 12:52:02.000"
"","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","WEATHER IS CLOUDY AND THERE ARE SOME CHANCES OF RAINFALL TODAY","PUNJAB","PATIALA","PATIALA","2014-08-01 12:55:40.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","information regarding growth of cotton ?","FOR HIGHER YIELD IN COTTON, GIVE 4 SPRAYS OF 2% POTASSIUM NITRATE (NPK 13:0:45) (2 KG IN 100 LITRES OF WATER) PER ACRE STARTING AT FLOWERING STAGE","PUNJAB","PATIALA","NABHA","2014-08-01 13:43:58.000"
