"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","INFORMATION REGARDING CONTROL OF FOOT ROT IN PADDY","SPRAY BAVISTIN 200GM IN 200 LTRS OF WATER/ACRE","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-08-01 08:55:07.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 400 ML TRIZOPHOS 40 EC(HOSTATHION) OR 350 ML SPARK (TRIZOPHOS+DELTAMETHRIN) OR 350 ML PROFENOPHOS+CYPERMETHRIN IN 150 LITRE WATER PER ACRE.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-08-01 09:07:46.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding how to control Foot-Rot in Basmati?","Broadcast 500 gm. Bavistin (Carbendazim 50WP) mix in 15 kg. dry sand per acre.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-08-01 10:38:30.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-08-01 10:57:07.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","INFORMATION REGARDING WEATHER?","TODAY WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-08-01 15:29:06.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF  STEM BORER IN RICE?","SPRAY MONOCIL/ CHLOROPYRIPHOS 20 EC@ 500 ML IN 100 LITERS OF WATER/ACRE.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-08-01 18:45:43.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?","FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 300ML MONOCROTOPHOSE+100ML NUVAN IN 200 LITRE WATER.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-08-01 18:54:54.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","INFORMATION REGARDING CONTROL OF STEM BORER IN SUGARCANE?","APPLY FURADAN @ 10 KG/ACRE.","PUNJAB","RUPNAGAR","ANANDPUR SAHIB                                    ","2014-08-01 20:04:34.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP-400 ml spark (triazophose+deltamethrin ) in 120 liter of water/aCRE","PUNJAB","RUPNAGAR","RUPNAGAR                                          ","2014-08-02 07:18:49.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","""INFORMATION REGARDING FOR THE CONTROL OF FOOT ROOT IN PADDY(JHONA) CROP?
""","NO CONTROL OF FOOT ROOT IN PADDY(JHONA) CROP.","PUNJAB","RUPNAGAR","MORINDA                                           ","2014-08-02 08:07:59.000"
