"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding how to control Foot-Rot in Basmati?","Broadcast 500 gm. Bavistin (Carbendazim 50WP) mix in 15 kg. dry sand per acre.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","MAJRI","2014-08-01 08:37:45.000"
"","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","CHANCE OF 3MM RAINFALL TODAY.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","MAJRI","2014-08-01 08:55:22.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR WEATHER CONDITION ?","WEATHER IS CLOUDY AND  CHANCE OF RAINFALL","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-01 15:48:35.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","information regarding to weather ?","today chances of rain 4mm hours-1.5,thunderstroms-90%","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-01 16:38:45.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN PADDY AFTER 20-25 DAYS OF TRANSPLANTING?","SPRAY 100ML NOMINEE GOLD IN 150LT WATER/ACRE.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-01 17:03:01.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING  FOR THE WEATHER ?","THERE ARE SOME CHANCES OF RAINFALL NEXT TWO DAYS.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-01 21:27:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF JHANDA DISSEASE IN RICE ?","BRODCAST 500 GM SAAF MIX IN 25 KG SOIL /ACER .","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-02 16:25:11.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","MAJRI","2014-08-02 18:37:15.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","TODAY WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-02 18:41:22.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","MAJRI","2014-08-04 11:44:42.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","SOME CHANCES OF RAINFALL NEXT FEW DAYS 5-7AUGUST IN YOUR AREA","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-05 07:08:38.000"
"","HORTICULTURE","Vegetables","Radish","	Plant Protection	","INFORMATION REGARDING FUNGICIDE FOR RADDISH ?","SPRAY 500 GM SAAF (MANCOZEB + CARBENDAZIM) IN 150 LITRE OF WATER PER ACRE","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-05 11:03:57.000"
"","AGRICULTURE","Others","Others","","INFORMAION REGARDING FOR THE WEATHER?","WEATHER IS CLOUDY & SOME CHANCES OF RAINFALL  IN NEXT 3 DAY","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-05 13:34:10.000"
"JAYAD","HORTICULTURE","Vegetables","Radish","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF MUSTARD SAW FLY & FLEE BEETLE ATTACK ON RADISH CROP?","FOR THE CONTROL OF MUSTARD SAW FLY & FLEE BEETLE ATTACK ON RADISH CROP,SPRAY-250 ML DELTAMETHRIN 1% EC+TRIZOPHOS 35% EC  MIXED WITH 150 LITRE WATER PER ACRE.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-06 06:57:08.000"
"JAYAD","HORTICULTURE","Vegetables","Radish","	Plant Protection	","INFORMATION REGARDING FOR THE SOWING TIME OF RADISH(MOOLI)?","THE SOWING TIME OF RADISH(MOOLI)-EARLY-JUNE TO AUGUST,MEDIUM-SEPTEMBER TO DECEMBER,LATE-JANUARY TO MARCH.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-06 07:02:50.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF RAT IN PADDY CROP ?","BRODCAST OF ZINC PHOSPHITE @ 25GM + 1KG DANA OF WHEAT + 100GM MUSTARD OIL .","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-07 16:28:36.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","INFORMATION REGARDING WEATHER?","TODAY WEATHER IS CLOUDY AND SOME CHANCES OF RAINFALL","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-07 17:57:55.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","""INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","""FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS SPRAY 35GM FAME IN 120 LITRE WATER.
""","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-08 08:06:48.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING WEATHER FORECAST?","5mm  CHANCE OF RAINFALL TODAY.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-08 11:14:49.000"
"JAYAD","AGRICULTURE","Others","Others","","information regarding of weather?","cloudy weather some chances of rain next 2 days","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-08 18:05:09.000"
"","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","no CHANCE OF RAINFALL TODAY.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-09 12:56:40.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","information regarding to weather ?","same chances of rainfall  IN NEXT 3 DAYS","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-10 13:07:08.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF LEAF CURL VIRUL DISEASE IN CHILLI(MIRCH) CROP?","CONTROL WHITEFLY & APHIDS (THE VIRUS VECTOR) BY SPRAYING OF 250ML ACEPHATE IN 100LITRE WATER/ACRE IN CHILLI(MIRCH).","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-11 10:40:20.000"
"JAYAD","AGRICULTURE","Others","Others","","information regarding of weather?","NO CHANCE OF RAINFALL NEXT DAYS.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-11 14:36:07.000"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","INFORMATION REGARDING CONTROL OF FRUIT DROPPING IN CHILIES?","SPRAY 1ML PLANOFIX IN 4 LITRE OF WATER","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","MAJRI","2014-08-20 07:10:07.360"
"KHARIF","AGRICULTURE","Others","Others","Weather","REGARDING CURRENT WEATHER REPORT","NO CHANCES OF RAINFALL TODAY","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-20 12:51:56.273"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","NO CHANCE OF RAINFALL TONIGHT.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-20 21:20:09.993"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING  WEATHER ?","EXPECT CLEAR WEATHER TODAY","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-21 10:02:37.880"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 400 ML TRIZOPHOS 40 EC(HOSTATHION) OR 350 ML SPARK (TRIZOPHOS+DELTAMETHRIN) OR 350 ML PROFENOPHOS+CYPERMETHRIN IN 150 LITRE WATER PER ACRE.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","MAJRI","2014-08-21 11:40:59.407"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 400 ML TRIZOPHOS 40 EC(HOSTATHION) OR 350 ML SPARK (TRIZOPHOS+DELTAMETHRIN) OR 350 ML PROFENOPHOS+CYPERMETHRIN IN 150 LITRE WATER PER ACRE.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","MAJRI","2014-08-21 11:47:24.840"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather of SAS Nagar?","Mostly clear and hot, no chance of rainfall.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-21 12:25:02.090"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF SETM BORER IN RICE?","SPRAY CHLOROPYRIPHOS 20 EC / MONOCIL @ 500 ML IN 100 LITERS OF WATER/ACRE.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-21 13:23:47.560"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","NO CHANCE OF RAINFALL TODAY.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-22 06:25:33.323"
"KHARIF","AGRICULTURE","Fodder Crops","fodder maize ","","INFORMATION REGARDING IMPROVED VARIETY OF FODDER MAIZE?","IMPROVED VARIETY OF FODDER MAIZE : J 1006.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-22 15:04:10.293"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","WEATHER IS CLOUDY  NO CHANCE OF RAIN FALL TODAY .","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-22 16:05:52.510"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","information regarding kisan mela in ludhiana ?","kisan mela of ludhiana in 12sep-13sep .","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-22 19:03:28.710"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding control yellow rust in rice ?","spray 200ml Tilt in 200Ltr of water /acre .","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-22 22:05:46.557"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","NO CHANCE OF RAINFALL TODAY.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-23 06:41:32.413"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","Seeds and Planting Material","INFORMATION REGARDING SEED RATE OF CABBAGE?","SEED RATE OF CABBAGE 200-250GM IN ACRE","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-23 07:01:56.743"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","INFORMATION REGARDING WEED CONTROL IN POTATO CROP ?","FOR CONTROLLING WEEDS IN POTATO SPRAY GRAMOXON 24 WSC @ 500ML IN 200 LITER WATER / ACRE AT 5-10 PERSENT GERMINATION.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","DERA BASSI                                        ","2014-08-23 08:25:19.790"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF STEM BORER IN RICE?","APPLY PADAN @ 6-7 KG/ACRE.","PUNJAB","SAHIBZADA AJIT SINGH NAGAR(Mohali)","KHARAR","2014-08-23 12:20:51.970"
