"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BALACHAUR                                         ","2014-08-01 06:47:55.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","INFORMATION REGARDING ATTACK OF WHITE FLY ON COTTON","FOR CONTROLLING WHITE FLY ON COTTON, SPRAY 80 GM ULALA OR 600 ML TRIAZOPHOS OR 800 ML ETHION 50 EC  IN 100 LITRES OF WATER","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BALACHAUR                                         ","2014-08-01 07:52:55.000"
"","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","CHANCE OF 3MM RAINFALL TODAY.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BALACHAUR                                         ","2014-08-01 08:00:39.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF PADDY(JHONA) TRANSPLANTING?","fertilizer dose of basmati rice-urea-36 kg,MOP-10 KG,ZINC SULPHATE 21% 10 KG","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","NAWANSHAHR                                        ","2014-08-01 09:48:03.000"
"JAYAD","AGRICULTURE","Fodder Crops","fodder sorghum","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF STALK BORER & CUTWORMS ATTACK ON SORGHUM(JWAR)?","FOR THE CONTROL OF STALK BORER & CUTWORMS ATTACK ON SORGHUM(JWAR),PLS SPRAY 300ML QUINALPHOS MIXWITH 150 LITRE WATER.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BALACHAUR                                         ","2014-08-01 10:56:36.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","""INFORMATION REGARDING FOR THE CONTROL OF FOOT ROOT IN PADDY(JHONA) CROP?
""","NO CONTROL OF FOOT ROOT IN PADDY(JHONA) CROP.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","AUR                                               ","2014-08-01 12:01:21.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF FOOT ROT IN RICE?","SAPRAY 200GM BAVISTIN IN 200 LITER OF WATER/ACRE","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","AUR                                               ","2014-08-01 16:10:43.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL  TODAY .","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BALACHAUR                                         ","2014-08-01 19:17:29.000"
"","AGRICULTURE","Others","Others","","Information regarding weather of Nawanshahr?","Variable clouds, chances of light rainfall and thunderstorm.","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","BALACHAUR                                         ","2014-08-02 06:08:30.000"
"","AGRICULTURE","Others","Others","","INFORMATION REGARDING WEATHER ?","WEATHER IS CLOUDY CHANCE OF LIGHT RAIN FALL  TODAY .","PUNJAB","SHAHID BHAGAT SINGH NAGAR(Nawanshahr)","NAWANSHAHR                                        ","2014-08-02 06:10:26.000"
