"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","TELL ME WHEATHER REPORT","NO RAIN FALL IN NEXT FIVE DAYS","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-01 06:47:16.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","LIGHT  RAINFALL IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY .","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-01 06:55:41.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","groth parmot of paddy","SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-01 06:58:54.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION","RAINFALL POSSIBILITY NEXT 5 DAYS","RAJASTHAN","BARAN","ATRU                                              ","2014-08-01 07:08:54.000"
"","HORTICULTURE","Vegetables","Ribbed Gourd (Kali Tori)","	Plant Protection	","LEAF SPOT IN RIBBED GOURD","SPRAY OF MENCOJEB 2GM PER LITER WATER","RAJASTHAN","BARAN","ATRU                                              ","2014-08-01 07:09:20.000"
"JAYAD","AGRICULTURE","Others","Others","","TELL ME  WEATHER  REPORT","RAIN FALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-01 07:26:32.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","Seeds","tell me variety of til","variety of til = rt 351, rt 125 , pratap .","RAJASTHAN","BARAN","CHHIPABAROD                                       ","2014-08-01 07:28:40.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","TELL ME VARIETY OF ONION","VARIETY OF ONION - AGRI FAOUND RED ,N- 53","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-01 07:40:42.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","RAIN MAY BE CONTINUE UPTO NEXT 5 DAYS","RAJASTHAN","BARAN","CHHABRA                                           ","2014-08-01 07:58:55.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","LIGHT  RAINFALL IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY .","RAJASTHAN","BARAN","ANTA                                              ","2014-08-01 08:04:36.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF DISEASE IN CHILLI ?","SPRAY OF CARBENDAZIM 2 GM PER LITER WATER","RAJASTHAN","BARAN","CHHIPABAROD                                       ","2014-08-01 08:28:44.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME WEED CONTROL IN MOONG .","HAND WEEDING MUST","RAJASTHAN","BARAN","ANTA                                              ","2014-08-01 09:29:53.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION","LIGHT RAIN MAY BE NEXT 5  DAYS","RAJASTHAN","BARAN","ATRU                                              ","2014-08-01 09:47:10.000"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","Cultural Practices","YELLOWING MANAGEMENT IN URD BEAN ?","SPRAY OF FERUS SULPHATE 5 GM + CITRIC ACID 1 GM PER LITER WATER","RAJASTHAN","BARAN","SHAHBAD                                           ","2014-08-01 10:39:09.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL  POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARAN","KISHANGANJ                                        ","2014-08-01 11:15:32.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF DISEASE IN CHILLI ?","SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER","RAJASTHAN","BARAN","CHHIPABAROD                                       ","2014-08-01 11:45:22.000"
"","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","","TELL ME WEED CONTROL OF JUWAR","YOU CANNOT USE HERBICIDE IN STANDING CROP OF JUWAR","RAJASTHAN","BARAN","SHAHBAD                                           ","2014-08-01 14:15:20.000"
"","AGRICULTURE","Others","Others","Weather","FOR TESTING SOIL","DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL","RAJASTHAN","BARAN","KISHANGANJ                                        ","2014-08-01 15:53:23.000"
"","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","WEED PROBLEM OF TIL","NOT USE OF WEEDICIDE","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-01 17:38:19.000"
"","HORTICULTURE","Vegetables","Chillies","","TELL ME DISEASE CONTROL OF CHILLIES","SPRAY MANCOZEB 75% WP 2 GM PER LITER WATER","RAJASTHAN","BARAN","CHHABRA                                           ","2014-08-01 18:35:33.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF BARAN","GOOD RAINFALL NEXT FIVE DAYS","RAJASTHAN","BARAN","ATRU                                              ","2014-08-01 18:59:50.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARAN","CHHABRA                                           ","2014-08-01 19:55:53.000"
"","","","","","","","RAJASTHAN","BARAN","CHHABRA                                           ","2014-08-02 07:02:05.000"
"","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Weather","VARIETY OF TILL","VARIETY OF TILL= RT 125, RT 127, RT 46","RAJASTHAN","BARAN","ANTA                                              ","2014-08-02 07:25:57.000"
"","","","","","","","RAJASTHAN","BARAN","CHHABRA                                           ","2014-08-02 07:34:28.000"
"","","","","","","","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-02 07:43:57.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","TELL ME WEED CONTROL OF TIL","NOW WEED CONTROL   BY  HAND WEEDING","RAJASTHAN","BARAN","CHHIPABAROD                                       ","2014-08-02 07:50:25.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","WEED CONTROL IN SOYABEAN","SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN 400 LITER WATER","RAJASTHAN","BARAN","CHHIPABAROD                                       ","2014-08-02 07:50:30.000"
"","","","","","","","RAJASTHAN","BARAN","CHHIPABAROD                                       ","2014-08-02 07:54:14.000"
"JAYAD","AGRICULTURE","Others","Others","","TELL ME  WEATHER  REPORT","RAIN FALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARAN","KISHANGANJ                                        ","2014-08-02 08:04:48.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","pest control of soybean","SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN DISSOLVE 400 LITER WATER","RAJASTHAN","BARAN","CHHABRA                                           ","2014-08-02 08:09:02.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","MAY BE RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARAN","ATRU                                              ","2014-08-02 08:28:26.000"
"JAYAD","HORTICULTURE","Fruits","Lemon","	Plant Protection	","TELL ME WEATHER CONDITION","RAINFALL POSSIBILITY IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY .","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-02 08:40:07.000"
"","","","","","","","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-02 08:56:06.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","flower drop control of brinjal","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-02 09:04:10.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","MAY BE RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-02 09:41:52.000"
"","AGRICULTURE","Others","Others","","TELL ME WEATHER INFORMETION","MAY BE RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARAN","BARAN (FULL)                                      ","2014-08-02 10:30:16.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Seeds","VARIETY OF MAIZE ?","VARIETY OF MAIZE= PRATAP MAKKA-3, MAHI KANCHAN","RAJASTHAN","BARAN","CHHABRA                                           ","2014-08-02 11:03:17.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","MAY BE RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BARAN","ATRU                                              ","2014-08-02 11:17:22.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","Cultural Practices","SOWING TIME OF SOYBEAN","NO SOWING AT TIME OF SOYBEAN","RAJASTHAN","BARAN","ANTA                                              ","2014-08-02 11:44:56.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TELL ME ABOUT YELLOWING IN DHAN","USE OF @ 5 KG/BEEGHA IN DHAN","RAJASTHAN","BARAN","ANTA                                              ","2014-08-02 11:59:26.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","groth parmot of soybean","SPRAY OF NPK 19 19 19 = 10 GM PER LIT WATER","RAJASTHAN","BARAN","KISHANGANJ                                        ","2014-08-02 13:08:05.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","pest control of soybean","SPRAY OF DIMETHOATE 30% EC 2 ML PER LITER WATER","RAJASTHAN","BARAN","KISHANGANJ                                        ","2014-08-02 13:09:53.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","RAIN FALL POSSIBILITY  IN NEXT FIVE DAYS","RAJASTHAN","BARAN","ANTA                                              ","2014-08-02 16:49:58.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","RAIN FALL POSSIBILITY  IN NEXT FIVE DAYS","RAJASTHAN","BARAN","ANTA                                              ","2014-08-02 17:03:55.000"
