"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BHARATPUR","BAYANA                                            ","2014-08-01 06:49:29.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","","TELL ME ROOT ROT CONTROL IN TOMATO","USE CARBENDAZIM 250 GM PER BIGHA","RAJASTHAN","BHARATPUR","NAGAR PAHARI                                      ","2014-08-01 06:52:45.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","RAIN POSSIBILITY IN NEXT 5  DAYS","RAJASTHAN","BHARATPUR","RUPBAS                                            ","2014-08-01 07:18:02.000"
"JAYAD","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME WEED CONTROL OF GUAR","SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN 400 LITER WATER","RAJASTHAN","BHARATPUR","NAGAR PAHARI                                      ","2014-08-01 08:01:46.000"
"","HORTICULTURE","Fruits","Mango","Cultural Practices","TELL ME ABOUT GROWTH IN MANGO","USE OF ORGANIC MANURES AND FERTILISERS IN MANGO","RAJASTHAN","BHARATPUR","WEIR                                              ","2014-08-01 09:08:25.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME WEED CONTROL OF BAJRA","YOU CANNOT USE HERBICIDE IN STANDING CROP OF BAJRA","RAJASTHAN","BHARATPUR","NAGAR PAHARI                                      ","2014-08-01 09:17:21.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","LIGHT  RAINFALL  POSSIBILITY IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY .","RAJASTHAN","BHARATPUR","NAGAR PAHARI                                      ","2014-08-01 09:28:48.000"
"","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Market Information","TELL ME CONTACT NO. OF POULTRY FARM","CONTACT NO. OF POULTRY FARM= 0141-2350929","RAJASTHAN","BHARATPUR","DEEG                                              ","2014-08-01 09:38:33.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","RAINFALL  POSSIBILITY IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY","RAJASTHAN","BHARATPUR","BAYANA                                            ","2014-08-01 10:19:23.000"
"","AGRICULTURE","Fodder Crops","Guar","Cultural Practices","TELL ME ABOUT DISEASE IN GUAR","SPRAY OF COC 45 GRAM +STREPTOCYCLINE 2 GRAM /15 LITER WATER IN GUAR","RAJASTHAN","BHARATPUR","RUPBAS                                            ","2014-08-01 11:12:23.000"
