"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","	Field Preparation	","about groth of in moong","SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER 
?? ?? ?? 18:18:18    ????? ?? 10  ????? ????? ???? ???? ??? ??? ?? ?????? ?????","RAJASTHAN","CHURU","TARANAGAR                                         ","2014-08-01 07:17:11.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","CHURU","RAJGARH                                           ","2014-08-01 07:20:29.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","pest control of groundnut","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER","RAJASTHAN","CHURU","RAJGARH                                           ","2014-08-01 07:27:01.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","RAIN MAY BE CONTINUE UPTO NEXT 5 DAYS","RAJASTHAN","CHURU","TARANAGAR                                         ","2014-08-01 07:33:02.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","MAY BE RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","CHURU","SARDARSHAHAR                                      ","2014-08-01 07:34:44.000"
"","","","","","","","RAJASTHAN","CHURU","TARANAGAR                                         ","2014-08-01 07:37:32.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","MAY BE RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","CHURU","CHURU                                             ","2014-08-01 07:40:33.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","PEST CONTROL OF MOONG","SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER","RAJASTHAN","CHURU","RAJGARH                                           ","2014-08-01 07:53:42.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Cultural Practices","TELL ME ABOUT USE OF UREA IN GROUNDNUT","NO NEED OF UREA IN GROUNDNUT AFTER SOWING","RAJASTHAN","CHURU","TARANAGAR                                         ","2014-08-01 07:54:43.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRIC","POSSIBALITY OF RAIN MAY BE NEXT 3-4 DAYS IN YOUR DISTRIC","RAJASTHAN","CHURU","CHURU                                             ","2014-08-01 08:01:13.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","pest control of cotton","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","RAJASTHAN","CHURU","RATANGARH                                         ","2014-08-01 08:08:12.000"
