"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL  POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JHUNJHUNU","","2014-08-01 06:12:24.000"
"JAYAD","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME ROOT ROT CONTROL IN GUAR ?","USE CARBENDAZIM 250 GM PER BIGHA","RAJASTHAN","JHUNJHUNU","","2014-08-01 06:33:41.000"
"JAYAD","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME ROOT ROT CONTROL OF GUAR","CARBENDAZIM 250 GM PER BIGHA USE IN ROOT ZONE","RAJASTHAN","JHUNJHUNU","BUHANA                                            ","2014-08-01 06:59:19.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","LIGHT RAIN MAY BE NEXT 5 DAYS","RAJASTHAN","JHUNJHUNU","","2014-08-01 07:40:20.000"
"","AGRICULTURE","Fodder Crops","Guar","Bio-Pesticides and Bio-Fertilizers","tell me about controlof flower dropping","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER FOR FLOWER DROP CONTROL","RAJASTHAN","JHUNJHUNU","","2014-08-01 07:46:54.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","TELL ME FLOWER DROPPING CONTROL IN  COTTON","FLOWER/FRUIT DROP CONTROL  SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","JHUNJHUNU","","2014-08-01 07:51:18.000"
"","HORTICULTURE","Vegetables","Carrot","Seeds and Planting Material","TELL ME VARIETY OF CARROT","VARIETY OF CARROT PUSA VRISHTHI","RAJASTHAN","JHUNJHUNU","CHIRAWA                                           ","2014-08-01 07:57:32.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL  POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JHUNJHUNU","BUHANA                                            ","2014-08-01 08:11:44.000"
"","","","","","","","RAJASTHAN","JHUNJHUNU","","2014-08-01 08:19:08.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER REPORT ?","RAIN POSSIBILITY IN NEXT 4 DAYS","RAJASTHAN","JHUNJHUNU","BUHANA                                            ","2014-08-01 09:18:53.000"
