"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER REPORT ?","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","SIKAR","DANTA RAMGARH                                     ","2014-08-01 06:37:45.000"
"","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","tell me about disease in cauliflower","use of carbendazim @ 250 GRAM /BEEGHA IN CAULIFLOWER","RAJASTHAN","SIKAR","KHANDELA                                          ","2014-08-01 06:55:34.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL  POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","SIKAR","FATEHPUR                                          ","2014-08-01 07:05:02.000"
"JAYAD","AGRICULTURE","Others","Others","","TELL ME  WEATHER  REPORT","RAIN FALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","SIKAR","LACHHMANGARH                                      ","2014-08-01 07:09:33.000"
"","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","TELL ME ABOUT FLOWER DROP IN BRINJAL","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","SIKAR","NEEM KA THANA                                     ","2014-08-01 07:18:40.000"
"","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","ROOTH ROTH IN GUAR","????????????? ??? 2  ???? ????? ???????? ?? ?? ?? ?? ??????? ??? ?????? ????","RAJASTHAN","SIKAR","DHOND                                             ","2014-08-01 07:25:52.000"
"","AGRICULTURE","Fodder Crops","Guar","","tell me weed control in gowar","SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN 400 LITER WATER","RAJASTHAN","SIKAR","DHOND                                             ","2014-08-01 07:42:16.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","LEAF CURL CONTROL IN CHILLI","imidacloroprid 17.8 sl 0.5 ml /par liter water sprey","RAJASTHAN","SIKAR","PIPRALI                                           ","2014-08-01 08:08:16.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","GIVE ME WEATHER INFORMATION","RAIN MAY BE CONTINUE UPTO NEXT 4 DAYS","RAJASTHAN","SIKAR","SRI MADHOPUR                                      ","2014-08-01 08:10:51.000"
"JAYAD","AGRICULTURE","Others","Others","Cultural Practices","TELL ME TERMITE CONTROL IN FIELD .","SPRAY OF IMIDACHLOPRID(CONFIDOR) 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","SIKAR","FATEHPUR                                          ","2014-08-01 08:18:54.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","pest control in brinjal","?????? ??? ?? 2  ????? ????? ???? ???? ?? ????? ?? ?????? ????","RAJASTHAN","SIKAR","DHOND                                             ","2014-08-01 08:31:17.000"
"","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME ABOUT WEED CONTROL IN GUAR","SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN 400 LITER WATER","RAJASTHAN","SIKAR","SRI MADHOPUR                                      ","2014-08-01 08:51:54.000"
"JAYAD","AGRICULTURE","Fodder Crops","Guar","","TELL ME VARIETY OF GUWAR","VARIETY OF GUWAR  RGC 936,1002 , 1003,  RGC 1017,rgc 1055, rgc 1066, HG 365","RAJASTHAN","SIKAR","SRI MADHOPUR                                      ","2014-08-01 09:10:11.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL  POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","SIKAR","FATEHPUR                                          ","2014-08-01 09:25:38.000"
