"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","SIROHI","SHEOGANJ                                          ","2014-08-01 14:07:09.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","RAINFALL POSSIBILITY AFTER 1-2 DAYS","RAJASTHAN","SIROHI","SHEOGANJ                                          ","2014-08-02 13:05:36.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","CONTROL OF WHITE GRUB IN GROUNDNUT ?","USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION","RAJASTHAN","SIROHI","REODAR                                            ","2014-08-02 13:49:58.000"
"","","","","","","","RAJASTHAN","SIROHI","REODAR                                            ","2014-08-03 17:11:02.000"
"JAYAD","HORTICULTURE","Flowers","Rose","Fertilizer Use and Availability","TELL ME FERTILIZER RECOMANDATION IN DESI ROSE","5 KG FYM +150 GRAM SSP + 50 GRAM UREA +100 GRAM POTASH + 50 GRAM ZINC PER PIT","RAJASTHAN","SIROHI","SIROHI                                            ","2014-08-03 17:34:48.000"
"","HORTICULTURE","Condiments and Spices","Fennel","Seeds and Planting Material","TELL ME SOWING TIME OF FENNEL","SOWING TIME OF FENNEL OCT.-NOV.","RAJASTHAN","SIROHI","SHEOGANJ                                          ","2014-08-04 08:08:24.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL POSSIBILITY IN NEXT 5 DAYS, CLOUDY SKY","RAJASTHAN","SIROHI","SHEOGANJ                                          ","2014-08-04 10:27:38.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TELL ME MOSAIC CONTROL IN CHILLY","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","SIROHI","SHEOGANJ                                          ","2014-08-04 16:46:19.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","TELL ME FUNGAS CONTROL IN GROUNDNUT","SPRAY OF MENCOZEB 75 WP 2 G/LIT WATER","RAJASTHAN","SIROHI","REODAR                                            ","2014-08-05 10:54:49.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","LIGHT RAIN MAY BE NEXT 3-4 DAYS","RAJASTHAN","SIROHI","SIROHI                                            ","2014-08-05 15:12:37.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME FLOWER CONTROL IN COTTON","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","SIROHI","PINDWARA                                          ","2014-08-05 18:02:32.000"
