"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","market rate for paddy","viruthachalam  AST 16 1678 - 1764 Rs/Quintal","TAMILNADU","CUDDALORE","NALLUR                                            ","2014-08-01 06:08:43.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","top dressing in sugarcane","apply urea 100kg+potash 35kg/ac","TAMILNADU","CUDDALORE","KURINJIPADI                                       ","2014-08-01 06:50:40.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","gram pod borer in groundnut","spray chloropyriphos 2ml/lit of water","TAMILNADU","CUDDALORE","VRIDDHACHALAM                                     ","2014-08-01 07:45:00.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","brown plant hopper in paddy","spray imidachloprid 1 ml / lit of water","TAMILNADU","CUDDALORE","CUDDALORE                                         ","2014-08-01 07:48:13.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","weed management for groundnut","apply hand weeding","TAMILNADU","CUDDALORE","KURINJIPADI                                       ","2014-08-01 08:20:39.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Field Preparation","onion seeds availability","contact to Krishi Vigyan Kendra , Vriddhachalam","TAMILNADU","CUDDALORE","KAMMAPURAM                                        ","2014-08-01 08:20:49.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy shoot borer","spray chloriphyriphos 2ml/litter water","TAMILNADU","CUDDALORE","KOMARATCHI                                        ","2014-08-01 08:30:32.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","paddy  Gall midge","Spray quinalphos 2ml/litre","TAMILNADU","CUDDALORE","KURINJIPADI                                       ","2014-08-01 09:06:44.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","maize fertigation management","apply microfood 2 kilo / acre","TAMILNADU","CUDDALORE","PANRUTI                                           ","2014-08-01 09:06:51.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","aphid in sesamum","spray imidachloprid 1 ml  /lit","TAMILNADU","CUDDALORE","CUDDALORE                                         ","2014-08-01 09:38:52.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Government Schemes","about crop insurance","contact to 9443878513","TAMILNADU","CUDDALORE","CUDDALORE                                         ","2014-08-01 09:55:34.000"
"JAYAD","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Fertilizer management for banana","apply urea 150gm+superphosphate 200gm+potash 200gm /plant","TAMILNADU","CUDDALORE","KURINJIPADI                                       ","2014-08-01 10:00:58.000"
"JAYAD","HORTICULTURE","Vegetables","Snake Gourd","Field Preparation","snake gourd season","season july","TAMILNADU","CUDDALORE","KEERAPALAYAM                                      ","2014-08-01 10:12:46.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Market Information","market price of maize","1200-1300Rs/quintal","TAMILNADU","CUDDALORE","MANGALUR                                          ","2014-08-01 10:29:52.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Cultural Practices","season for maize","maize season june-july","TAMILNADU","CUDDALORE","VRIDDHACHALAM                                     ","2014-08-01 10:45:20.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal fruit borer","spray Chlorantraniliprole 20 SC 80 ml/acre","TAMILNADU","CUDDALORE","KEERAPALAYAM                                      ","2014-08-01 10:48:23.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","shoot borer in sugarcane","spray chlorpyriphos 2ml / lit","TAMILNADU","CUDDALORE","VRIDDHACHALAM                                     ","2014-08-01 10:51:42.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy shoot borer","spray chloriphyriphos 2ml/litter water","TAMILNADU","CUDDALORE","KURINJIPADI                                       ","2014-08-01 10:52:50.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","CUDDALORE","KATTUMANNARKOIL                                   ","2014-08-01 11:11:22.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","seed availability","Seed centre,Tamil Nadu Agricultural University,Ph. 0422 6611232,","TAMILNADU","CUDDALORE","KAMMAPURAM                                        ","2014-08-01 11:17:30.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Ear head bug in paddy","spray malathion 2ml / lit","TAMILNADU","CUDDALORE","VRIDDHACHALAM                                     ","2014-08-01 11:34:10.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","Fertilizer Use and Availability","top dressing in tapipoca","apply urea 40kg+potash 80kg/ac","TAMILNADU","CUDDALORE","KURINJIPADI                                       ","2014-08-01 11:36:09.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","sheath blight in paddy","spray propiconazole 2ml/lit of water","TAMILNADU","CUDDALORE","KAMMAPURAM                                        ","2014-08-01 11:45:15.000"
"JAYAD","HORTICULTURE","Fruits","Banana","Seeds and Planting Material","National Research Centre for Banana","contact 0431 2618104, 2618106,","TAMILNADU","CUDDALORE","CUDDALORE                                         ","2014-08-01 11:53:05.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","shoot borer in sugarcane","spray chlorpyriphos 2ml / lit","TAMILNADU","CUDDALORE","VRIDDHACHALAM                                     ","2014-08-01 11:53:19.000"
