"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Cultural Practices","season for sesame","recommended for Sep- Oct CO 1, TMV 3, TMV 5, TMV 7,SVPR 1, VRI(SV) 2","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-01 07:12:30.307"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","Market Information","market rate for tapioca","at Coimbatore Market Local 26.00/Kg 15.00-20.00/kg","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-01 07:47:28.547"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","top dressing for paddy","recommended for urea 25kg+potash 15kg+zinc sulphate 5kg/ac","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-01 08:17:47.063"
"KHARIF","HORTICULTURE","Vegetables","Onion","Nutrient Management","basal fertilizer for onion","recommended for apply urea 25kg+ super 147kg + potash 20kg /ac","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-10-01 12:43:40.597"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","RECOMMENDED FOR Top dressing fertilizer management for paddy Apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-01 15:43:39.683"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","recommended for Apply DAP 50 kg + zinc sulphate 15 kg/ac","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-01 17:08:31.173"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Field Preparation","mushroom seeds availability","recommended for contact to mushroom department 0422 - 6611336","TAMILNADU","KARUR","THANTHONI                                         ","2014-10-02 07:28:25.913"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","foliar spray blackgram","recommended spray for DAP 2kg/ac","TAMILNADU","KARUR","THANTHONI                                         ","2014-10-02 10:57:11.280"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","moringa Hairy caterpillar Eupterote mollifera","recommended for spray carbaryl 50 WP @ 2g/lit","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-10-02 11:32:37.190"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borer in brinjal","RECOMMENDED FOR spray Phosalone 35 % EC 2ml+neem oil 3ml+teepol 1ml/lit of water","TAMILNADU","KARUR","KADAVUR                                           ","2014-10-02 12:21:50.817"
"KHARIF","AGRICULTURE","Others","Others","Seeds","forest department contact number","recommended for the contact number;04254-222398 04254-220460","TAMILNADU","KARUR","THOGAIMALAI                                       ","2014-10-02 18:06:34.587"
"RABI","HORTICULTURE","Flowers","Jasmine","	Plant Protection	","jasmine fertilizer management","Recommended for jasmine fertilizer management apply urea 30gm + super phosphate 60gm + potash 60gm / plant","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-02 19:10:29.737"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Field Preparation","Chilli Season of sowing","1 .January - February
2. June - July
3. September- October","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-10-03 06:27:40.643"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","paddy top fertilizer management","recommended for apply zinc sulphate 5 kilo / acre","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-03 08:42:50.300"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about weather details","Recommended for Rain fall 13mm","TAMILNADU","KARUR","THOGAIMALAI                                       ","2014-10-03 11:14:52.513"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about weather details","Recommended for Rain fall 9mm","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-03 12:13:40.230"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about weather details","Recommended for Rain fall 9mm","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-03 12:13:53.960"
"KHARIF","HORTICULTURE","Vegetables","Ash Gourd (Petha)","Field Preparation","ash gourd Preparation of field","Plough the field 3 – 4 times. Dig pits of 30 cm x 30 cm x 30 cm at a spacing 2 x 1.5 m and form basins.","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-03 12:42:24.960"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","contact to veterinary dept","Recommended for contact to veterinary dept number 04324-294335","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-10-03 14:20:07.990"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","Onion basal fertilizer management","RECOMMENDED FOR Onion basal fertilizer management Apply urea 12 kg, super phosphate- 150 kg, potash 19.5kg/ acre","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-03 16:30:00.293"
"KHARIF","HORTICULTURE","Vegetables","Ash Gourd (Petha)","Market Information","market rate for ash gourd","Recommended for market rate for ash gourd Rs 4/kg","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-03 16:51:52.970"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Fertilizer Use and Availability","tomato basal fertilizer management","Recommended for apply urea 63kg + super phosphate 250kg + potash 33kg / ac","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-03 18:16:25.510"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Seeds and Planting Material","Varieties and season of sowing for bhendi","Varieties: MDU 1, Arka Anamika, Arka Abhay, Parbhani Kranti, Co 3 (hybrid), Co Bh H-1, Pusa varieties and season of sowing for bhendi Sawani and Varsha Upkar","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-04 08:18:46.083"
"KHARIF","HORTICULTURE","Fruits","Banana","Nutrient Management","fertilizer management in banana","recommended for apply urea 100g + potash 200g + super 200g/plant","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-04 08:37:55.513"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Fruit borer in bhendi","recommended for spray quinalphos 2ml+neem oil 3ml+teepol 1ml/lit of water","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-10-04 10:11:28.223"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Cultural Practices","bitter gourd season","recommended for january","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-10-04 16:12:46.667"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","sugarcane fertilizer management","Recommendd for apply magnesium sulphate 5 kg / ac","TAMILNADU","KARUR","KADAVUR                                           ","2014-10-04 19:16:20.837"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","maize foliar application details","spray TNAU maize maxim 3kg / 200lit of water","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-10-04 19:17:13.320"
"RABI","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Breeding","KARUR Veterinary DEPATMENT NUMBER","RECOMMENDED FOR Veterinary DEPATMENT NUMBER KARUR CONTACT 04324-294335","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-10-04 22:00:32.330"
"KHARIF","HORTICULTURE","Vegetables","Ash Gourd (Petha)","Market Information","market rate for ash gourd","market rate for ash gourd rs:5/kg","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-05 07:05:24.190"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","red rot in sugarcane","recommended for spray carbendazim 2g/lit.","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-05 07:14:21.880"
"KHARIF","HORTICULTURE","Flowers","Jasmine","	Plant Protection	","Red spider mite in jasmine","Recommended for spray dicofol 2ml / lit","TAMILNADU","KARUR","KARUR                                             ","2014-10-05 08:02:24.050"
"KHARIF","HORTICULTURE","Flowers","Jasmine","	Plant Protection	","bud worm in jasmine","Recommended for spray Profenofos 2ml / lit","TAMILNADU","KARUR","KARUR                                             ","2014-10-05 08:14:26.013"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","Seeds and Planting Material","moringa seed  availability","Recommended for moringa seed  availability  number 04546-231726","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-05 10:15:12.083"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Cultural Practices","flower drop in tomato","recommended for triacontanol 1.25 ml/lit.","TAMILNADU","KARUR","KARUR                                             ","2014-10-05 10:47:07.113"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","grounut crop booter.","recommended for spray 2.5-3 kg/ acre.","TAMILNADU","KARUR","THANTHONI                                         ","2014-10-05 11:26:32.247"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","block level agri department contact number","recommended for the contact number; 0421-2213270/ 0421-2216565","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-05 11:48:52.840"
"KHARIF","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","stink bug in cowpea","recommended for spray imidachloprid 1 ml/lit.","TAMILNADU","KARUR","KADAVUR                                           ","2014-10-05 13:18:23.487"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot borer in brinjal","Recommended for spray quinalphos 2 ml + neem oil 3 ml + wetting agent 1 ml / lit of water","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-10-05 15:48:16.247"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","Top dressing fertilizer management for maize","Top dressing fertilizer management for maize Apply urea 60 kg, potash 30 kg, zinc sulphate 10 kg, neem cake 10 kg/ac","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-10-05 17:54:52.297"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Varieties","Cotton high yielding variety","recommended for Cotton high yielding variety - MCU 13, surabhi, TCHB 213","TAMILNADU","KARUR","THOGAIMALAI                                       ","2014-10-05 18:56:13.033"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","leaf caterpillar in moringa","Recommended for spray Carbaryl 2ml / lit","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-10-05 19:29:14.570"
"KHARIF","HORTICULTURE","Flowers","Jasmine","Nutrient Management","jasmine foliar spray","recommended for spray zinc sulphate 2.5 g+ magnesium sulphate 5 g+ ferrous sulphate 5 g/lit.","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-05 20:06:34.787"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Forest department contact number","Recommended for Forest department contact number: 04324-232229","TAMILNADU","KARUR","KARUR                                             ","2014-10-05 21:13:43.580"
"RABI","AGRICULTURE","Millets","Barnyard Millet (Kundiraivlli/Sawan","	Field Preparation	","KUDIRAIVALI SEASON AND VARITIES","KUDIRAIVALI SEASON AND VARITIES  September-October CO 1, CO(KV)2","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-05 21:55:21.420"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy (nursery)","Recommended for spray NSKE 5 ml / lit","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-06 08:59:35.070"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","fruit flies in moringa","Recommended for Spray Dichlorvos 2ml / lit","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-06 09:50:17.143"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","button shedding in coconut","recommended for  root feed TNAU coconut tonic @200ml/palm once in six months.","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-10-06 10:12:13.900"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","agri land fence supcidy details","recommended for contact to agri engineering department - 04324 24 26 50","TAMILNADU","KARUR","KADAVUR                                           ","2014-10-06 10:43:54.590"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","KARUR","THOGAIMALAI                                       ","2014-10-06 11:02:06.643"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Paddy stem borer","recommended for  Spray quinalphos 2ml/litre","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-06 11:05:17.070"
"KHARIF","HORTICULTURE","Flowers","Jasmine","Nutrient Management","boron deficiencies in jasmine","recommended for boron deficiencies in jasmine spray borax 500gm/acre","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-06 11:13:23.370"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Cultural Practices","seed rate for chilli","recommended seed rate for chilli  2kg/ha","TAMILNADU","KARUR","KARUR                                             ","2014-10-06 13:09:44.513"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","beetles for moringa","Recommended for spray Carbaryl 2ml / lit.","TAMILNADU","KARUR","KARUR                                             ","2014-10-06 13:24:15.133"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","asking about drip subside details","Recommended for  contact to agriculture office","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-06 14:07:43.433"
"RABI","HORTICULTURE","Fruits","Banana","Seeds and Planting Material","karur horticulture department number","recommended for karur horticulture department number 04324-255289","TAMILNADU","KARUR","KULITTALAI                                        ","2014-10-06 14:17:21.053"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","contact to kvk dept","Recommended for contact to kvk dept number 94889 67675","TAMILNADU","KARUR","KARUR                                             ","2014-10-06 14:54:11.863"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Early leaf spot in groundnut","recommended for Spray (mancozeb + carbendazim) SAAF 2 gm / lit of water","TAMILNADU","KARUR","KADAVUR                                           ","2014-10-06 17:07:18.800"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","soil test detail","recommended number for agriculture office 7598179401","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-10-06 17:09:34.980"
"KHARIF","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","Onion top fertilizer management details","Recommended for apply urea 25 kg, potash 10 kg, Microfood 5 kg/ ac","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-10-06 18:51:43.690"
