"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","tikke leaf spot in groundnut","spray SAAF 2gm+teepol 1ml","TAMILNADU","NAGAPATTINAM","KUTTALAM                                          ","2014-08-01 06:44:39.000"
"JAYAD","AGRICULTURE","Green Manure","Dhaincha","	Field Preparation	","Green Manure crops","The most important green manure crops are sunnhemp, dhaincha, pillipesara,clusterbeans and Sesbania rostrata.","TAMILNADU","NAGAPATTINAM","KUTTALAM                                          ","2014-08-01 10:12:13.000"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","Button shedding in coconut","Root feeding with TNAU coconut tonic 200 ml / tree","TAMILNADU","NAGAPATTINAM","THIRUMARUGAL                                      ","2014-08-01 11:03:12.000"
"JAYAD","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","basal application for field bean","apply FYM 8ton+urea 52kg+SSP 200kg+potash 46kg/ac","TAMILNADU","NAGAPATTINAM","SIRKAZHI                                          ","2014-08-01 11:57:48.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","variety of paddy","I.White Ponni, CO 43, CR 1009, ADT 38, TRY 1*, TRY 3*, ADT (R) 44, CORH 4, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49,TNAU Rice ADT 50, Swarna sub1","TAMILNADU","NAGAPATTINAM","SIRKAZHI                                          ","2014-08-01 11:59:53.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather detail in nagapattinam","have no rain in nagai","TAMILNADU","NAGAPATTINAM","SIRKAZHI                                          ","2014-08-01 12:13:37.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather detail for nagai dist","date from 3,5&6 have rain","TAMILNADU","NAGAPATTINAM","SIRKAZHI                                          ","2014-08-01 12:53:28.000"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","gram pod borer in blackgram","spray imidachloprid 1 ml  /lit","TAMILNADU","NAGAPATTINAM","KOLLIDAM                                          ","2014-08-01 13:15:19.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather detail for nagai dist","date from 2 to 5 no rain","TAMILNADU","NAGAPATTINAM","SIRKAZHI                                          ","2014-08-01 14:12:34.000"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","fertilizer management in coconut","apply urea 1.3kg+ super phosphate 2kg+ potash 2kg+ neem cake 15kg+ FYM 50kg+ micro nutrient 1kg /tree/year","TAMILNADU","NAGAPATTINAM","KOLLIDAM                                          ","2014-08-01 14:33:03.000"
