"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Training and Exposure Visits","contact number for horticulture dept","Deputy Director of Horticulture
77, Venkatachalapathi Nagar
New Bus stop Near
Duraimangalam, Perambalur - 621 212 Phone:04328-291099","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-08-01 07:43:43.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","seeds availability in paddy","contact to tnau cbe agronomy department  0422-6611278","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-08-01 07:48:23.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Field Preparation	","groundnut varieties","Adippattam(July-Aug) TMV 7, VRI 2, VRIGn 6,TMVGn 13","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-08-01 09:45:05.000"
"JAYAD","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Seeds","variety of redgram","Co (Rg) 7, APK 1","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-08-01 10:10:22.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Market Information","market price of onion","50.00/Kg/Rs","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-08-01 12:24:14.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Root Rot in brinjal","Dreching with copper oxychloride 2.5 g/lit","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-08-01 12:30:53.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","Onion top fertilizer management","Apply urea 25 kg, potash 10 kg, Microfood 5 kg/ ac","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-08-01 12:38:46.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","top dressing for paddy","apply urea 25 kg + potash 15 kg + neem cake 5 kg+MN mixer 5kg/ac","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-08-01 14:18:45.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Market Information","onion market information","onion market information Rs. 45-47/kilo","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-08-01 14:34:48.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","termites attack in cotton","apply neemcake 20kg+carbofuradon granules 5kg+10kg sand","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-08-01 15:27:16.000"
"JAYAD","HORTICULTURE","Condiments and Spices","Turmeric","Market Information","market price of turmeric","market price ;6400-6600Rs/quintal","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-08-01 15:42:13.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Water Management, Micro Irrigation","irrigation management for onion crop","recommended for water irrigation is weekly intervals","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-08-01 19:06:21.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Leaf Blight in onion","recommended for spray mancozeb +carbendazim (saaf) 2.5gm/lit of water","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-08-01 19:06:47.000"
"JAYAD","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","flower shed in citurs","recommended for spray planofix 5 ml /10 lit of water","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-08-01 19:26:52.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","market price of sesame in Tiruchengode","recommended for market price of sesame is rs.9500 to 12000/quintol","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-08-01 19:34:02.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","Market Information","tomato market information","recommended for  tomato market information Hosur - Vegetable Vendors wholesale 18.00/Kg","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-08-01 19:52:31.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","Market Information","tomato market information","recommended for  tomato market information Hosur - Vegetable Vendors wholesale 50.00/Kg","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-08-01 19:53:55.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Nutrient Management","Flower drop in sesame","recommended for Flower drop in sesame spray planofix 5ml/10 lit of water","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-08-01 21:08:22.000"
