"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","Seeds and Planting Material","coimbatore coconut nursery","contact 0422-2432484","TAMILNADU","TIRUPUR","Gudimanlam","2014-08-01 08:56:18.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Nutrient Management","Bhendi Boron Deficiency","recommended for Bhendi Boron Deficiency Spray borax 5 gm/ litre","TAMILNADU","TIRUPUR","Vellakoil","2014-08-02 08:42:07.000"
"JAYAD","HORTICULTURE","Fruits","Lemon","Seeds and Planting Material","Tirupur horticulture number","contact 0421 2213270/ 0421-2216565","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-02 11:53:24.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather detail for tirupur dist","date from 2 to 6 have rain","TAMILNADU","TIRUPUR","Kangyam","2014-08-02 12:03:15.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","wether details for thiruppur","today have rain","TAMILNADU","TIRUPUR","Dharapuram","2014-08-02 13:21:32.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","coimbatore Weather report","recommended for today rainy day in coimbatore","TAMILNADU","TIRUPUR","Madathukulam","2014-08-02 15:07:48.000"
"JAYAD","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","bunch development in banana","recommended spray potassium sulphate 7gm + 19:19:19  7gm mix with 1 lit of water","TAMILNADU","TIRUPUR","Avanashi","2014-08-02 16:49:04.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","Aphids in groundnut","Recommended for spray Dimethoate 2ml / lit","TAMILNADU","TIRUPUR","Avanashi","2014-08-02 16:58:30.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","mulching sheet subsidy availability","recommended number for agriculture office 0421 2425333","TAMILNADU","TIRUPUR","Madathukulam","2014-08-02 18:58:55.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","veterinary department contact number","recommended for contact number ;0421-2248524","TAMILNADU","TIRUPUR","Kangyam","2014-08-05 08:24:56.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","tomato top dressing fertilizer management","Recommended for apply urea 60kg / ac","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-06 11:09:50.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","Basal fertilizer management for maize","recommended apply urea 30kg+superphosphate 150kg+potash 30kg/ac,","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-06 11:26:36.000"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","Market Information","copra market rate","recommended as Rs. 9989-10633/quintal.","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-06 13:17:55.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Fusarium Wilt of tomato","recommended for soil drench with carbendazim 2gm/liter of water","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-07 20:39:45.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Ear head bug in paddy","recommended for Apply vasampu powder 10 kg /ac","TAMILNADU","TIRUPUR","Pongalur","2014-08-08 13:21:12.000"
"JAYAD","HORTICULTURE","Condiments and Spices","Turmeric","Market Information","MARKET RATE FOR TURMERIC","Namagiripettai	Bulb 5800 - 6899 Rs/Quintal AND Finger 6499 - 8009 Rs/Quintal","TAMILNADU","TIRUPUR","Pongalur","2014-08-08 15:52:20.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Leaf Blight in onion","Recommended for spray mancozeb + carbendazim (saaf) 2.5gm/lit of water","TAMILNADU","TIRUPUR","Vellakoil","2014-08-08 19:29:10.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Nutrient Management","onion foliar application details","Recommended for spray potassium sulphate 1kg / 100lit / ac harvest before 30 days","TAMILNADU","TIRUPUR","Vellakoil","2014-08-08 21:52:01.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","recommended Paddy basal fertilizer Apply DAP 50 kg + zinc sulphate 15 kg/ac","TAMILNADU","TIRUPUR","Kundadam","2014-08-09 18:49:19.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Swarming caterpillar paddy","Recommended for spray chlorpyriphos 2ml / lit","TAMILNADU","TIRUPUR","Kundadam","2014-08-09 19:51:51.000"
"JAYAD","HORTICULTURE","Vegetables","Radish","	Plant Protection	","butterfly control in radish","recommended for Spray dichlorvos 2 ml/lit of water","TAMILNADU","TIRUPUR","Pongalur","2014-08-10 13:00:09.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borer in brinjal","recommended spray for carbaryl 2gm+neemoil 3ml+teepol 1ml/lit of water","TAMILNADU","TIRUPUR","Gudimanlam","2014-08-10 14:36:21.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","root Nematode in tomato","recommended for spray Carbofuran 10gm/plant","TAMILNADU","TIRUPUR","Dharapuram","2014-08-11 07:37:27.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","wether for cast in tiruppur","recommended for wether for cast in tiruppur today rain","TAMILNADU","TIRUPUR","Tirrpur","2014-08-11 09:46:37.000"
"JAYAD","HORTICULTURE","Plantation Crops","Cocoa","Market Information","copra market rate Gobichettipalayam","recommended for copra market rate  Gobichettipalayam rs  10859-11226/quintal","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-11 12:05:29.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","Market Information","market rate for onion","recommended for onion market rate:35-40/kg","TAMILNADU","TIRUPUR","Tirrpur","2014-08-11 14:18:42.000"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","Market Information","copra market rate","recommended for Gobichettipalayam market:rate.10859-11226/quintal","TAMILNADU","TIRUPUR","Madathukulam","2014-08-11 14:24:29.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","Cultural Practices","season of sowing in chilli","recommended for chilli sowing season:January - February, June - July,September- October","TAMILNADU","TIRUPUR","Tirrpur","2014-08-11 16:36:09.000"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","sett rot in sugarcane","recommended for drench copper oxy chloride 2gm/liter water","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-19 15:07:47.040"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather details","recommended as chances for raining","TAMILNADU","TIRUPUR","Dharapuram","2014-08-19 15:13:09.400"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","copra market information","recommended copra market information Rs 11010-11610/quintal","TAMILNADU","TIRUPUR","Dharapuram","2014-08-19 15:53:42.067"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Fruit borer in tomato","recommended for Fruit borer in tomato Spray quinalphos 2 ml / lit","TAMILNADU","TIRUPUR","Kangyam","2014-08-19 16:01:15.647"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","paddy market price","recommended for 1250-1450/quintal","TAMILNADU","TIRUPUR","Kangyam","2014-08-19 16:09:10.330"
"KHARIF","HORTICULTURE","Vegetables","Onion","Market Information","onion market rate Ottanchatram","recommended for onion market rate Ottanchatram  40/ kg","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-19 16:09:24.763"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","tnau forage crop contact no.","recommended 0422-6611228 number.","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-19 17:43:33.740"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","power tiller subsidy","recommended 0422-6611257 number to contact farm machinary department.","TAMILNADU","TIRUPUR","Kundadam","2014-08-19 17:52:10.020"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report thirupur","recommended for weather report thirupur today have rain","TAMILNADU","TIRUPUR","Palladam","2014-08-19 19:58:59.120"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","copra market rate","recommended as Rs 11010-11610/quintal","TAMILNADU","TIRUPUR","Kundadam","2014-08-19 20:36:17.760"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","copra market rate","recommended as Rs 11010-11610/quintal","TAMILNADU","TIRUPUR","Kundadam","2014-08-19 20:36:23.260"
"KHARIF","HORTICULTURE","Vegetables","Beet Root (Garden Beet/Stock Beet)","	Plant Protection	","root rot beet root","recommended for root rot beet root Spray copper oxychloride 2gm/lit of water","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-19 21:31:24.893"
"KHARIF","HORTICULTURE","Vegetables","Lab Lab","Field Preparation","lab lab variety","Recommended for lab lab variety Co 6, Co 7, Co 8, Co 9, Co 10, Co 11, Co 12, Co 13, Co (Gb) 14, Arka Jay and Arka Vijay are cultivated","TAMILNADU","TIRUPUR","Gudimanlam","2014-08-19 22:00:27.573"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report in thirupur","rain fall available","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-20 10:43:01.550"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","Season of sowing and varieties for maize","recommended for Adipattam (July - August) NK6240,DKC,900 M GOLD HISHELL ,PINNAKKAL ,SUPERME,CO 4","TAMILNADU","TIRUPUR","Kundadam","2014-08-20 10:57:07.877"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Nutrition","tiruppur veterinary department contact number","recommended for veterinary department contact number;0421 2248524","TAMILNADU","TIRUPUR","Gudimanlam","2014-08-20 11:27:27.867"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","root rot in onion","recommended for drench the soil with copper oxy chloride 2.5gm/lit","TAMILNADU","TIRUPUR","Palladam","2014-08-20 13:05:23.447"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in thirupur","have rain in thirupur","TAMILNADU","TIRUPUR","Dharapuram","2014-08-20 13:38:25.910"
"KHARIF","HORTICULTURE","Vegetables","Onion","Market Information","market rate for onion","recommended for market rate for onion rs:37/kg","TAMILNADU","TIRUPUR","Avanashi","2014-08-20 14:18:23.507"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Market Information","tomato market rate","Recommended for tomato market rate : 30 - 40 Rs./Kg","TAMILNADU","TIRUPUR","Dharapuram","2014-08-20 15:27:55.373"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","weed management for cotton","recommended spray for pendimethalin 1300ml/ac/200lit of water","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-20 15:35:02.400"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report for tiruppur","recommended as chances for rain","TAMILNADU","TIRUPUR","Kangyam","2014-08-20 16:23:31.087"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Cultural Practices","weeds control in maize","Recommended for spray atrazine 400 gm / 200lit of water / ac.","TAMILNADU","TIRUPUR","Kundadam","2014-08-20 16:31:00.803"
"KHARIF","HORTICULTURE","Vegetables","","Market Information","market rate for onion","Dindigul,Periapallipatti, Begambur Post,Dindigul 624 002.0451-400959, ottanchathiram 04553-240358","TAMILNADU","TIRUPUR","Avanashi","2014-08-20 17:39:27.560"
"KHARIF","HORTICULTURE","Vegetables","","Market Information","market rate for onion","Dindigul,Periapallipatti, Begambur Post,Dindigul 624 002.0451-400959, ottanchathiram 04553-240358","TAMILNADU","TIRUPUR","Avanashi","2014-08-20 17:42:08.043"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Market Information","chilli market rate","Recommended for chilli market rate : 20 - 40 Rs./Kg","TAMILNADU","TIRUPUR","Kundadam","2014-08-20 18:27:39.450"
"KHARIF","HORTICULTURE","Condiments and Spices","Kokum","Seeds and Planting Material","tamarind spacing","recommended for planting 8-10 m.","TAMILNADU","TIRUPUR","Mulanor","2014-08-20 18:44:38.297"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana fertilizer management","Recommended for apply 150 gm urea + 200 gm super phosphate + 200 gm potash /plant","TAMILNADU","TIRUPUR","Madathukulam","2014-08-20 19:51:44.917"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","Brinjal top dressing fertilizer","recommended for Apply urea 40 kg + potash 15 kg/ac","TAMILNADU","TIRUPUR","Gudimanlam","2014-08-20 20:05:02.567"
"KHARIF","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","Cultural Practices","caster season","recommended for sowing at august-september.","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-20 20:31:04.113"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","downy mildew in onion","recommended for spray mancozeb 2 g/lit.","TAMILNADU","TIRUPUR","Udumalaipettai","2014-08-20 21:17:46.783"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","weeds control in maize","Recommended for spray atrazine 800ml / 200lit of water / ac","TAMILNADU","TIRUPUR","Gudimanlam","2014-08-21 07:21:55.443"
"KHARIF","AGRICULTURE","Fodder Crops","velimasal","Seeds","kolukattai grass  seed availability","recommended for contact given no : 0422-6611228","TAMILNADU","TIRUPUR","Tirrpur","2014-08-21 08:42:55.003"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","thrips in onion","recommended for spray dimethoate 2ml/lit.","TAMILNADU","TIRUPUR","Kangyam","2014-08-21 08:46:51.673"
"KHARIF","AGRICULTURE","Fodder Crops","velimasal","Seeds","seeds availability of forage crops	contact to tnau CBE forage dept  0422-6611200","Recommended contact to tnau CBE forage dept  0422-6611200","TAMILNADU","TIRUPUR","Tirrpur","2014-08-21 09:12:40.323"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Nutrient Management","tomato basal fertilizer management","Recommended for apply urea 63kg + super phosphate 250kg + potash 33kg / ac","TAMILNADU","TIRUPUR","Gudimanlam","2014-08-21 09:49:02.630"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","seed rate for tomato","seed rate for tomato 100gm/ac","TAMILNADU","TIRUPUR","Gudimanlam","2014-08-21 10:22:27.473"
