"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","Rhinoceros beetle in coconut","Soak castor cake at 1 kg in 5 l of water in small mud pots and keep them in the coconut gardens to attract and kill the adults.","TAMILNADU","VIRUDHUNAGAR","VEMBAKOTTAI                                       ","2014-08-01 09:48:55.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Leaf Blight in onion","spray mancozeb + carbendazim (saaf) 2.5gm/lit of water","TAMILNADU","VIRUDHUNAGAR","RAJAPALAIYAM                                      ","2014-08-01 10:09:17.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","Nursery bed preparation in brinjal","Apply FYM 10 kg, neem cake 1 kg, VAM 50 g, enriched super phosphate 100 g and furadon 10 g per square metre before sowing.","TAMILNADU","VIRUDHUNAGAR","SATTUR                                            ","2014-08-01 10:12:46.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather detail for virudhunagar dist","date form 2 to 5 have rain","TAMILNADU","VIRUDHUNAGAR","ARUPPUKOTTAI                                      ","2014-08-01 13:10:21.000"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","button shedding in coconut","root feeding with TNAU coconut tonic 200 ml / tree","TAMILNADU","VIRUDHUNAGAR","SRIVILLIPUTTUR                                    ","2014-08-01 15:10:00.000"
"JAYAD","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","Flower drop in drumstick","spray planofix 5ml/10 lit of water","TAMILNADU","VIRUDHUNAGAR","SIVAKASI                                          ","2014-08-01 15:35:41.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","cotton foliar application","recommended for cotton Foliar application of 200 gm/tank DAP + 100gm/tank  KCl will improve kapas yield","TAMILNADU","VIRUDHUNAGAR","NARIKUDI                                          ","2014-08-01 17:32:46.000"
"JAYAD","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","flower drop in drum stick","recommended for spray Plano fix - 5 ml / 10 lit of water","TAMILNADU","VIRUDHUNAGAR","VEMBAKOTTAI                                       ","2014-08-01 17:35:48.000"
"JAYAD","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","flower drop in drum stick","recommended for spray Plano fix - 5 ml / 10 lit of water","TAMILNADU","VIRUDHUNAGAR","VEMBAKOTTAI                                       ","2014-08-01 17:38:02.000"
"JAYAD","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","flower drop in drum stick","recommended for spray Plano fix - 5 ml / 10 lit of water","TAMILNADU","VIRUDHUNAGAR","VEMBAKOTTAI                                       ","2014-08-01 17:41:31.000"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","button shedding in coconut","root feeding with TNAU coconut tonic 200 ml / tree","TAMILNADU","VIRUDHUNAGAR","SRIVILLIPUTTUR                                    ","2014-08-01 18:04:51.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather for cast in viruthunagar","recommended for weather for cast in viruthunagar ;today rain","TAMILNADU","VIRUDHUNAGAR","SATTUR                                            ","2014-08-01 20:19:55.000"
"JAYAD","HORTICULTURE","Fruits","Papaya","	Plant Protection	","root rot in papaya","recommended for root rot in papaya spray copper oxychloride 2.5gm / lit","TAMILNADU","VIRUDHUNAGAR","SIVAKASI                                          ","2014-08-01 20:45:43.000"
